TID;Starttime;Endtime;Activity;Time;Value;FromParticipantId;FromAccountId;ToParticipantId;ToAccountId;Linkcode;SettlementDeadline;T+x
1;2024-03-02 00:30:57;2024-03-02 00:30:58;Validating;2024-03-02 00:30:57;227616795.67;5;0;3;0;612;2024-03-02;0
1;2024-03-02 00:30:58;2024-03-02 00:30:58;Waiting in backlog unmatched;2024-03-02 00:30:57;227616795.67;5;0;3;0;612;2024-03-02;0
2;2024-03-02 00:34:47;2024-03-02 00:34:48;Validating;2024-03-02 00:34:47;199489034.67;4;3;2;3;367;2024-03-02;0
2;2024-03-02 00:34:48;2024-03-02 00:34:48;Waiting in backlog unmatched;2024-03-02 00:34:47;199489034.67;4;3;2;3;367;2024-03-02;0
3;2024-03-02 01:26:04;2024-03-02 01:26:05;Validating;2024-03-02 01:26:04;101905936.0;7;3;6;3;1033;2024-03-02;0
3;2024-03-02 01:26:05;2024-03-02 01:26:05;Waiting in backlog unmatched;2024-03-02 01:26:04;101905936.0;7;3;6;3;1033;2024-03-02;0
4;2024-03-02 01:34:00;2024-03-02 01:34:01;Validating;2024-03-02 01:34:00;19311809.55;8;0;2;0;111;2024-03-02;0
4;2024-03-02 01:34:01;2024-03-02 01:34:01;Waiting in backlog unmatched;2024-03-02 01:34:00;19311809.55;8;0;2;0;111;2024-03-02;0
5;2024-03-02 01:38:26;2024-03-02 01:38:27;Validating;2024-03-02 01:38:26;164629572.92;3;8;2;8;842;2024-03-02;0
5;2024-03-02 01:38:27;2024-03-02 01:38:27;Waiting in backlog unmatched;2024-03-02 01:38:26;164629572.92;3;8;2;8;842;2024-03-02;0
6;2024-03-02 01:46:52;2024-03-02 01:46:53;Validating;2024-03-02 01:46:52;29849266.67;7;0;3;0;520;2024-03-02;0
6;2024-03-02 01:46:53;2024-03-02 01:46:53;Waiting in backlog unmatched;2024-03-02 01:46:52;29849266.67;7;0;3;0;520;2024-03-02;0
7;2024-03-02 01:48:24;2024-03-02 01:48:25;Validating;2024-03-02 01:48:24;59840364.27;2;6;7;6;1334;2024-03-02;0
7;2024-03-02 01:48:25;2024-03-02 01:48:25;Waiting in backlog unmatched;2024-03-02 01:48:24;59840364.27;2;6;7;6;1334;2024-03-02;0
8;2024-03-02 01:52:41;2024-03-02 01:52:42;Validating;2024-03-02 01:52:41;55343982.25;7;8;8;8;309;2024-03-02;0
8;2024-03-02 01:52:42;2024-03-02 01:52:42;Waiting in backlog unmatched;2024-03-02 01:52:41;55343982.25;7;8;8;8;309;2024-03-02;0
9;2024-03-02 02:00:50;2024-03-02 02:00:51;Validating;2024-03-02 02:00:50;168912508.06;4;0;3;0;1005;2024-03-02;0
9;2024-03-02 02:00:51;2024-03-02 02:00:51;Waiting in backlog unmatched;2024-03-02 02:00:50;168912508.06;4;0;3;0;1005;2024-03-02;0
10;2024-03-02 02:02:16;2024-03-02 02:02:17;Validating;2024-03-02 02:02:16;185170287.24;1;4;3;4;1410;2024-03-02;0
10;2024-03-02 02:02:17;2024-03-02 02:02:17;Waiting in backlog unmatched;2024-03-02 02:02:16;185170287.24;1;4;3;4;1410;2024-03-02;0
11;2024-03-02 02:02:35;2024-03-02 02:02:36;Validating;2024-03-02 02:02:35;29833073.71;8;0;3;0;291;2024-03-02;0
11;2024-03-02 02:02:36;2024-03-02 02:02:36;Waiting in backlog unmatched;2024-03-02 02:02:35;29833073.71;8;0;3;0;291;2024-03-02;0
12;2024-03-02 02:16:59;2024-03-02 02:17:00;Validating;2024-03-02 02:16:59;214813914.46;7;6;4;6;624;2024-03-02;0
12;2024-03-02 02:17:00;2024-03-02 02:17:00;Waiting in backlog unmatched;2024-03-02 02:16:59;214813914.46;7;6;4;6;624;2024-03-02;0
13;2024-03-02 02:18:03;2024-03-02 02:18:04;Validating;2024-03-02 02:18:03;151941630.63;7;4;6;4;1127;2024-03-02;0
13;2024-03-02 02:18:04;2024-03-02 02:18:04;Waiting in backlog unmatched;2024-03-02 02:18:03;151941630.63;7;4;6;4;1127;2024-03-02;0
14;2024-03-02 02:28:13;2024-03-02 02:28:14;Validating;2024-03-02 02:28:13;114583563.78;4;3;1;3;110;2024-03-02;0
14;2024-03-02 02:28:14;2024-03-02 02:28:14;Waiting in backlog unmatched;2024-03-02 02:28:13;114583563.78;4;3;1;3;110;2024-03-02;0
15;2024-03-02 02:41:17;2024-03-02 02:41:18;Validating;2024-03-02 02:41:17;89215008.96;1;0;5;0;1037;2024-03-02;0
15;2024-03-02 02:41:18;2024-03-02 02:41:18;Waiting in backlog unmatched;2024-03-02 02:41:17;89215008.96;1;0;5;0;1037;2024-03-02;0
16;2024-03-02 02:42:17;2024-03-02 02:42:18;Validating;2024-03-02 02:42:17;150951284.03;3;7;6;7;129;2024-03-02;0
16;2024-03-02 02:42:18;2024-03-02 02:42:18;Waiting in backlog unmatched;2024-03-02 02:42:17;150951284.03;3;7;6;7;129;2024-03-02;0
17;2024-03-02 02:48:22;2024-03-02 02:48:23;Validating;2024-03-02 02:48:22;165121487.28;7;6;4;6;1257;2024-03-02;0
