Starttime;Endtime;Activity;Time;Value;FromParticipantId;FromAccountId;ToParticipantId;ToAccountId;Linkcode;SettlementDeadline;T+x;case_id;case:concept:name;concept:name;time:timestamp;@@index;@@case_index;Sending Part;Sending Account ID;Initial Account Balance;Credit limit
2024-03-02 00:30:57+00:00;2024-03-02 00:30:58+00:00;Validating;2024-03-02 00:30:57+00:00;227616795.67;5;0;3;0;612;2024-03-02 00:00:00+00:00;0;1;1;Validating;2024-03-02 00:30:57+00:00;0;0;5;0;4386839325.35;4003653376.26
2024-03-02 00:30:58+00:00;2024-03-02 00:30:58+00:00;Waiting in backlog unmatched;2024-03-02 00:30:57+00:00;227616795.67;5;0;3;0;612;2024-03-02 00:00:00+00:00;0;1;1;Waiting in backlog unmatched;2024-03-02 00:30:58+00:00;1;0;5;0;4386839325.35;4003653376.26
2024-03-02 09:19:23+00:00;2024-03-02 09:19:24+00:00;Matching;2024-03-02 00:30:57+00:00;227616795.67;5;0;3;0;612;2024-03-02 00:00:00+00:00;0;1;1;Matching;2024-03-02 09:19:23+00:00;2;0;5;0;4386839325.35;4003653376.26
2024-03-02 09:19:24+00:00;2024-03-02 09:19:25+00:00;Positioning;2024-03-02 00:30:57+00:00;227616795.67;5;0;3;0;612;2024-03-02 00:00:00+00:00;0;1;1;Positioning;2024-03-02 09:19:24+00:00;3;0;5;0;4386839325.35;4003653376.26
2024-03-02 09:19:25+00:00;2024-03-02 09:19:25+00:00;Settling;2024-03-02 00:30:57+00:00;227616795.67;5;0;3;0;612;2024-03-02 00:00:00+00:00;0;1;1;Settling;2024-03-02 09:19:25+00:00;4;0;5;0;4386839325.35;4003653376.26
2024-03-02 02:02:16+00:00;2024-03-02 02:02:17+00:00;Validating;2024-03-02 02:02:16+00:00;185170287.24;1;4;3;4;1410;2024-03-02 00:00:00+00:00;0;10;10;Validating;2024-03-02 02:02:16+00:00;5;1;1;4;699027571.0;0.0
2024-03-02 02:02:17+00:00;2024-03-02 02:02:17+00:00;Waiting in backlog unmatched;2024-03-02 02:02:16+00:00;185170287.24;1;4;3;4;1410;2024-03-02 00:00:00+00:00;0;10;10;Waiting in backlog unmatched;2024-03-02 02:02:17+00:00;6;1;1;4;699027571.0;0.0
2024-03-02 08:03:25+00:00;2024-03-02 08:03:26+00:00;Matching;2024-03-02 02:02:16+00:00;185170287.24;1;4;3;4;1410;2024-03-02 00:00:00+00:00;0;10;10;Matching;2024-03-02 08:03:25+00:00;7;1;1;4;699027571.0;0.0
2024-03-02 08:03:26+00:00;2024-03-02 08:03:27+00:00;Positioning;2024-03-02 02:02:16+00:00;185170287.24;1;4;3;4;1410;2024-03-02 00:00:00+00:00;0;10;10;Positioning;2024-03-02 08:03:26+00:00;8;1;1;4;699027571.0;0.0
2024-03-02 08:03:27+00:00;2024-03-02 08:03:27+00:00;Settling;2024-03-02 02:02:16+00:00;185170287.24;1;4;3;4;1410;2024-03-02 00:00:00+00:00;0;10;10;Settling;2024-03-02 08:03:27+00:00;9;1;1;4;699027571.0;0.0
