TID;Time;Value;FromParticipantId;FromAccountId;ToParticipantId;ToAccountId;Linkcode;SettlementDeadline
1;2024-03-04 00:22:33;55779865.8;3;0;4;0;33;2024-03-04
2;2024-03-04 00:33:13;305717158.32;3;2;5;2;10;2024-03-04
3;2024-03-04 00:41:10;276131125.11;4;8;5;8;9;2024-03-04
4;2024-03-04 01:15:30;266425240.99;2;7;1;7;19;2024-03-05
5;2024-03-04 03:00:05;29043198.72;2;0;1;0;40;2024-03-05
6;2024-03-04 04:32:20;535115465.14;1;5;4;5;7;2024-03-05
7;2024-03-04 05:55:34;269880243.16;1;0;4;0;42;2024-03-04
8;2024-03-04 06:51:45;276131125.11;5;0;4;0;9;2024-03-04
9;2024-03-04 07:27:53;440956266.79;5;5;4;5;8;2024-03-05
10;2024-03-04 09:16:42;440956266.79;4;0;5;0;8;2024-03-05
11;2024-03-04 09:44:04;57310690.55;4;4;3;4;35;2024-03-04
12;2024-03-04 10:14:06;99378613.65;1;0;3;0;4;2024-03-04
13;2024-03-04 10:14:39;127424538.23;2;0;5;0;30;2024-03-05
14;2024-03-04 10:49:21;139064870.37;1;6;5;6;28;2024-03-04
15;2024-03-04 13:01:52;535115465.14;4;0;1;0;7;2024-03-05
16;2024-03-04 14:08:10;321464350.25;2;7;5;7;36;2024-03-05
17;2024-03-04 15:06:01;305717158.32;5;0;3;0;10;2024-03-04
18;2024-03-04 15:07:00;321464350.25;5;0;2;0;36;2024-03-05
19;2024-03-04 15:19:17;269880243.16;4;6;1;6;42;2024-03-04
20;2024-03-04 17:19:46;266425240.99;1;0;2;0;19;2024-03-05
21;2024-03-04 19:00:04;127424538.23;5;1;2;1;30;2024-03-05
22;2024-03-04 21:39:04;256216125.94;5;0;2;0;37;2024-03-05
23;2024-03-04 21:42:32;256216125.94;2;2;5;2;37;2024-03-05
24;2024-03-04 22:10:01;55779865.8;4;6;3;6;33;2024-03-04
25;2024-03-04 23:55:51;139064870.37;5;0;1;0;28;2024-03-04
26;2024-03-05 00:10:50;36953357.29;5;0;2;0;49;2024-03-05
27;2024-03-05 00:42:09;35068891.16;4;2;2;2;11;2024-03-05
28;2024-03-05 00:47:27;29043198.72;1;4;2;4;40;2024-03-05
29;2024-03-05 01:24:14;165360731.49;5;0;3;0;14;2024-03-05
30;2024-03-05 01:43:16;36953357.29;2;5;5;5;49;2024-03-05
31;2024-03-05 02:28:48;99378613.65;3;1;1;1;4;2024-03-04
32;2024-03-05 02:36:52;105092388.42;1;0;4;0;46;2024-03-05
33;2024-03-05 03:27:13;113614371.87;1;0;5;0;21;2024-03-05
34;2024-03-05 05:47:35;105092388.42;4;4;1;4;46;2024-03-05
35;2024-03-05 06:05:03;118719268.14;2;0;5;0;48;2024-03-05
36;2024-03-05 06:16:10;229926990.94;1;0;4;0;29;2024-03-05
37;2024-03-05 08:25:27;119712643.1;3;0;2;0;2;2024-03-05
38;2024-03-05 08:29:08;118719268.14;5;7;2;7;48;2024-03-05
39;2024-03-05 09:20:02;328079348.29;5;0;2;0;34;2024-03-06
40;2024-03-05 12:36:36;165360731.49;3;5;5;5;14;2024-03-05
