TID;Time;Value;FromParticipantId;FromAccountId;ToParticipantId;ToAccountId;Linkcode;SettlementDeadline
1;2024-03-01 00:01:14;15800831.41;8;0;5;0;284;2024-03-02
2;2024-03-01 00:01:22;41579465.15;2;4;3;4;447;2024-03-02
3;2024-03-01 00:01:54;12751174.82;3;1;1;1;259;2024-03-01
4;2024-03-01 00:03:04;62166828.16;4;4;2;4;338;2024-03-01
5;2024-03-01 00:03:09;173765006.0;8;3;7;3;431;2024-03-02
6;2024-03-01 00:05:18;80310073.07;4;2;1;2;376;2024-03-01
7;2024-03-01 00:05:36;34984396.32;3;0;6;0;381;2024-03-01
8;2024-03-01 00:05:41;142423461.31;4;3;3;3;391;2024-03-02
9;2024-03-01 00:07:44;161785170.42;7;0;4;0;95;2024-03-01
10;2024-03-01 00:08:27;6195476.38;8;0;3;0;302;2024-03-01
11;2024-03-01 00:09:27;141805237.13;7;4;2;4;216;2024-03-01
12;2024-03-01 00:09:28;304408900.8;2;2;5;2;170;2024-03-02
13;2024-03-01 00:09:48;51158468.36;3;0;1;0;460;2024-03-01
14;2024-03-01 00:10:51;67766030.77;5;0;4;0;96;2024-03-01
15;2024-03-01 00:11:25;178327854.54;5;3;7;3;164;2024-03-02
16;2024-03-01 00:11:54;279105324.34;5;0;1;0;313;2024-03-01
17;2024-03-01 00:13:12;137806138.78;5;0;8;0;82;2024-03-01
18;2024-03-01 00:13:34;33931541.52;8;4;7;4;146;2024-03-02
19;2024-03-01 00:17:44;85758205.55;5;2;1;2;209;2024-03-01
20;2024-03-01 00:18:32;223810278.0;8;2;6;2;253;2024-03-02
21;2024-03-01 00:19:26;120798728.09;2;4;1;4;365;2024-03-02
22;2024-03-01 00:20:22;55598591.26;4;0;3;0;329;2024-03-02
23;2024-03-01 00:20:37;114527127.78;7;2;1;2;354;2024-03-01
24;2024-03-01 00:22:49;99122187.33;4;0;7;0;472;2024-03-01
25;2024-03-01 00:24:49;5347408.92;8;0;5;0;205;2024-03-02
26;2024-03-01 00:25:17;41230745.84;1;0;8;0;186;2024-02-29
27;2024-03-01 00:25:19;148931090.58;7;0;4;0;488;2024-03-01
28;2024-03-01 00:26:47;73361744.26;4;1;1;1;151;2024-03-02
29;2024-03-01 00:26:57;99570992.54;1;0;7;0;143;2024-03-02
30;2024-03-01 00:27:32;154168095.97;3;4;2;4;195;2024-03-01
31;2024-03-01 00:28:24;143716231.47;1;3;2;3;196;2024-03-02
32;2024-03-01 00:28:31;41230745.84;8;1;1;1;186;2024-02-29
33;2024-03-01 00:28:38;148616193.34;8;4;6;4;2;2024-03-01
34;2024-03-01 00:28:52;35754085.46;6;3;1;3;221;2024-03-01
35;2024-03-01 00:28:56;40973651.77;1;0;6;0;15;2024-03-01
36;2024-03-01 00:31:05;75894270.09;6;3;2;3;191;2024-03-03
37;2024-03-01 00:31:14;10563263.91;6;2;8;2;270;2024-03-01
38;2024-03-01 00:31:16;26212638.55;1;0;3;0;437;2024-03-01
39;2024-03-01 00:36:47;14382174.23;5;2;8;2;168;2024-03-02
40;2024-03-01 00:37:29;304408900.8;5;0;2;0;170;2024-03-02
41;2024-03-01 00:38:21;72779563.72;2;0;1;0;167;2024-03-01
42;2024-03-01 00:39:31;18020758.66;3;1;8;1;327;2024-03-01
43;2024-03-01 00:40:38;99885174.3;4;0;7;0;242;2024-03-01
44;2024-03-01 00:43:24;65096376.53;5;4;1;4;103;2024-03-01
45;2024-03-01 00:44:58;141805237.13;2;0;7;0;216;2024-03-01
46;2024-03-01 00:45:57;4520364.14;8;0;2;0;353;2024-03-01
47;2024-03-01 00:46:45;20544334.14;8;0;5;0;435;2024-03-01
48;2024-03-01 00:47:19;74018808.87;8;1;4;1;28;2024-03-02
49;2024-03-01 00:47:36;207190752.04;5;0;7;0;69;2024-03-01
50;2024-03-01 00:47:40;68934825.97;1;2;7;2;277;2024-03-02
51;2024-03-01 00:47:46;46902554.43;2;3;1;3;112;2024-03-01
52;2024-03-01 00:49:46;96074878.31;4;1;5;1;322;2024-03-01
53;2024-03-01 00:51:02;78868902.1;4;0;7;0;341;2024-03-02
54;2024-03-01 00:51:06;55178776.2;1;0;8;0;482;2024-03-01
55;2024-03-01 00:56:53;4520364.14;2;3;8;3;353;2024-03-01
56;2024-03-01 00:58:12;66640897.85;4;3;3;3;361;2024-03-03
57;2024-03-01 00:58:31;101723309.86;3;0;1;0;304;2024-03-01
58;2024-03-01 00:59:43;34757831.21;2;3;1;3;280;2024-03-01
59;2024-03-01 01:03:08;77169150.82;3;0;1;0;81;2024-03-02
60;2024-03-01 01:03:10;163813123.35;7;0;1;0;22;2024-03-01
61;2024-03-01 01:05:21;57377437.27;7;2;3;2;282;2024-03-01
62;2024-03-01 01:06:13;57377437.27;3;0;7;0;282;2024-03-01
63;2024-03-01 01:06:27;81049122.33;4;2;2;2;291;2024-03-02
64;2024-03-01 01:07:36;279105324.34;1;4;5;4;313;2024-03-01
65;2024-03-01 01:10:16;10118723.5;4;0;7;0;99;2024-03-02
66;2024-03-01 01:11:25;29961745.6;1;0;7;0;224;2024-03-01
67;2024-03-01 01:14:54;86712345.97;1;1;5;1;457;2024-03-02
68;2024-03-01 01:15:10;10118723.5;7;2;4;2;99;2024-03-02
69;2024-03-01 01:16:32;195431623.93;3;2;5;2;76;2024-03-02
70;2024-03-01 01:20:45;138408041.45;2;0;8;0;60;2024-03-01
71;2024-03-01 01:21:26;73361744.26;1;0;4;0;151;2024-03-02
72;2024-03-01 01:21:48;25649179.61;8;3;6;3;428;2024-03-01
73;2024-03-01 01:21:58;8058154.09;7;1;8;1;492;2024-03-01
74;2024-03-01 01:23:38;111714878.75;2;0;3;0;307;2024-03-02
75;2024-03-01 01:24:22;29961745.6;7;2;1;2;224;2024-03-01
76;2024-03-01 01:26:19;118698829.58;2;0;7;0;325;2024-03-01
77;2024-03-01 01:28:57;13663713.17;8;4;2;4;289;2024-03-02
78;2024-03-01 01:29:30;6101527.62;8;0;3;0;295;2024-03-02
79;2024-03-01 01:38:18;77157010.11;8;3;6;3;489;2024-03-03
80;2024-03-01 01:40:10;14068426.12;2;2;8;2;236;2024-03-02
81;2024-03-01 01:41:47;49275985.49;4;2;6;2;400;2024-03-01
82;2024-03-01 01:56:40;59934393.95;1;0;8;0;401;2024-03-01
83;2024-03-01 01:57:56;99570992.54;7;2;1;2;143;2024-03-02
84;2024-03-01 02:19:24;138071453.69;7;4;3;4;174;2024-03-02
85;2024-03-01 02:19:37;14382174.23;8;0;5;0;168;2024-03-02
86;2024-03-01 02:21:41;120558908.25;6;1;5;1;330;2024-03-01
87;2024-03-01 02:21:43;37312071.82;3;4;1;4;188;2024-03-02
88;2024-03-01 02:29:13;25717454.58;2;2;7;2;49;2024-03-03
89;2024-03-01 02:30:50;54739635.33;6;0;1;0;374;2024-03-01
90;2024-03-01 02:31:49;69049275.61;6;0;4;0;433;2024-03-01
91;2024-03-01 02:34:00;45108800.4;1;0;7;0;336;2024-03-02
92;2024-03-01 02:35:18;25717454.58;7;0;2;0;49;2024-03-03
93;2024-03-01 02:37:13;114279283.34;4;0;3;0;185;2024-03-02
94;2024-03-01 02:38:59;96074878.31;5;0;4;0;322;2024-03-01
95;2024-03-01 02:39:35;81613269.87;1;0;8;0;109;2024-03-02
96;2024-03-01 02:40:27;80753821.45;1;0;6;0;440;2024-03-02
97;2024-03-01 02:41:28;30357701.5;7;0;4;0;300;2024-03-02
98;2024-03-01 02:41:39;84368846.67;5;2;4;2;392;2024-03-03
99;2024-03-01 02:45:49;120014798.77;2;0;3;0;171;2024-03-02
100;2024-03-01 02:45:53;132569157.58;5;4;2;4;133;2024-03-01
101;2024-03-01 02:54:57;14891496.82;8;0;6;0;441;2024-03-01
102;2024-03-01 02:56:35;2069042.97;6;1;8;1;483;2024-03-02
103;2024-03-01 02:57:14;142423461.31;3;0;4;0;391;2024-03-02
104;2024-03-01 03:00:28;99122187.33;7;4;4;4;472;2024-03-01
105;2024-03-01 03:00:53;35597034.19;6;4;3;4;55;2024-03-02
106;2024-03-01 03:06:03;143716231.47;2;0;1;0;196;2024-03-02
107;2024-03-01 03:10:39;37885448.01;4;0;6;0;340;2024-03-01
108;2024-03-01 03:13:33;80310073.07;1;0;4;0;376;2024-03-01
109;2024-03-01 03:16:09;5415205.11;8;0;1;0;14;2024-03-02
110;2024-03-01 03:25:19;12737450.38;7;4;8;4;74;2024-03-02
111;2024-03-01 03:27:04;169723809.43;4;1;6;1;331;2024-03-02
112;2024-03-01 03:29:57;6429695.72;1;2;8;2;343;2024-03-01
113;2024-03-01 03:37:41;68934825.97;7;0;1;0;277;2024-03-02
