TID;Time;Value;FromParticipantId;FromAccountId;ToParticipantId;ToAccountId;Linkcode;SettlementDeadline
1;2024-03-04 00:00:06;68187275.25;21;3;8;3;1352;2024-03-04
2;2024-03-04 00:00:07;256329417.62;25;4;4;4;1269;2024-03-04
3;2024-03-04 00:00:07;30326046.69;24;0;8;0;940;2024-03-05
4;2024-03-04 00:00:18;47269455.71;20;7;16;7;1370;2024-03-05
5;2024-03-04 00:00:28;58338705.16;2;0;25;0;3059;2024-03-04
6;2024-03-04 00:01:01;191128042.83;1;1;19;1;635;2024-03-06
7;2024-03-04 00:01:11;183509262.26;15;3;26;3;3397;2024-03-04
8;2024-03-04 00:01:12;122343385.84;22;0;24;0;4501;2024-03-04
9;2024-03-04 00:01:51;158200152.04;23;6;11;6;3040;2024-03-05
10;2024-03-04 00:02:23;64472319.98;1;8;6;8;2120;2024-03-05
11;2024-03-04 00:02:55;322567359.74;26;6;10;6;1004;2024-03-05
12;2024-03-04 00:03:29;26601831.28;3;2;15;2;2669;2024-03-06
13;2024-03-04 00:03:46;148437501.17;6;0;10;0;2231;2024-03-05
14;2024-03-04 00:03:49;161468785.49;18;0;29;0;4393;2024-03-04
15;2024-03-04 00:04:02;217188880.18;28;0;16;0;2955;2024-03-05
16;2024-03-04 00:04:35;222345693.85;19;0;3;0;2036;2024-03-04
17;2024-03-04 00:05:15;47045278.41;5;0;25;0;2142;2024-03-04
18;2024-03-04 00:05:38;107577361.06;22;8;6;8;736;2024-03-04
19;2024-03-04 00:05:50;213144932.24;8;0;27;0;1744;2024-03-05
20;2024-03-04 00:06:00;215216554.64;18;0;15;0;2629;2024-03-05
21;2024-03-04 00:06:32;412667398.21;20;0;25;0;4347;2024-03-04
22;2024-03-04 00:06:33;93714241.99;9;0;4;0;764;2024-03-04
23;2024-03-04 00:06:41;18751683.88;2;0;6;0;2432;2024-03-04
24;2024-03-04 00:07:03;101100699.96;20;2;14;2;2947;2024-03-05
25;2024-03-04 00:07:13;259551257.83;5;0;26;0;256;2024-03-04
26;2024-03-04 00:07:33;248763696.53;23;0;16;0;1735;2024-03-04
27;2024-03-04 00:07:33;168993338.28;13;1;23;1;2178;2024-03-04
28;2024-03-04 00:08:04;211159337.16;27;0;24;0;2041;2024-03-05
29;2024-03-04 00:08:13;102473295.66;11;5;18;5;2553;2024-03-06
30;2024-03-04 00:08:37;106791549.4;18;4;10;4;4009;2024-03-04
31;2024-03-04 00:08:40;136164372.28;17;0;28;0;1213;2024-03-05
32;2024-03-04 00:08:48;152202744.59;20;1;15;1;2104;2024-03-04
33;2024-03-04 00:09:11;7754790.5;17;4;29;4;727;2024-03-04
34;2024-03-04 00:09:47;189100384.18;3;5;2;5;1300;2024-03-04
35;2024-03-04 00:09:56;91444755.57;23;3;21;3;849;2024-03-06
36;2024-03-04 00:10:30;46568393.9;3;0;4;0;1463;2024-03-04
37;2024-03-04 00:10:41;147708566.83;4;3;18;3;3834;2024-03-05
38;2024-03-04 00:10:51;36352400.93;5;4;9;4;2262;2024-03-04
39;2024-03-04 00:11:03;68164788.54;4;8;25;8;3362;2024-03-04
40;2024-03-04 00:11:04;131462416.83;2;5;22;5;3952;2024-03-05
41;2024-03-04 00:11:12;112654636.98;14;0;16;0;1011;2024-03-04
42;2024-03-04 00:11:40;100203621.54;21;0;27;0;2520;2024-03-05
43;2024-03-04 00:11:41;116861996.39;28;2;10;2;4186;2024-03-05
44;2024-03-04 00:11:47;18110824.95;12;8;18;8;4229;2024-03-05
45;2024-03-04 00:11:50;74807868.73;22;0;30;0;4738;2024-03-04
46;2024-03-04 00:12:23;193924134.19;12;3;4;3;905;2024-03-05
47;2024-03-04 00:12:52;47257679.39;11;8;29;8;532;2024-03-05
48;2024-03-04 00:12:59;16536107.3;17;3;3;3;1223;2024-03-04
49;2024-03-04 00:13:04;15322074.03;29;0;27;0;876;2024-03-06
50;2024-03-04 00:13:08;53923566.05;7;0;22;0;3156;2024-03-06
51;2024-03-04 00:13:17;51467902.9;14;0;18;0;1348;2024-03-04
52;2024-03-04 00:13:32;153082585.35;22;0;7;0;1923;2024-03-04
53;2024-03-04 00:13:45;122343385.84;24;8;22;8;4501;2024-03-04
54;2024-03-04 00:13:56;96476581.31;24;1;12;1;2962;2024-03-04
55;2024-03-04 00:14:28;140679071.78;26;3;28;3;805;2024-03-04
56;2024-03-04 00:14:32;102585949.58;6;7;11;7;4829;2024-03-04
57;2024-03-04 00:14:58;193401731.99;14;4;22;4;1313;2024-03-04
58;2024-03-04 00:15:41;118628309.95;18;0;15;0;1783;2024-03-05
59;2024-03-04 00:15:52;175369876.13;6;0;19;0;2611;2024-03-04
60;2024-03-04 00:15:54;156863524.39;18;1;11;1;1007;2024-03-04
61;2024-03-04 00:16:22;57905287.9;30;4;10;4;2518;2024-03-04
62;2024-03-04 00:16:31;215574285.88;2;3;18;3;3310;2024-03-04
63;2024-03-04 00:16:49;144063298.19;26;0;14;0;1139;2024-03-06
64;2024-03-04 00:16:49;188032796.99;5;0;18;0;1324;2024-03-04
65;2024-03-04 00:16:55;74941509.11;1;0;3;0;3566;2024-03-04
66;2024-03-04 00:17:01;102482242.95;17;0;27;0;182;2024-03-04
67;2024-03-04 00:17:08;142055879.58;12;0;5;0;4528;2024-03-04
68;2024-03-04 00:17:12;132145735.29;25;0;15;0;1961;2024-03-05
69;2024-03-04 00:17:13;91967538.45;30;5;14;5;2222;2024-03-05
70;2024-03-04 00:17:24;152347951.46;8;0;17;0;3627;2024-03-05
71;2024-03-04 00:17:28;277482352.48;10;0;2;0;2721;2024-03-05
72;2024-03-04 00:17:32;123488400.91;17;0;19;0;1725;2024-03-05
73;2024-03-04 00:17:33;23596492.83;30;8;16;8;4670;2024-03-05
74;2024-03-04 00:17:35;111981477.31;21;4;15;4;1471;2024-03-04
75;2024-03-04 00:17:43;277757470.91;4;0;24;0;1472;2024-03-04
76;2024-03-04 00:17:55;117297600.14;17;1;18;1;3932;2024-03-04
77;2024-03-04 00:18:29;198477985.16;27;0;11;0;947;2024-03-04
78;2024-03-04 00:18:30;146220034.06;25;8;28;8;751;2024-03-05
79;2024-03-04 00:18:35;99217953.71;2;0;5;0;4939;2024-03-05
80;2024-03-04 00:18:37;48535904.6;29;0;12;0;2935;2024-03-04
81;2024-03-04 00:18:49;64602806.91;21;0;17;0;3730;2024-03-04
82;2024-03-04 00:18:51;169197824.46;11;0;1;0;3680;2024-03-05
83;2024-03-04 00:18:56;108390530.94;2;1;15;1;1791;2024-03-06
84;2024-03-04 00:18:57;59515956.09;14;0;24;0;2912;2024-03-04
85;2024-03-04 00:18:59;204398468.88;15;0;28;0;4383;2024-03-04
86;2024-03-04 00:19:06;75537226.24;27;0;21;0;3622;2024-03-04
87;2024-03-04 00:19:32;152947449.65;5;0;4;0;4137;2024-03-05
88;2024-03-04 00:19:36;63423462.31;8;0;7;0;2274;2024-03-05
89;2024-03-04 00:19:39;23790853.45;17;5;29;5;495;2024-03-04
90;2024-03-04 00:19:42;216292579.67;26;0;21;0;100;2024-03-04
91;2024-03-04 00:19:51;191532967.24;4;0;21;0;1652;2024-03-05
92;2024-03-04 00:20:12;78440943.95;21;1;25;1;4763;2024-03-05
93;2024-03-04 00:20:29;69319126.57;28;4;23;4;144;2024-03-06
94;2024-03-04 00:20:40;79755008.91;23;0;16;0;1833;2024-03-04
95;2024-03-04 00:20:42;43483330.77;22;0;29;0;1796;2024-03-04
96;2024-03-04 00:20:58;94148243.89;18;3;9;3;3038;2024-03-06
97;2024-03-04 00:21:04;131643629.44;28;6;5;6;1363;2024-03-05
98;2024-03-04 00:21:12;111053263.6;5;3;6;3;3174;2024-03-04
99;2024-03-04 00:21:35;97247166.38;12;0;30;0;1575;2024-03-04
100;2024-03-04 00:21:52;170993145.37;17;2;9;2;4548;2024-03-04
101;2024-03-04 00:22:35;106667029.04;17;0;21;0;4730;2024-03-05
102;2024-03-04 00:23:04;158200152.04;11;0;23;0;3040;2024-03-05
103;2024-03-04 00:23:12;26608237.7;21;0;11;0;1499;2024-03-04
104;2024-03-04 00:23:18;240054013.27;15;0;30;0;78;2024-03-04
105;2024-03-04 00:23:28;328023489.46;6;7;20;7;3682;2024-03-04
106;2024-03-04 00:23:36;31335324.42;17;0;10;0;3183;2024-03-06
107;2024-03-04 00:23:40;114731251.34;5;0;14;0;595;2024-03-04
108;2024-03-04 00:23:47;96724957.24;28;6;19;6;1792;2024-03-04
109;2024-03-04 00:24:09;36574952.32;5;4;25;4;4075;2024-03-04
110;2024-03-04 00:24:11;16024092.26;3;0;9;0;1889;2024-03-04
111;2024-03-04 00:24:15;61708376.82;27;6;14;6;1587;2024-03-04
112;2024-03-04 00:24:31;84724713.34;25;0;9;0;958;2024-03-05
113;2024-03-04 00:24:52;272781763.82;23;0;16;0;4030;2024-03-04
114;2024-03-04 00:24:54;109164784.6;16;0;22;0;2646;2024-03-05
115;2024-03-04 00:25:07;68427632.69;29;7;30;7;3537;2024-03-06
116;2024-03-04 00:25:32;74845193.42;18;0;7;0;320;2024-03-04
117;2024-03-04 00:25:35;229280966.16;4;0;22;0;2821;2024-03-05
118;2024-03-04 00:25:40;269464998.64;17;4;1;4;4232;2024-03-04
119;2024-03-04 00:25:52;62482034.78;18;7;16;7;2948;2024-03-04
120;2024-03-04 00:25:54;104311010.12;23;0;2;0;2860;2024-03-05
121;2024-03-04 00:26:07;137318456.26;9;0;19;0;2631;2024-03-05
122;2024-03-04 00:26:11;96462535.75;24;0;28;0;1820;2024-03-04
123;2024-03-04 00:26:35;230829436.24;22;0;2;0;4109;2024-03-05
124;2024-03-04 00:26:55;116339202.84;26;0;9;0;106;2024-03-05
125;2024-03-04 00:27:09;34119805.36;4;2;30;2;3877;2024-03-06
126;2024-03-04 00:27:10;45243075.96;11;0;5;0;2837;2024-03-05
127;2024-03-04 00:27:15;180073793.34;25;2;23;2;3756;2024-03-05
128;2024-03-04 00:27:22;82672167.8;29;0;21;0;3895;2024-03-05
129;2024-03-04 00:27:35;67676820.48;14;4;29;4;2748;2024-03-06
130;2024-03-04 00:27:45;167504815.61;29;5;6;5;2472;2024-03-04
131;2024-03-04 00:27:46;307254460.88;5;0;6;0;2933;2024-03-05
132;2024-03-04 00:27:49;66231475.89;21;0;12;0;2255;2024-03-04
133;2024-03-04 00:27:54;93079966.39;12;0;26;0;155;2024-03-06
134;2024-03-04 00:28:16;45160110.03;28;1;18;1;3690;2024-03-04
135;2024-03-04 00:28:16;118290481.19;27;0;13;0;2071;2024-03-05
136;2024-03-04 00:28:32;192563910.81;9;0;18;0;3831;2024-03-05
137;2024-03-04 00:28:32;107571117.27;29;1;9;1;190;2024-03-04
138;2024-03-04 00:28:41;131382298.83;17;0;27;0;380;2024-03-05
