TID;Time;Value;FromParticipantId;FromAccountId;ToParticipantId;ToAccountId;Linkcode
1;2024-01-01 00:13:01;70834326.88;8;1;4;1;881
2;2024-01-01 00:18:34;22902922.97;8;0;7;0;53
3;2024-01-01 00:22:23;30561682.0;6;0;8;0;1236
4;2024-01-01 00:24:34;7787959.1;1;0;3;0;1104
5;2024-01-01 00:25:43;105763515.5;7;2;5;2;403
6;2024-01-01 00:32:53;31251466.08;4;3;5;3;1210
7;2024-01-01 00:40:42;48346675.72;5;1;1;1;995
8;2024-01-01 00:44:37;148248755.92;4;0;6;0;467
9;2024-01-01 00:47:10;54056009.55;7;0;3;0;100
10;2024-01-01 00:47:48;80074806.58;1;4;7;4;1029
11;2024-01-01 00:48:56;48598900.65;8;0;7;0;457
12;2024-01-01 00:53:53;66675003.66;4;0;2;0;996
13;2024-01-01 00:58:36;29132416.87;5;3;4;3;437
14;2024-01-01 01:00:01;49046560.32;8;0;6;0;803
15;2024-01-01 01:02:14;31362411.29;1;0;2;0;288
16;2024-01-01 01:03:27;59379742.41;4;2;1;2;216
17;2024-01-01 01:09:27;113758624.35;8;2;6;2;629
18;2024-01-01 01:15:10;70105500.4;2;1;1;1;257
19;2024-01-01 01:18:43;126632033.13;5;0;6;0;679
20;2024-01-01 01:18:55;75137565.4;5;0;6;0;1037
21;2024-01-01 01:23:42;69512565.82;8;0;7;0;462
22;2024-01-01 01:30:06;31749390.63;1;3;3;3;446
23;2024-01-01 01:30:28;57228641.85;8;1;1;1;1164
24;2024-01-01 01:31:25;25153183.91;1;0;8;0;635
25;2024-01-01 01:31:49;69434853.62;7;1;2;1;237
26;2024-01-01 01:32:01;75722461.46;2;3;5;3;811
27;2024-01-01 01:32:16;75259325.28;5;2;3;2;586
28;2024-01-01 01:32:44;37846398.38;8;0;3;0;36
29;2024-01-01 01:33:19;56920994.55;7;0;5;0;1041
30;2024-01-01 01:33:21;20743383.7;2;0;4;0;1007
31;2024-01-01 01:34:03;32428689.11;1;2;4;2;1065
32;2024-01-01 01:34:20;5962589.66;7;0;3;0;592
33;2024-01-01 01:34:46;27329819.1;8;0;4;0;180
34;2024-01-01 01:35:10;94496121.82;7;4;2;4;986
35;2024-01-01 01:35:36;44867246.22;3;0;6;0;131
36;2024-01-01 01:35:54;66300722.21;7;2;3;2;736
37;2024-01-01 01:35:58;94521117.12;8;0;2;0;129
38;2024-01-01 01:36:01;132065823.02;8;3;5;3;834
39;2024-01-01 01:36:03;84913208.31;4;0;5;0;1145
40;2024-01-01 01:36:19;105426847.61;6;0;4;0;272
41;2024-01-01 01:36:31;71618871.29;7;0;4;0;52
42;2024-01-01 01:37:11;132552431.76;1;0;5;0;253
43;2024-01-01 01:37:50;89164814.75;3;4;8;4;775
44;2024-01-01 01:37:59;94107899.74;1;0;2;0;654
45;2024-01-01 01:38:00;35872613.41;8;0;2;0;1170
46;2024-01-01 01:38:20;91659480.43;2;2;8;2;1002
47;2024-01-01 01:38:22;115680937.5;4;0;6;0;947
48;2024-01-01 01:38:46;75799353.6;2;0;8;0;556
49;2024-01-01 01:38:48;97284313.9;7;3;4;3;105
50;2024-01-01 01:40:02;110019056.87;8;0;1;0;172
51;2024-01-01 01:40:03;61651225.95;1;0;6;0;137
52;2024-01-01 01:40:03;14027816.03;6;3;8;3;720
53;2024-01-01 01:40:24;140389253.84;4;0;8;0;1089
54;2024-01-01 01:41:16;114949313.78;6;1;3;1;40
55;2024-01-01 01:42:30;42161545.89;6;2;8;2;923
56;2024-01-01 01:42:50;91700481.36;1;0;8;0;645
57;2024-01-01 01:42:53;61329643.5;4;0;5;0;1099
58;2024-01-01 01:42:56;105426847.61;4;3;6;3;272
59;2024-01-01 01:43:26;43134466.49;1;0;5;0;1022
60;2024-01-01 01:43:44;80447641.7;6;3;3;3;1190
61;2024-01-01 01:43:52;78204539.39;1;0;5;0;886
62;2024-01-01 01:44:43;149173559.24;5;0;1;0;510
63;2024-01-01 01:44:56;42825758.32;5;0;6;0;618
64;2024-01-01 01:45:05;127426789.22;4;0;8;0;664
65;2024-01-01 01:45:15;8479202.86;1;1;7;1;939
66;2024-01-01 01:45:17;156831740.47;5;0;2;0;450
67;2024-01-01 01:46:00;94519407.56;8;0;6;0;693
68;2024-01-01 01:46:57;8370077.56;1;3;7;3;1060
69;2024-01-01 01:46:58;72417177.25;6;0;4;0;1235
70;2024-01-01 01:47:30;34468400.44;6;4;7;4;1106
71;2024-01-01 01:47:39;18929352.88;8;0;6;0;1116
72;2024-01-01 01:47:41;32354148.97;4;0;2;0;369
73;2024-01-01 01:47:42;58639810.11;6;0;8;0;581
74;2024-01-01 01:48:41;113758624.35;6;0;8;0;629
75;2024-01-01 01:48:41;24521231.22;8;2;3;2;1126
76;2024-01-01 01:48:42;57079916.22;1;3;4;3;596
77;2024-01-01 01:48:47;117718068.85;1;4;3;4;57
78;2024-01-01 01:49:12;51795794.58;1;0;8;0;1166
79;2024-01-01 01:49:18;102660459.1;1;0;5;0;147
80;2024-01-01 01:49:55;103410053.91;5;0;6;0;751
81;2024-01-01 01:50:04;86142186.27;7;0;3;0;378
82;2024-01-01 01:50:22;47520727.73;7;1;1;1;164
83;2024-01-01 01:50:59;38528661.37;7;0;8;0;197
84;2024-01-01 01:51:06;112906878.39;3;0;1;0;805
85;2024-01-01 01:51:22;39743737.33;8;1;3;1;1128
86;2024-01-01 01:51:32;44241520.78;3;0;4;0;1074
87;2024-01-01 01:51:41;157160638.09;5;0;4;0;25
88;2024-01-01 01:51:46;67180985.35;7;4;2;4;492
89;2024-01-01 01:51:51;51613356.62;1;4;2;4;825
90;2024-01-01 01:51:54;63688634.73;4;0;2;0;699
91;2024-01-01 01:52:13;42542809.56;7;2;2;2;364
92;2024-01-01 01:52:33;44968164.4;2;0;6;0;911
93;2024-01-01 01:52:35;46235825.79;6;3;2;3;569
94;2024-01-01 01:53:01;102930393.51;3;0;6;0;61
95;2024-01-01 01:53:19;20701757.48;3;0;1;0;1054
96;2024-01-01 01:53:59;105763515.5;5;0;7;0;403
97;2024-01-01 01:54:14;93611689.86;6;3;8;3;213
98;2024-01-01 01:54:14;64304441.49;1;3;7;3;1055
99;2024-01-01 01:54:18;16076985.51;4;0;7;0;860
100;2024-01-01 01:54:44;71772856.48;7;1;6;1;892
101;2024-01-01 01:55:19;54555147.0;7;4;1;4;434
102;2024-01-01 01:55:19;83804125.99;4;4;6;4;297
103;2024-01-01 01:55:37;105162017.59;3;3;8;3;890
104;2024-01-01 01:56:22;50457805.85;8;0;6;0;247
105;2024-01-01 01:56:24;6170251.06;8;0;3;0;389
106;2024-01-01 01:56:24;97284313.9;4;0;7;0;105
107;2024-01-01 01:56:41;80804568.42;4;3;8;3;1009
108;2024-01-01 01:56:45;131567208.88;5;0;1;0;942
109;2024-01-01 01:57:05;64277879.92;7;4;1;4;549
110;2024-01-01 01:57:22;68495195.7;7;1;2;1;144
111;2024-01-01 01:57:26;148521699.55;4;0;8;0;850
112;2024-01-01 01:57:56;103162508.6;8;0;7;0;893
113;2024-01-01 01:58:00;29452606.28;3;0;4;0;128
114;2024-01-01 01:58:14;71772856.48;6;0;7;0;892
115;2024-01-01 01:58:18;76751408.1;5;3;2;3;1214
116;2024-01-01 01:58:21;114545402.31;6;2;2;2;276
117;2024-01-01 01:58:23;69512565.82;7;2;8;2;462
118;2024-01-01 01:58:23;77560686.22;7;4;4;4;674
119;2024-01-01 01:58:56;43968987.43;8;0;7;0;496
120;2024-01-01 01:59:09;36291021.12;3;0;2;0;1243
121;2024-01-01 01:59:29;21711290.15;5;4;1;4;978
122;2024-01-01 01:59:46;7502724.69;8;3;1;3;530
123;2024-01-01 01:59:52;68015798.16;6;4;2;4;856
124;2024-01-01 02:00:10;32765999.45;8;2;4;2;1064
125;2024-01-01 02:00:25;31501666.65;3;1;5;1;1028
126;2024-01-01 02:00:30;11902806.1;5;3;7;3;537
127;2024-01-01 02:01:04;31987246.51;4;0;7;0;285
128;2024-01-01 02:01:55;55310517.66;7;3;2;3;355
129;2024-01-01 02:03:03;24246962.72;5;4;6;4;989
130;2024-01-01 02:03:05;29913927.32;5;0;8;0;1053
131;2024-01-01 02:03:41;14027816.03;8;0;6;0;720
132;2024-01-01 02:03:54;152082716.96;3;3;4;3;70
133;2024-01-01 02:04:07;24246962.72;6;0;5;0;989
134;2024-01-01 02:04:31;66036050.31;4;4;7;4;717
135;2024-01-01 02:04:39;49085258.42;5;0;7;0;1135
136;2024-01-01 02:04:40;11758137.75;2;0;7;0;1013
137;2024-01-01 02:06:12;51485939.21;8;1;7;1;2
138;2024-01-01 02:06:29;24974114.98;6;0;5;0;69
139;2024-01-01 02:06:37;80598816.44;7;1;8;1;31
140;2024-01-01 02:07:50;24407351.87;3;0;5;0;779
141;2024-01-01 02:07:50;87291639.83;7;2;8;2;796
142;2024-01-01 02:08:20;95072560.87;2;0;3;0;769
143;2024-01-01 02:08:30;11989900.53;1;0;3;0;560
144;2024-01-01 02:08:31;77084243.56;6;4;2;4;909
145;2024-01-01 02:08:33;141258692.29;5;0;6;0;1100
146;2024-01-01 02:09:07;64352372.26;2;4;3;4;209
147;2024-01-01 02:09:38;33134070.73;1;0;8;0;509
148;2024-01-01 02:09:47;38306703.13;5;0;3;0;944
149;2024-01-01 02:09:47;75563683.85;2;3;8;3;140
