TID;Starttime;Endtime;Activity
1;2024-01-01 00:01:09;2024-01-01 00:01:11;Validating
1;2024-01-01 00:01:11;2024-01-01 00:01:11;Waiting in queue received
2;2024-01-01 00:01:22;2024-01-01 00:01:24;Validating
2;2024-01-01 00:01:24;2024-01-01 00:01:24;Waiting in queue received
3;2024-01-01 00:01:36;2024-01-01 00:01:38;Validating
3;2024-01-01 00:01:38;2024-01-01 00:01:38;Waiting in queue received
4;2024-01-01 00:02:46;2024-01-01 00:02:48;Validating
4;2024-01-01 00:02:48;2024-01-01 00:02:48;Waiting in queue received
5;2024-01-01 00:03:12;2024-01-01 00:03:14;Validating
5;2024-01-01 00:03:14;2024-01-01 00:03:14;Waiting in queue received
6;2024-01-01 00:04:35;2024-01-01 00:04:37;Validating
6;2024-01-01 00:04:37;2024-01-01 00:04:37;Waiting in queue received
7;2024-01-01 00:05:11;2024-01-01 00:05:13;Validating
7;2024-01-01 00:05:13;2024-01-01 00:05:13;Waiting in queue received
8;2024-01-01 00:07:21;2024-01-01 00:07:23;Validating
8;2024-01-01 00:07:23;2024-01-01 00:07:23;Waiting in queue received
9;2024-01-01 00:07:54;2024-01-01 00:07:56;Validating
9;2024-01-01 00:07:56;2024-01-01 00:07:56;Waiting in queue received
10;2024-01-01 00:08:26;2024-01-01 00:08:28;Validating
10;2024-01-01 00:08:28;2024-01-01 00:08:28;Waiting in queue received
11;2024-01-01 00:09:36;2024-01-01 00:09:38;Validating
12;2024-01-01 00:09:36;2024-01-01 00:09:38;Validating
11;2024-01-01 00:09:38;2024-01-01 00:09:38;Waiting in queue received
12;2024-01-01 00:09:38;2024-01-01 00:09:38;Waiting in queue received
13;2024-01-01 00:10:22;2024-01-01 00:10:24;Validating
13;2024-01-01 00:10:24;2024-01-01 00:10:24;Waiting in queue received
14;2024-01-01 00:10:49;2024-01-01 00:10:51;Validating
15;2024-01-01 00:10:49;2024-01-01 00:10:51;Validating
14;2024-01-01 00:10:51;2024-01-01 00:10:51;Waiting in queue received
15;2024-01-01 00:10:51;2024-01-01 00:10:51;Waiting in queue received
16;2024-01-01 00:11:02;2024-01-01 00:11:04;Validating
16;2024-01-01 00:11:04;2024-01-01 00:11:04;Waiting in queue received
17;2024-01-01 00:13:02;2024-01-01 00:13:04;Validating
17;2024-01-01 00:13:04;2024-01-01 00:13:04;Waiting in queue received
18;2024-01-01 00:14:47;2024-01-01 00:14:49;Validating
18;2024-01-01 00:14:49;2024-01-01 00:14:49;Waiting in queue received
19;2024-01-01 00:16:37;2024-01-01 00:16:39;Validating
19;2024-01-01 00:16:39;2024-01-01 00:16:39;Waiting in queue received
20;2024-01-01 00:18:30;2024-01-01 00:18:32;Validating
20;2024-01-01 00:18:32;2024-01-01 00:18:32;Waiting in queue received
21;2024-01-01 00:20:52;2024-01-01 00:20:54;Validating
21;2024-01-01 00:20:54;2024-01-01 00:20:54;Waiting in queue received
22;2024-01-01 00:20:59;2024-01-01 00:21:01;Validating
22;2024-01-01 00:21:01;2024-01-01 00:21:01;Waiting in queue received
23;2024-01-01 00:22:32;2024-01-01 00:22:34;Validating
23;2024-01-01 00:22:34;2024-01-01 00:22:34;Waiting in queue received
24;2024-01-01 00:23:14;2024-01-01 00:23:16;Validating
24;2024-01-01 00:23:16;2024-01-01 00:23:16;Waiting in queue received
25;2024-01-01 00:24:59;2024-01-01 00:25:01;Validating
25;2024-01-01 00:25:01;2024-01-01 00:25:01;Waiting in queue received
26;2024-01-01 00:25:17;2024-01-01 00:25:19;Validating
26;2024-01-01 00:25:19;2024-01-01 00:25:19;Waiting in queue received
27;2024-01-01 00:25:35;2024-01-01 00:25:37;Validating
27;2024-01-01 00:25:37;2024-01-01 00:25:37;Waiting in queue received
28;2024-01-01 00:25:42;2024-01-01 00:25:44;Validating
28;2024-01-01 00:25:44;2024-01-01 00:25:44;Waiting in queue received
29;2024-01-01 00:27:14;2024-01-01 00:27:16;Validating
29;2024-01-01 00:27:16;2024-01-01 00:27:16;Waiting in queue received
30;2024-01-01 00:27:53;2024-01-01 00:27:55;Validating
30;2024-01-01 00:27:55;2024-01-01 00:27:55;Waiting in queue received
31;2024-01-01 00:27:56;2024-01-01 00:27:58;Validating
31;2024-01-01 00:27:58;2024-01-01 00:27:58;Waiting in queue received
