TID;Starttime;Endtime;Activity
1;2024-01-01 00:00:01;2024-01-01 00:00:03;Validating
1;2024-01-01 00:00:03;2024-01-01 00:00:03;Waiting in queue received
2;2024-01-01 00:00:14;2024-01-01 00:00:16;Validating
2;2024-01-01 00:00:16;2024-01-01 00:00:16;Waiting in queue received
3;2024-01-01 00:00:34;2024-01-01 00:00:36;Validating
3;2024-01-01 00:00:36;2024-01-01 00:00:36;Waiting in queue received
4;2024-01-01 00:00:46;2024-01-01 00:00:48;Validating
4;2024-01-01 00:00:48;2024-01-01 00:00:48;Waiting in queue received
5;2024-01-01 00:00:52;2024-01-01 00:00:54;Validating
5;2024-01-01 00:00:54;2024-01-01 00:00:54;Waiting in queue received
6;2024-01-01 00:01:17;2024-01-01 00:01:19;Validating
6;2024-01-01 00:01:19;2024-01-01 00:01:19;Waiting in queue received
7;2024-01-01 00:02:00;2024-01-01 00:02:02;Validating
7;2024-01-01 00:02:02;2024-01-01 00:02:02;Waiting in queue received
8;2024-01-01 00:02:04;2024-01-01 00:02:06;Validating
8;2024-01-01 00:02:06;2024-01-01 00:02:06;Waiting in queue received
9;2024-01-01 00:02:21;2024-01-01 00:02:23;Validating
9;2024-01-01 00:02:23;2024-01-01 00:02:23;Waiting in queue received
10;2024-01-01 00:02:31;2024-01-01 00:02:33;Validating
10;2024-01-01 00:02:33;2024-01-01 00:02:33;Waiting in queue received
11;2024-01-01 00:02:36;2024-01-01 00:02:38;Validating
11;2024-01-01 00:02:38;2024-01-01 00:02:38;Waiting in queue received
12;2024-01-01 00:02:40;2024-01-01 00:02:42;Validating
12;2024-01-01 00:02:42;2024-01-01 00:02:42;Waiting in queue received
13;2024-01-01 00:02:43;2024-01-01 00:02:45;Validating
13;2024-01-01 00:02:45;2024-01-01 00:02:45;Waiting in queue received
14;2024-01-01 00:03:05;2024-01-01 00:03:07;Validating
14;2024-01-01 00:03:07;2024-01-01 00:03:07;Waiting in queue received
15;2024-01-01 00:03:13;2024-01-01 00:03:15;Validating
15;2024-01-01 00:03:15;2024-01-01 00:03:15;Waiting in queue received
16;2024-01-01 00:03:36;2024-01-01 00:03:38;Validating
16;2024-01-01 00:03:38;2024-01-01 00:03:38;Waiting in queue received
17;2024-01-01 00:03:38;2024-01-01 00:03:40;Validating
17;2024-01-01 00:03:40;2024-01-01 00:03:40;Waiting in queue received
18;2024-01-01 00:03:46;2024-01-01 00:03:48;Validating
18;2024-01-01 00:03:48;2024-01-01 00:03:48;Waiting in queue received
19;2024-01-01 00:03:53;2024-01-01 00:03:55;Validating
19;2024-01-01 00:03:55;2024-01-01 00:03:55;Waiting in queue received
20;2024-01-01 00:03:56;2024-01-01 00:03:58;Validating
20;2024-01-01 00:03:58;2024-01-01 00:03:58;Waiting in queue received
21;2024-01-01 00:03:57;2024-01-01 00:03:59;Validating
21;2024-01-01 00:03:59;2024-01-01 00:03:59;Waiting in queue received
22;2024-01-01 00:04:08;2024-01-01 00:04:10;Validating
22;2024-01-01 00:04:10;2024-01-01 00:04:10;Waiting in queue received
23;2024-01-01 00:04:14;2024-01-01 00:04:16;Validating
23;2024-01-01 00:04:16;2024-01-01 00:04:16;Waiting in queue received
24;2024-01-01 00:04:22;2024-01-01 00:04:24;Validating
24;2024-01-01 00:04:24;2024-01-01 00:04:24;Waiting in queue received
25;2024-01-01 00:04:29;2024-01-01 00:04:31;Validating
25;2024-01-01 00:04:31;2024-01-01 00:04:31;Waiting in queue received
26;2024-01-01 00:04:32;2024-01-01 00:04:34;Validating
26;2024-01-01 00:04:34;2024-01-01 00:04:34;Waiting in queue received
27;2024-01-01 00:04:34;2024-01-01 00:04:36;Validating
27;2024-01-01 00:04:36;2024-01-01 00:04:36;Waiting in queue received
28;2024-01-01 00:04:57;2024-01-01 00:04:59;Validating
28;2024-01-01 00:04:59;2024-01-01 00:04:59;Waiting in queue received
29;2024-01-01 00:05:24;2024-01-01 00:05:26;Validating
29;2024-01-01 00:05:26;2024-01-01 00:05:26;Waiting in queue received
30;2024-01-01 00:05:43;2024-01-01 00:05:45;Validating
30;2024-01-01 00:05:45;2024-01-01 00:05:45;Waiting in queue received
31;2024-01-01 00:06:17;2024-01-01 00:06:19;Validating
31;2024-01-01 00:06:19;2024-01-01 00:06:19;Waiting in queue received
32;2024-01-01 00:06:26;2024-01-01 00:06:28;Validating
32;2024-01-01 00:06:28;2024-01-01 00:06:28;Waiting in queue received
33;2024-01-01 00:06:50;2024-01-01 00:06:52;Validating
33;2024-01-01 00:06:52;2024-01-01 00:06:52;Waiting in queue received
34;2024-01-01 00:06:57;2024-01-01 00:06:59;Validating
34;2024-01-01 00:06:59;2024-01-01 00:06:59;Waiting in queue received
35;2024-01-01 00:07:09;2024-01-01 00:07:11;Validating
35;2024-01-01 00:07:11;2024-01-01 00:07:11;Waiting in queue received
36;2024-01-01 00:07:30;2024-01-01 00:07:32;Validating
36;2024-01-01 00:07:32;2024-01-01 00:07:32;Waiting in queue received
37;2024-01-01 00:07:45;2024-01-01 00:07:47;Validating
37;2024-01-01 00:07:47;2024-01-01 00:07:47;Waiting in queue received
38;2024-01-01 00:08:10;2024-01-01 00:08:12;Validating
38;2024-01-01 00:08:12;2024-01-01 00:08:12;Waiting in queue received
39;2024-01-01 00:08:43;2024-01-01 00:08:45;Validating
39;2024-01-01 00:08:45;2024-01-01 00:08:45;Waiting in queue received
40;2024-01-01 00:08:45;2024-01-01 00:08:47;Validating
40;2024-01-01 00:08:47;2024-01-01 00:08:47;Waiting in queue received
41;2024-01-01 00:08:55;2024-01-01 00:08:57;Validating
41;2024-01-01 00:08:57;2024-01-01 00:08:57;Waiting in queue received
42;2024-01-01 00:09:17;2024-01-01 00:09:19;Validating
42;2024-01-01 00:09:19;2024-01-01 00:09:19;Waiting in queue received
43;2024-01-01 00:09:24;2024-01-01 00:09:26;Validating
43;2024-01-01 00:09:26;2024-01-01 00:09:26;Waiting in queue received
44;2024-01-01 00:09:29;2024-01-01 00:09:31;Validating
44;2024-01-01 00:09:31;2024-01-01 00:09:31;Waiting in queue received
45;2024-01-01 00:10:05;2024-01-01 00:10:07;Validating
45;2024-01-01 00:10:07;2024-01-01 00:10:07;Waiting in queue received
46;2024-01-01 00:10:11;2024-01-01 00:10:13;Validating
46;2024-01-01 00:10:13;2024-01-01 00:10:13;Waiting in queue received
47;2024-01-01 00:10:45;2024-01-01 00:10:47;Validating
47;2024-01-01 00:10:47;2024-01-01 00:10:47;Waiting in queue received
48;2024-01-01 00:10:47;2024-01-01 00:10:49;Validating
48;2024-01-01 00:10:49;2024-01-01 00:10:49;Waiting in queue received
49;2024-01-01 00:11:17;2024-01-01 00:11:19;Validating
49;2024-01-01 00:11:19;2024-01-01 00:11:19;Waiting in queue received
50;2024-01-01 00:11:43;2024-01-01 00:11:45;Validating
50;2024-01-01 00:11:45;2024-01-01 00:11:45;Waiting in queue received
51;2024-01-01 00:11:58;2024-01-01 00:12:00;Validating
51;2024-01-01 00:12:00;2024-01-01 00:12:00;Waiting in queue received
52;2024-01-01 00:12:03;2024-01-01 00:12:05;Validating
52;2024-01-01 00:12:05;2024-01-01 00:12:05;Waiting in queue received
53;2024-01-01 00:12:10;2024-01-01 00:12:12;Validating
53;2024-01-01 00:12:12;2024-01-01 00:12:12;Waiting in queue received
54;2024-01-01 00:12:20;2024-01-01 00:12:22;Validating
