TID;Starttime;Endtime;Activity
1;2024-01-01 00:13:01;2024-01-01 00:13:03;Validating
1;2024-01-01 00:13:03;2024-01-01 00:13:03;Waiting in queue received
2;2024-01-01 00:18:34;2024-01-01 00:18:36;Validating
2;2024-01-01 00:18:36;2024-01-01 00:18:36;Waiting in queue received
3;2024-01-01 00:22:23;2024-01-01 00:22:25;Validating
3;2024-01-01 00:22:25;2024-01-01 00:22:25;Waiting in queue received
4;2024-01-01 00:24:34;2024-01-01 00:24:36;Validating
4;2024-01-01 00:24:36;2024-01-01 00:24:36;Waiting in queue received
5;2024-01-01 00:25:43;2024-01-01 00:25:45;Validating
5;2024-01-01 00:25:45;2024-01-01 00:25:45;Waiting in queue received
6;2024-01-01 00:32:53;2024-01-01 00:32:55;Validating
6;2024-01-01 00:32:55;2024-01-01 00:32:55;Waiting in queue received
7;2024-01-01 00:40:42;2024-01-01 00:40:44;Validating
7;2024-01-01 00:40:44;2024-01-01 00:40:44;Waiting in queue received
8;2024-01-01 00:44:37;2024-01-01 00:44:39;Validating
8;2024-01-01 00:44:39;2024-01-01 00:44:39;Waiting in queue received
9;2024-01-01 00:47:10;2024-01-01 00:47:12;Validating
9;2024-01-01 00:47:12;2024-01-01 00:47:12;Waiting in queue received
10;2024-01-01 00:47:48;2024-01-01 00:47:50;Validating
10;2024-01-01 00:47:50;2024-01-01 00:47:50;Waiting in queue received
11;2024-01-01 00:48:56;2024-01-01 00:48:58;Validating
11;2024-01-01 00:48:58;2024-01-01 00:48:58;Waiting in queue received
12;2024-01-01 00:53:53;2024-01-01 00:53:55;Validating
12;2024-01-01 00:53:55;2024-01-01 00:53:55;Waiting in queue received
13;2024-01-01 00:58:36;2024-01-01 00:58:38;Validating
13;2024-01-01 00:58:38;2024-01-01 00:58:38;Waiting in queue received
14;2024-01-01 01:00:01;2024-01-01 01:00:03;Validating
14;2024-01-01 01:00:03;2024-01-01 01:00:03;Waiting in queue received
15;2024-01-01 01:02:14;2024-01-01 01:02:16;Validating
15;2024-01-01 01:02:16;2024-01-01 01:02:16;Waiting in queue received
16;2024-01-01 01:03:27;2024-01-01 01:03:29;Validating
16;2024-01-01 01:03:29;2024-01-01 01:03:29;Waiting in queue received
17;2024-01-01 01:09:27;2024-01-01 01:09:29;Validating
17;2024-01-01 01:09:29;2024-01-01 01:09:29;Waiting in queue received
18;2024-01-01 01:15:10;2024-01-01 01:15:12;Validating
