TID;Starttime;Endtime;Activity
1;2024-01-01 00:00:56;2024-01-01 00:00:58;Validating
1;2024-01-01 00:00:58;2024-01-01 00:00:58;Waiting in queue unmatched
2;2024-01-01 00:00:57;2024-01-01 00:00:59;Validating
2;2024-01-01 00:00:59;2024-01-01 00:00:59;Waiting in queue unmatched
3;2024-01-01 00:01:19;2024-01-01 00:01:21;Validating
3;2024-01-01 00:01:21;2024-01-01 00:01:21;Waiting in queue unmatched
4;2024-01-01 00:01:22;2024-01-01 00:01:24;Validating
4;2024-01-01 00:01:24;2024-01-01 00:01:24;Waiting in queue unmatched
5;2024-01-01 00:01:30;2024-01-01 00:01:32;Validating
5;2024-01-01 00:01:32;2024-01-01 00:01:32;Waiting in queue unmatched
6;2024-01-01 00:01:57;2024-01-01 00:01:59;Validating
6;2024-01-01 00:01:59;2024-01-01 00:01:59;Waiting in queue unmatched
7;2024-01-01 00:02:22;2024-01-01 00:02:24;Validating
7;2024-01-01 00:02:24;2024-01-01 00:02:24;Waiting in queue unmatched
8;2024-01-01 00:02:23;2024-01-01 00:02:25;Validating
8;2024-01-01 00:02:25;2024-01-01 00:02:25;Waiting in queue unmatched
9;2024-01-01 00:03:02;2024-01-01 00:03:04;Validating
9;2024-01-01 00:03:04;2024-01-01 00:03:04;Waiting in queue unmatched
10;2024-01-01 00:04:39;2024-01-01 00:04:41;Validating
10;2024-01-01 00:04:41;2024-01-01 00:04:41;Waiting in queue unmatched
11;2024-01-01 00:04:58;2024-01-01 00:05:00;Validating
11;2024-01-01 00:05:00;2024-01-01 00:05:00;Waiting in queue unmatched
12;2024-01-01 00:05:17;2024-01-01 00:05:19;Validating
12;2024-01-01 00:05:19;2024-01-01 00:05:19;Waiting in queue unmatched
13;2024-01-01 00:07:48;2024-01-01 00:07:50;Validating
13;2024-01-01 00:07:50;2024-01-01 00:07:50;Waiting in queue unmatched
14;2024-01-01 00:07:54;2024-01-01 00:07:56;Validating
14;2024-01-01 00:07:56;2024-01-01 00:07:56;Waiting in queue unmatched
15;2024-01-01 00:07:59;2024-01-01 00:08:01;Validating
15;2024-01-01 00:08:01;2024-01-01 00:08:01;Waiting in queue unmatched
16;2024-01-01 00:09:38;2024-01-01 00:09:40;Validating
16;2024-01-01 00:09:40;2024-01-01 00:09:40;Waiting in queue unmatched
17;2024-01-01 00:09:51;2024-01-01 00:09:53;Validating
17;2024-01-01 00:09:53;2024-01-01 00:09:53;Waiting in queue unmatched
18;2024-01-01 00:10:45;2024-01-01 00:10:47;Validating
18;2024-01-01 00:10:47;2024-01-01 00:10:47;Waiting in queue unmatched
19;2024-01-01 00:11:57;2024-01-01 00:11:59;Validating
19;2024-01-01 00:11:59;2024-01-01 00:11:59;Waiting in queue unmatched
20;2024-01-01 00:13:41;2024-01-01 00:13:43;Validating
20;2024-01-01 00:13:43;2024-01-01 00:13:43;Waiting in queue unmatched
