TID;Starttime;Endtime;Activity
1;2024-03-01 00:00:36;2024-03-01 00:00:38;Validating
1;2024-03-01 00:00:38;2024-03-01 00:00:38;Waiting in queue received
2;2024-03-01 00:01:55;2024-03-01 00:01:57;Validating
2;2024-03-01 00:01:57;2024-03-01 00:01:57;Waiting in queue received
3;2024-03-01 00:03:50;2024-03-01 00:03:52;Validating
3;2024-03-01 00:03:52;2024-03-01 00:03:52;Waiting in queue received
4;2024-03-01 00:04:17;2024-03-01 00:04:19;Validating
4;2024-03-01 00:04:19;2024-03-01 00:04:19;Waiting in queue received
5;2024-03-01 00:06:09;2024-03-01 00:06:11;Validating
5;2024-03-01 00:06:11;2024-03-01 00:06:11;Waiting in queue received
6;2024-03-01 00:06:41;2024-03-01 00:06:43;Validating
6;2024-03-01 00:06:43;2024-03-01 00:06:43;Waiting in queue received
7;2024-03-01 00:08:25;2024-03-01 00:08:27;Validating
7;2024-03-01 00:08:27;2024-03-01 00:08:27;Waiting in queue received
8;2024-03-01 00:08:39;2024-03-01 00:08:41;Validating
8;2024-03-01 00:08:41;2024-03-01 00:08:41;Waiting in queue received
9;2024-03-01 00:09:59;2024-03-01 00:10:01;Validating
9;2024-03-01 00:10:01;2024-03-01 00:10:01;Waiting in queue received
10;2024-03-01 00:10:54;2024-03-01 00:10:56;Validating
10;2024-03-01 00:10:56;2024-03-01 00:10:56;Waiting in queue received
11;2024-03-01 00:12:16;2024-03-01 00:12:18;Validating
11;2024-03-01 00:12:18;2024-03-01 00:12:18;Waiting in queue received
12;2024-03-01 00:13:26;2024-03-01 00:13:28;Validating
12;2024-03-01 00:13:28;2024-03-01 00:13:28;Waiting in queue received
13;2024-03-01 00:13:46;2024-03-01 00:13:48;Validating
13;2024-03-01 00:13:48;2024-03-01 00:13:48;Waiting in queue received
14;2024-03-01 00:14:28;2024-03-01 00:14:30;Validating
14;2024-03-01 00:14:30;2024-03-01 00:14:30;Waiting in queue received
15;2024-03-01 00:16:42;2024-03-01 00:16:44;Validating
15;2024-03-01 00:16:44;2024-03-01 00:16:44;Waiting in queue received
16;2024-03-01 00:18:15;2024-03-01 00:18:17;Validating
16;2024-03-01 00:18:17;2024-03-01 00:18:17;Waiting in queue received
17;2024-03-01 00:19:05;2024-03-01 00:19:07;Validating
17;2024-03-01 00:19:07;2024-03-01 00:19:07;Waiting in queue received
18;2024-03-01 00:19:36;2024-03-01 00:19:38;Validating
18;2024-03-01 00:19:38;2024-03-01 00:19:38;Waiting in queue received
19;2024-03-01 00:20:18;2024-03-01 00:20:20;Validating
19;2024-03-01 00:20:20;2024-03-01 00:20:20;Waiting in queue received
20;2024-03-01 00:20:37;2024-03-01 00:20:39;Validating
20;2024-03-01 00:20:39;2024-03-01 00:20:39;Waiting in queue received
21;2024-03-01 00:22:37;2024-03-01 00:22:39;Validating
21;2024-03-01 00:22:39;2024-03-01 00:22:39;Waiting in queue received
22;2024-03-01 00:23:08;2024-03-01 00:23:10;Validating
22;2024-03-01 00:23:10;2024-03-01 00:23:10;Waiting in queue received
23;2024-03-01 00:24:19;2024-03-01 00:24:21;Validating
23;2024-03-01 00:24:21;2024-03-01 00:24:21;Waiting in queue received
24;2024-03-01 00:25:04;2024-03-01 00:25:06;Validating
24;2024-03-01 00:25:06;2024-03-01 00:25:06;Waiting in queue received
25;2024-03-01 00:26:20;2024-03-01 00:26:22;Validating
25;2024-03-01 00:26:22;2024-03-01 00:26:22;Waiting in queue received
26;2024-03-01 00:27:22;2024-03-01 00:27:24;Validating
26;2024-03-01 00:27:24;2024-03-01 00:27:24;Waiting in queue received
27;2024-03-01 00:28:11;2024-03-01 00:28:13;Validating
27;2024-03-01 00:28:13;2024-03-01 00:28:13;Waiting in queue received
28;2024-03-01 00:28:32;2024-03-01 00:28:34;Validating
28;2024-03-01 00:28:34;2024-03-01 00:28:34;Waiting in queue received
29;2024-03-01 00:28:36;2024-03-01 00:28:38;Validating
29;2024-03-01 00:28:38;2024-03-01 00:28:38;Waiting in queue received
30;2024-03-01 00:31:01;2024-03-01 00:31:03;Validating
30;2024-03-01 00:31:03;2024-03-01 00:31:03;Waiting in queue received
31;2024-03-01 00:31:35;2024-03-01 00:31:37;Validating
31;2024-03-01 00:31:37;2024-03-01 00:31:37;Waiting in queue received
32;2024-03-01 00:32:20;2024-03-01 00:32:22;Validating
32;2024-03-01 00:32:22;2024-03-01 00:32:22;Waiting in queue received
33;2024-03-01 00:33:20;2024-03-01 00:33:22;Validating
33;2024-03-01 00:33:22;2024-03-01 00:33:22;Waiting in queue received
34;2024-03-01 00:35:26;2024-03-01 00:35:28;Validating
34;2024-03-01 00:35:28;2024-03-01 00:35:28;Waiting in queue received
35;2024-03-01 00:36:32;2024-03-01 00:36:34;Validating
35;2024-03-01 00:36:34;2024-03-01 00:36:34;Waiting in queue received
36;2024-03-01 00:38:59;2024-03-01 00:39:01;Validating
36;2024-03-01 00:39:01;2024-03-01 00:39:01;Waiting in queue received
37;2024-03-01 00:39:22;2024-03-01 00:39:24;Validating
37;2024-03-01 00:39:24;2024-03-01 00:39:24;Waiting in queue received
38;2024-03-01 00:41:41;2024-03-01 00:41:43;Validating
38;2024-03-01 00:41:43;2024-03-01 00:41:43;Waiting in queue received
39;2024-03-01 00:44:14;2024-03-01 00:44:16;Validating
39;2024-03-01 00:44:16;2024-03-01 00:44:16;Waiting in queue received
40;2024-03-01 00:44:28;2024-03-01 00:44:30;Validating
40;2024-03-01 00:44:30;2024-03-01 00:44:30;Waiting in queue received
41;2024-03-01 00:45:30;2024-03-01 00:45:32;Validating
41;2024-03-01 00:45:32;2024-03-01 00:45:32;Waiting in queue received
42;2024-03-01 00:45:55;2024-03-01 00:45:57;Validating
42;2024-03-01 00:45:57;2024-03-01 00:45:57;Waiting in queue received
43;2024-03-01 00:52:39;2024-03-01 00:52:41;Validating
43;2024-03-01 00:52:41;2024-03-01 00:52:41;Waiting in queue received
44;2024-03-01 00:56:23;2024-03-01 00:56:25;Validating
44;2024-03-01 00:56:25;2024-03-01 00:56:25;Waiting in queue received
45;2024-03-01 00:56:28;2024-03-01 00:56:30;Validating
45;2024-03-01 00:56:30;2024-03-01 00:56:30;Waiting in queue received
46;2024-03-01 00:58:08;2024-03-01 00:58:10;Validating
46;2024-03-01 00:58:10;2024-03-01 00:58:10;Waiting in queue received
47;2024-03-01 00:58:36;2024-03-01 00:58:38;Validating
47;2024-03-01 00:58:38;2024-03-01 00:58:38;Waiting in queue received
48;2024-03-01 00:59:06;2024-03-01 00:59:08;Validating
48;2024-03-01 00:59:08;2024-03-01 00:59:08;Waiting in queue received
49;2024-03-01 01:00:29;2024-03-01 01:00:31;Validating
49;2024-03-01 01:00:31;2024-03-01 01:00:31;Waiting in queue received
50;2024-03-01 01:00:50;2024-03-01 01:00:52;Validating
50;2024-03-01 01:00:52;2024-03-01 01:00:52;Waiting in queue received
51;2024-03-01 01:02:33;2024-03-01 01:02:35;Validating
51;2024-03-01 01:02:35;2024-03-01 01:02:35;Waiting in queue received
52;2024-03-01 01:04:25;2024-03-01 01:04:27;Validating
52;2024-03-01 01:04:27;2024-03-01 01:04:27;Waiting in queue received
53;2024-03-01 01:04:58;2024-03-01 01:05:00;Validating
53;2024-03-01 01:05:00;2024-03-01 01:05:00;Waiting in queue received
54;2024-03-01 01:05:41;2024-03-01 01:05:43;Validating
54;2024-03-01 01:05:43;2024-03-01 01:05:43;Waiting in queue received
55;2024-03-01 01:10:01;2024-03-01 01:10:03;Validating
55;2024-03-01 01:10:03;2024-03-01 01:10:03;Waiting in queue received
56;2024-03-01 01:10:07;2024-03-01 01:10:09;Validating
56;2024-03-01 01:10:09;2024-03-01 01:10:09;Waiting in queue received
57;2024-03-01 01:10:23;2024-03-01 01:10:25;Validating
57;2024-03-01 01:10:25;2024-03-01 01:10:25;Waiting in queue received
58;2024-03-01 01:10:45;2024-03-01 01:10:47;Validating
58;2024-03-01 01:10:47;2024-03-01 01:10:47;Waiting in queue received
59;2024-03-01 01:11:01;2024-03-01 01:11:03;Validating
59;2024-03-01 01:11:03;2024-03-01 01:11:03;Waiting in queue received
60;2024-03-01 01:12:00;2024-03-01 01:12:02;Validating
60;2024-03-01 01:12:02;2024-03-01 01:12:02;Waiting in queue received
61;2024-03-01 01:12:12;2024-03-01 01:12:14;Validating
61;2024-03-01 01:12:14;2024-03-01 01:12:14;Waiting in queue received
62;2024-03-01 01:14:33;2024-03-01 01:14:35;Validating
