TID;Starttime;Endtime;Activity
1;2024-03-01 00:00:16;2024-03-01 00:00:18;Validating
1;2024-03-01 00:00:18;2024-03-01 00:00:18;Waiting in queue received
2;2024-03-01 00:00:51;2024-03-01 00:00:53;Validating
2;2024-03-01 00:00:53;2024-03-01 00:00:53;Waiting in queue received
3;2024-03-01 00:00:56;2024-03-01 00:00:58;Validating
3;2024-03-01 00:00:58;2024-03-01 00:00:58;Waiting in queue received
4;2024-03-01 00:02:08;2024-03-01 00:02:10;Validating
4;2024-03-01 00:02:10;2024-03-01 00:02:10;Waiting in queue received
5;2024-03-01 00:03:49;2024-03-01 00:03:51;Validating
5;2024-03-01 00:03:51;2024-03-01 00:03:51;Waiting in queue received
6;2024-03-01 00:03:50;2024-03-01 00:03:52;Validating
6;2024-03-01 00:03:52;2024-03-01 00:03:52;Waiting in queue received
7;2024-03-01 00:04:02;2024-03-01 00:04:04;Validating
7;2024-03-01 00:04:04;2024-03-01 00:04:04;Waiting in queue received
8;2024-03-01 00:04:41;2024-03-01 00:04:43;Validating
8;2024-03-01 00:04:43;2024-03-01 00:04:43;Waiting in queue received
9;2024-03-01 00:07:36;2024-03-01 00:07:38;Validating
9;2024-03-01 00:07:38;2024-03-01 00:07:38;Waiting in queue received
10;2024-03-01 00:07:56;2024-03-01 00:07:58;Validating
10;2024-03-01 00:07:58;2024-03-01 00:07:58;Waiting in queue received
11;2024-03-01 00:08:16;2024-03-01 00:08:18;Validating
11;2024-03-01 00:08:18;2024-03-01 00:08:18;Waiting in queue received
12;2024-03-01 00:09:43;2024-03-01 00:09:45;Validating
12;2024-03-01 00:09:45;2024-03-01 00:09:45;Waiting in queue received
13;2024-03-01 00:10:17;2024-03-01 00:10:19;Validating
13;2024-03-01 00:10:19;2024-03-01 00:10:19;Waiting in queue received
14;2024-03-01 00:10:57;2024-03-01 00:10:59;Validating
14;2024-03-01 00:10:59;2024-03-01 00:10:59;Waiting in queue received
15;2024-03-01 00:11:14;2024-03-01 00:11:16;Validating
15;2024-03-01 00:11:16;2024-03-01 00:11:16;Waiting in queue received
16;2024-03-01 00:11:48;2024-03-01 00:11:50;Validating
16;2024-03-01 00:11:50;2024-03-01 00:11:50;Waiting in queue received
