TID;Starttime;Endtime;Activity
1;2024-03-01 00:01:14;2024-03-01 00:01:16;Validating
1;2024-03-01 00:01:16;2024-03-01 00:01:16;Waiting in queue unmatched
2;2024-03-01 00:01:22;2024-03-01 00:01:24;Validating
2;2024-03-01 00:01:24;2024-03-01 00:01:24;Waiting in queue unmatched
3;2024-03-01 00:01:54;2024-03-01 00:01:56;Validating
3;2024-03-01 00:01:56;2024-03-01 00:01:56;Waiting in queue unmatched
4;2024-03-01 00:03:04;2024-03-01 00:03:06;Validating
4;2024-03-01 00:03:06;2024-03-01 00:03:06;Waiting in queue unmatched
5;2024-03-01 00:03:09;2024-03-01 00:03:11;Validating
5;2024-03-01 00:03:11;2024-03-01 00:03:11;Waiting in queue unmatched
6;2024-03-01 00:05:18;2024-03-01 00:05:20;Validating
6;2024-03-01 00:05:20;2024-03-01 00:05:20;Waiting in queue unmatched
7;2024-03-01 00:05:36;2024-03-01 00:05:38;Validating
7;2024-03-01 00:05:38;2024-03-01 00:05:38;Waiting in queue unmatched
8;2024-03-01 00:05:41;2024-03-01 00:05:43;Validating
8;2024-03-01 00:05:43;2024-03-01 00:05:43;Waiting in queue unmatched
9;2024-03-01 00:07:44;2024-03-01 00:07:46;Validating
9;2024-03-01 00:07:46;2024-03-01 00:07:46;Waiting in queue unmatched
10;2024-03-01 00:08:27;2024-03-01 00:08:29;Validating
10;2024-03-01 00:08:29;2024-03-01 00:08:29;Waiting in queue unmatched
11;2024-03-01 00:09:27;2024-03-01 00:09:29;Validating
11;2024-03-01 00:09:29;2024-03-01 00:09:29;Waiting in queue unmatched
12;2024-03-01 00:09:28;2024-03-01 00:09:30;Validating
12;2024-03-01 00:09:30;2024-03-01 00:09:30;Waiting in queue unmatched
13;2024-03-01 00:09:48;2024-03-01 00:09:50;Validating
13;2024-03-01 00:09:50;2024-03-01 00:09:50;Waiting in queue unmatched
14;2024-03-01 00:10:51;2024-03-01 00:10:53;Validating
14;2024-03-01 00:10:53;2024-03-01 00:10:53;Waiting in queue unmatched
15;2024-03-01 00:11:25;2024-03-01 00:11:27;Validating
15;2024-03-01 00:11:27;2024-03-01 00:11:27;Waiting in queue unmatched
16;2024-03-01 00:11:54;2024-03-01 00:11:56;Validating
16;2024-03-01 00:11:56;2024-03-01 00:11:56;Waiting in queue unmatched
17;2024-03-01 00:13:12;2024-03-01 00:13:14;Validating
17;2024-03-01 00:13:14;2024-03-01 00:13:14;Waiting in queue unmatched
18;2024-03-01 00:13:34;2024-03-01 00:13:36;Validating
18;2024-03-01 00:13:36;2024-03-01 00:13:36;Waiting in queue unmatched
19;2024-03-01 00:17:44;2024-03-01 00:17:46;Validating
19;2024-03-01 00:17:46;2024-03-01 00:17:46;Waiting in queue unmatched
20;2024-03-01 00:18:32;2024-03-01 00:18:34;Validating
20;2024-03-01 00:18:34;2024-03-01 00:18:34;Waiting in queue unmatched
21;2024-03-01 00:19:26;2024-03-01 00:19:28;Validating
21;2024-03-01 00:19:28;2024-03-01 00:19:28;Waiting in queue unmatched
