TID;Starttime;Endtime;Activity
1;2024-03-01 00:00:00;2024-03-01 00:00:02;Validating
1;2024-03-01 00:00:02;2024-03-01 00:00:02;Waiting in queue unmatched
2;2024-03-01 00:00:06;2024-03-01 00:00:08;Validating
2;2024-03-01 00:00:08;2024-03-01 00:00:08;Waiting in queue unmatched
3;2024-03-01 00:00:32;2024-03-01 00:00:34;Validating
4;2024-03-01 00:00:32;2024-03-01 00:00:34;Validating
3;2024-03-01 00:00:34;2024-03-01 00:00:34;Waiting in queue unmatched
4;2024-03-01 00:00:34;2024-03-01 00:00:34;Waiting in queue unmatched
5;2024-03-01 00:00:50;2024-03-01 00:00:52;Validating
5;2024-03-01 00:00:52;2024-03-01 00:00:52;Waiting in queue unmatched
6;2024-03-01 00:00:53;2024-03-01 00:00:55;Validating
6;2024-03-01 00:00:55;2024-03-01 00:00:55;Waiting in queue unmatched
7;2024-03-01 00:00:57;2024-03-01 00:00:59;Validating
7;2024-03-01 00:00:59;2024-03-01 00:00:59;Waiting in queue unmatched
8;2024-03-01 00:01:14;2024-03-01 00:01:16;Validating
8;2024-03-01 00:01:16;2024-03-01 00:01:16;Waiting in queue unmatched
9;2024-03-01 00:01:49;2024-03-01 00:01:51;Validating
9;2024-03-01 00:01:51;2024-03-01 00:01:51;Waiting in queue unmatched
10;2024-03-01 00:02:17;2024-03-01 00:02:19;Validating
10;2024-03-01 00:02:19;2024-03-01 00:02:19;Waiting in queue unmatched
11;2024-03-01 00:02:23;2024-03-01 00:02:25;Validating
11;2024-03-01 00:02:25;2024-03-01 00:02:25;Waiting in queue unmatched
12;2024-03-01 00:02:39;2024-03-01 00:02:41;Validating
12;2024-03-01 00:02:41;2024-03-01 00:02:41;Waiting in queue unmatched
13;2024-03-01 00:02:43;2024-03-01 00:02:45;Validating
13;2024-03-01 00:02:45;2024-03-01 00:02:45;Waiting in queue unmatched
14;2024-03-01 00:02:44;2024-03-01 00:02:46;Validating
