TID;Time;Value;FromParticipantId;FromAccountId;ToParticipantId;ToAccountId;Linkcode;SettlementDeadline;T+x
1;2024-03-02 01:13:24;61970620.56;7;0;2;0;528;2024-03-02;0
2;2024-03-02 01:21:37;129240394.49;7;8;8;8;828;2024-03-02;0
3;2024-03-02 01:35:25;53473511.69;5;7;7;7;471;2024-03-02;0
4;2024-03-02 01:36:27;44713474.25;4;8;8;8;1431;2024-03-02;0
5;2024-03-02 01:36:41;49956003.28;8;0;3;0;525;2024-03-02;0
6;2024-03-02 01:42:08;36480003.21;5;0;8;0;706;2024-03-02;0
7;2024-03-02 01:44:40;112239461.09;2;0;5;0;27;2024-03-02;0
8;2024-03-02 01:49:32;133752753.28;6;0;1;0;773;2024-03-02;0
9;2024-03-02 01:50:41;32276659.45;1;0;3;0;381;2024-03-02;0
10;2024-03-02 01:52:59;49577908.8;3;7;4;7;1176;2024-03-02;0
11;2024-03-02 01:55:15;59065904.18;1;1;7;1;535;2024-03-02;0
12;2024-03-02 01:56:24;122087455.42;4;0;3;0;667;2024-03-02;0
13;2024-03-02 02:00:54;49951043.33;4;7;3;7;695;2024-03-02;0
14;2024-03-02 02:02:11;101484159.07;7;2;1;2;954;2024-03-02;0
15;2024-03-02 02:03:53;98471235.41;4;1;1;1;1280;2024-03-02;0
16;2024-03-02 02:04:34;63882680.47;8;4;1;4;998;2024-03-02;0
17;2024-03-02 02:09:56;59782472.28;2;0;6;0;1184;2024-03-02;0
18;2024-03-02 02:13:38;136032002.9;6;0;1;0;1147;2024-03-02;0
19;2024-03-02 02:16:58;131009966.24;5;8;2;8;1153;2024-03-02;0
20;2024-03-02 02:21:38;20919810.61;3;0;8;0;1226;2024-03-02;0
21;2024-03-02 02:27:40;87369510.58;6;0;8;0;1471;2024-03-02;0
22;2024-03-02 02:29:12;50279206.03;3;0;6;0;454;2024-03-02;0
23;2024-03-02 02:31:18;171367657.9;4;2;1;2;151;2024-03-02;0
24;2024-03-02 02:31:41;176457773.39;2;0;6;0;278;2024-03-02;0
25;2024-03-02 02:32:57;132070414.06;1;5;4;5;45;2024-03-02;0
26;2024-03-02 02:37:33;51473725.5;4;0;6;0;1374;2024-03-02;0
27;2024-03-02 02:41:16;78898352.2;3;6;2;6;732;2024-03-02;0
28;2024-03-02 02:42:54;84228519.87;5;0;8;0;669;2024-03-02;0
29;2024-03-02 02:50:15;42148553.43;1;2;7;2;395;2024-03-02;0
30;2024-03-02 02:53:46;122248106.48;6;1;2;1;1074;2024-03-02;0
31;2024-03-02 02:55:48;130831179.11;3;6;6;6;699;2024-03-02;0
32;2024-03-02 02:55:59;18466046.61;1;1;7;1;304;2024-03-02;0
33;2024-03-02 02:59:32;10070230.33;3;0;4;0;1335;2024-03-02;0
34;2024-03-02 03:04:23;120310687.73;2;7;6;7;120;2024-03-02;0
35;2024-03-02 03:05:39;53473511.69;7;0;5;0;471;2024-03-02;0
36;2024-03-02 03:06:04;17629604.84;8;2;3;2;1496;2024-03-02;0
37;2024-03-02 03:06:17;53086188.91;5;0;4;0;181;2024-03-02;0
38;2024-03-02 03:12:26;136032002.9;1;3;6;3;1147;2024-03-02;0
39;2024-03-02 03:16:27;185096240.45;2;0;5;0;1435;2024-03-02;0
40;2024-03-02 03:23:22;117004251.25;1;0;3;0;1234;2024-03-02;0
41;2024-03-02 03:26:25;154483680.91;5;5;1;5;1142;2024-03-02;0
42;2024-03-02 03:26:55;108031685.53;6;0;3;0;39;2024-03-02;0
43;2024-03-02 03:26:59;99304724.32;5;0;8;0;1330;2024-03-02;0
44;2024-03-02 03:32:22;164678105.66;2;0;8;0;634;2024-03-02;0
45;2024-03-02 03:32:39;90042749.15;1;1;8;1;981;2024-03-02;0
46;2024-03-02 03:33:57;75554783.1;6;0;1;0;3;2024-03-02;0
47;2024-03-02 03:34:28;134032940.28;1;0;4;0;1325;2024-03-02;0
48;2024-03-02 03:35:38;42568944.28;5;0;7;0;393;2024-03-02;0
49;2024-03-02 03:36:41;176457773.39;6;1;2;1;278;2024-03-02;0
50;2024-03-02 03:43:09;42576924.97;8;0;4;0;896;2024-03-02;0
51;2024-03-02 03:46:04;48547004.27;5;0;6;0;1399;2024-03-02;0
52;2024-03-02 03:46:59;122087455.42;3;6;4;6;667;2024-03-02;0
53;2024-03-02 03:48:22;194250391.74;5;4;1;4;308;2024-03-02;0
54;2024-03-02 03:50:15;17532886.2;3;3;7;3;1499;2024-03-02;0
55;2024-03-02 03:50:39;36480003.21;8;5;5;5;706;2024-03-02;0
56;2024-03-02 03:52:06;18015818.47;4;5;3;5;1488;2024-03-02;0
57;2024-03-02 03:58:42;116527399.43;2;8;4;8;1192;2024-03-02;0
58;2024-03-02 03:58:58;42568944.28;7;4;5;4;393;2024-03-02;0
59;2024-03-02 03:59:58;57319438.24;1;3;6;3;1255;2024-03-02;0
60;2024-03-02 04:01:08;119441014.83;6;7;1;7;774;2024-03-02;0
61;2024-03-02 04:04:21;55182576.73;7;0;3;0;346;2024-03-02;0
62;2024-03-02 04:14:14;24177123.31;3;0;6;0;949;2024-03-02;0
63;2024-03-02 04:16:21;21123580.2;3;0;4;0;892;2024-03-02;0
64;2024-03-02 04:21:53;54820268.24;8;5;3;5;938;2024-03-02;0
65;2024-03-02 04:23:48;29702851.96;3;2;7;2;168;2024-03-02;0
66;2024-03-02 04:27:19;73956814.05;6;7;4;7;741;2024-03-02;0
67;2024-03-02 04:28:41;99304724.32;8;2;5;2;1330;2024-03-02;0
68;2024-03-02 04:33:30;75722754.83;1;3;2;3;1331;2024-03-02;0
69;2024-03-02 04:33:52;60505590.98;8;6;5;6;853;2024-03-02;0
70;2024-03-02 04:41:03;51798118.28;6;7;7;7;872;2024-03-02;0
71;2024-03-02 04:42:35;83013269.38;1;6;8;6;375;2024-03-02;0
72;2024-03-02 04:43:44;120310687.73;6;0;2;0;120;2024-03-02;0
73;2024-03-02 04:44:58;106475825.34;6;0;1;0;1158;2024-03-02;0
74;2024-03-02 04:46:29;53086188.91;4;8;5;8;181;2024-03-02;0
75;2024-03-02 04:49:53;112457595.95;6;2;4;2;639;2024-03-02;0
76;2024-03-02 04:53:05;117004251.25;3;4;1;4;1234;2024-03-02;0
77;2024-03-02 04:53:55;200538135.72;1;0;5;0;1205;2024-03-02;0
78;2024-03-02 04:55:06;122248106.48;2;0;6;0;1074;2024-03-02;0
79;2024-03-02 04:55:41;44666194.68;3;0;4;0;557;2024-03-02;0
80;2024-03-02 04:56:41;16563016.29;3;0;5;0;512;2024-03-02;0
81;2024-03-02 04:56:57;172629355.08;2;0;7;0;325;2024-03-02;0
82;2024-03-02 04:58:21;94702556.44;4;1;6;1;251;2024-03-02;0
83;2024-03-02 05:00:34;59782472.28;6;4;2;4;1184;2024-03-02;0
84;2024-03-02 05:02:26;84228519.87;8;7;5;7;669;2024-03-02;0
85;2024-03-02 05:18:53;8998616.62;3;0;5;0;1183;2024-03-02;0
86;2024-03-02 05:22:30;30620299.43;2;6;5;6;1319;2024-03-02;0
87;2024-03-02 05:24:54;129494978.74;3;8;2;8;1302;2024-03-02;0
88;2024-03-02 05:26:47;154483680.91;1;0;5;0;1142;2024-03-02;0
