TID;Time;Value;FromParticipantId;FromAccountId;ToParticipantId;ToAccountId;Linkcode;SettlementDeadline;T+x
1;2024-03-02 00:30:57;227616795.67;5;0;3;0;612;2024-03-02;0
2;2024-03-02 00:34:47;199489034.67;4;3;2;3;367;2024-03-02;0
3;2024-03-02 01:26:04;101905936.0;7;3;6;3;1033;2024-03-02;0
4;2024-03-02 01:34:00;19311809.55;8;0;2;0;111;2024-03-02;0
5;2024-03-02 01:38:26;164629572.92;3;8;2;8;842;2024-03-02;0
6;2024-03-02 01:46:52;29849266.67;7;0;3;0;520;2024-03-02;0
7;2024-03-02 01:48:24;59840364.27;2;6;7;6;1334;2024-03-02;0
8;2024-03-02 01:52:41;55343982.25;7;8;8;8;309;2024-03-02;0
9;2024-03-02 02:00:50;168912508.06;4;0;3;0;1005;2024-03-02;0
10;2024-03-02 02:02:16;185170287.24;1;4;3;4;1410;2024-03-02;0
11;2024-03-02 02:02:35;29833073.71;8;0;3;0;291;2024-03-02;0
12;2024-03-02 02:16:59;214813914.46;7;6;4;6;624;2024-03-02;0
13;2024-03-02 02:18:03;151941630.63;7;4;6;4;1127;2024-03-02;0
14;2024-03-02 02:28:13;114583563.78;4;3;1;3;110;2024-03-02;0
15;2024-03-02 02:41:17;89215008.96;1;0;5;0;1037;2024-03-02;0
16;2024-03-02 02:42:17;150951284.03;3;7;6;7;129;2024-03-02;0
17;2024-03-02 02:48:22;165121487.28;7;6;4;6;1257;2024-03-02;0
18;2024-03-02 02:52:46;172063168.26;4;4;6;4;1118;2024-03-02;0
19;2024-03-02 02:52:56;32965025.49;2;0;3;0;1328;2024-03-02;0
20;2024-03-02 03:03:02;222165127.95;4;0;8;0;410;2024-03-02;0
21;2024-03-02 03:18:52;50604545.69;8;0;3;0;1111;2024-03-02;0
22;2024-03-02 03:21:19;42808246.33;1;3;8;3;1204;2024-03-02;0
23;2024-03-02 03:29:38;67598797.06;8;0;1;0;1195;2024-03-02;0
24;2024-03-02 03:32:30;146615619.82;4;5;5;5;1145;2024-03-02;0
25;2024-03-02 03:35:26;205816252.55;3;0;4;0;335;2024-03-02;0
26;2024-03-02 03:38:31;146615619.82;5;0;4;0;1145;2024-03-02;0
27;2024-03-02 03:54:49;72261307.4;4;0;1;0;482;2024-03-02;0
28;2024-03-02 03:58:12;153827716.78;6;0;8;0;651;2024-03-02;0
29;2024-03-02 04:02:58;59742394.27;7;0;4;0;532;2024-03-02;0
30;2024-03-02 04:05:29;128317512.75;1;1;3;1;800;2024-03-02;0
31;2024-03-02 04:06:44;55652138.87;4;7;2;7;1068;2024-03-02;0
32;2024-03-02 04:07:39;74609915.44;3;8;2;8;637;2024-03-02;0
33;2024-03-02 04:26:28;110029742.08;3;0;4;0;130;2024-03-02;0
34;2024-03-02 04:35:12;242237021.01;4;0;8;0;902;2024-03-02;0
35;2024-03-02 04:35:51;167818954.6;4;7;1;7;513;2024-03-02;0
36;2024-03-02 04:41:56;243455593.31;7;8;4;8;272;2024-03-02;0
