TID;Starttime;Endtime;Activity
<<<<<<< HEAD:data/eventlog.csv
1;2024-03-02 00:30:57;2024-03-02 00:30:58;Validating
1;2024-03-02 00:30:58;2024-03-02 00:30:58;Waiting in backlog unmatched
2;2024-03-02 00:34:47;2024-03-02 00:34:48;Validating
2;2024-03-02 00:34:48;2024-03-02 00:34:48;Waiting in backlog unmatched
3;2024-03-02 01:26:04;2024-03-02 01:26:05;Validating
3;2024-03-02 01:26:05;2024-03-02 01:26:05;Waiting in backlog unmatched
4;2024-03-02 01:34:00;2024-03-02 01:34:01;Validating
4;2024-03-02 01:34:01;2024-03-02 01:34:01;Waiting in backlog unmatched
5;2024-03-02 01:38:26;2024-03-02 01:38:27;Validating
5;2024-03-02 01:38:27;2024-03-02 01:38:27;Waiting in backlog unmatched
6;2024-03-02 01:46:52;2024-03-02 01:46:53;Validating
6;2024-03-02 01:46:53;2024-03-02 01:46:53;Waiting in backlog unmatched
7;2024-03-02 01:48:24;2024-03-02 01:48:25;Validating
7;2024-03-02 01:48:25;2024-03-02 01:48:25;Waiting in backlog unmatched
8;2024-03-02 01:52:41;2024-03-02 01:52:42;Validating
8;2024-03-02 01:52:42;2024-03-02 01:52:42;Waiting in backlog unmatched
9;2024-03-02 02:00:50;2024-03-02 02:00:51;Validating
9;2024-03-02 02:00:51;2024-03-02 02:00:51;Waiting in backlog unmatched
10;2024-03-02 02:02:16;2024-03-02 02:02:17;Validating
10;2024-03-02 02:02:17;2024-03-02 02:02:17;Waiting in backlog unmatched
11;2024-03-02 02:02:35;2024-03-02 02:02:36;Validating
11;2024-03-02 02:02:36;2024-03-02 02:02:36;Waiting in backlog unmatched
12;2024-03-02 02:16:59;2024-03-02 02:17:00;Validating
12;2024-03-02 02:17:00;2024-03-02 02:17:00;Waiting in backlog unmatched
13;2024-03-02 02:18:03;2024-03-02 02:18:04;Validating
13;2024-03-02 02:18:04;2024-03-02 02:18:04;Waiting in backlog unmatched
14;2024-03-02 02:28:13;2024-03-02 02:28:14;Validating
14;2024-03-02 02:28:14;2024-03-02 02:28:14;Waiting in backlog unmatched
15;2024-03-02 02:41:17;2024-03-02 02:41:18;Validating
15;2024-03-02 02:41:18;2024-03-02 02:41:18;Waiting in backlog unmatched
16;2024-03-02 02:42:17;2024-03-02 02:42:18;Validating
16;2024-03-02 02:42:18;2024-03-02 02:42:18;Waiting in backlog unmatched
17;2024-03-02 02:48:22;2024-03-02 02:48:23;Validating
17;2024-03-02 02:48:23;2024-03-02 02:48:23;Waiting in backlog unmatched
18;2024-03-02 02:52:46;2024-03-02 02:52:47;Validating
18;2024-03-02 02:52:47;2024-03-02 02:52:47;Waiting in backlog unmatched
19;2024-03-02 02:52:56;2024-03-02 02:52:57;Validating
19;2024-03-02 02:52:57;2024-03-02 02:52:57;Waiting in backlog unmatched
20;2024-03-02 03:03:02;2024-03-02 03:03:03;Validating
20;2024-03-02 03:03:03;2024-03-02 03:03:03;Waiting in backlog unmatched
21;2024-03-02 03:18:52;2024-03-02 03:18:53;Validating
21;2024-03-02 03:18:53;2024-03-02 03:18:53;Waiting in backlog unmatched
22;2024-03-02 03:21:19;2024-03-02 03:21:20;Validating
22;2024-03-02 03:21:20;2024-03-02 03:21:20;Waiting in backlog unmatched
23;2024-03-02 03:29:38;2024-03-02 03:29:39;Validating
23;2024-03-02 03:29:39;2024-03-02 03:29:39;Waiting in backlog unmatched
24;2024-03-02 03:32:30;2024-03-02 03:32:31;Validating
24;2024-03-02 03:32:31;2024-03-02 03:32:31;Waiting in backlog unmatched
25;2024-03-02 03:35:26;2024-03-02 03:35:27;Validating
25;2024-03-02 03:35:27;2024-03-02 03:35:27;Waiting in backlog unmatched
26;2024-03-02 03:38:31;2024-03-02 03:38:32;Validating
24;2024-03-02 03:38:32;2024-03-02 03:38:33;Matching
26;2024-03-02 03:38:32;2024-03-02 03:38:33;Matching
24;2024-03-02 03:38:33;2024-03-02 03:38:34;Positioning
26;2024-03-02 03:38:33;2024-03-02 03:38:34;Positioning
24;2024-03-02 03:38:34;2024-03-02 03:38:34;Settling
26;2024-03-02 03:38:34;2024-03-02 03:38:34;Settling
27;2024-03-02 03:54:49;2024-03-02 03:54:50;Validating
27;2024-03-02 03:54:50;2024-03-02 03:54:50;Waiting in backlog unmatched
28;2024-03-02 03:58:12;2024-03-02 03:58:13;Validating
28;2024-03-02 03:58:13;2024-03-02 03:58:13;Waiting in backlog unmatched
29;2024-03-02 04:02:58;2024-03-02 04:02:59;Validating
29;2024-03-02 04:02:59;2024-03-02 04:02:59;Waiting in backlog unmatched
30;2024-03-02 04:05:29;2024-03-02 04:05:30;Validating
30;2024-03-02 04:05:30;2024-03-02 04:05:30;Waiting in backlog unmatched
31;2024-03-02 04:06:44;2024-03-02 04:06:45;Validating
31;2024-03-02 04:06:45;2024-03-02 04:06:45;Waiting in backlog unmatched
32;2024-03-02 04:07:39;2024-03-02 04:07:40;Validating
32;2024-03-02 04:07:40;2024-03-02 04:07:40;Waiting in backlog unmatched
33;2024-03-02 04:26:28;2024-03-02 04:26:29;Validating
33;2024-03-02 04:26:29;2024-03-02 04:26:29;Waiting in backlog unmatched
34;2024-03-02 04:35:12;2024-03-02 04:35:13;Validating
34;2024-03-02 04:35:13;2024-03-02 04:35:13;Waiting in backlog unmatched
35;2024-03-02 04:35:51;2024-03-02 04:35:52;Validating
35;2024-03-02 04:35:52;2024-03-02 04:35:52;Waiting in backlog unmatched
36;2024-03-02 04:41:56;2024-03-02 04:41:57;Validating
36;2024-03-02 04:41:57;2024-03-02 04:41:57;Waiting in backlog unmatched
37;2024-03-02 04:44:19;2024-03-02 04:44:20;Validating
8;2024-03-02 04:44:20;2024-03-02 04:44:21;Matching
37;2024-03-02 04:44:20;2024-03-02 04:44:21;Matching
8;2024-03-02 04:44:21;2024-03-02 04:44:22;Positioning
37;2024-03-02 04:44:21;2024-03-02 04:44:22;Positioning
8;2024-03-02 04:44:22;2024-03-02 04:44:22;Settling
37;2024-03-02 04:44:22;2024-03-02 04:44:22;Settling
38;2024-03-02 04:49:48;2024-03-02 04:49:49;Validating
38;2024-03-02 04:49:49;2024-03-02 04:49:49;Waiting in backlog unmatched
39;2024-03-02 05:10:02;2024-03-02 05:10:03;Validating
39;2024-03-02 05:10:03;2024-03-02 05:10:03;Waiting in backlog unmatched
40;2024-03-02 05:10:38;2024-03-02 05:10:39;Validating
40;2024-03-02 05:10:39;2024-03-02 05:10:39;Waiting in backlog unmatched
41;2024-03-02 05:20:10;2024-03-02 05:20:11;Validating
