TID;Starttime;Endtime;Activity
1;2024-03-02 00:21:50;2024-03-02 00:21:51;Validating
1;2024-03-02 00:21:51;2024-03-02 00:21:51;Waiting in backlog unmatched
2;2024-03-02 00:58:32;2024-03-02 00:58:33;Validating
2;2024-03-02 00:58:33;2024-03-02 00:58:33;Waiting in backlog unmatched
3;2024-03-02 01:19:18;2024-03-02 01:19:19;Validating
3;2024-03-02 01:19:19;2024-03-02 01:19:19;Waiting in backlog unmatched
4;2024-03-02 01:36:34;2024-03-02 01:36:35;Validating
4;2024-03-02 01:36:35;2024-03-02 01:36:35;Waiting in backlog unmatched
5;2024-03-02 01:40:36;2024-03-02 01:40:37;Validating
5;2024-03-02 01:40:37;2024-03-02 01:40:37;Waiting in backlog unmatched
6;2024-03-02 01:47:38;2024-03-02 01:47:39;Validating
6;2024-03-02 01:47:39;2024-03-02 01:47:39;Waiting in backlog unmatched
7;2024-03-02 01:48:48;2024-03-02 01:48:49;Validating
7;2024-03-02 01:48:49;2024-03-02 01:48:49;Waiting in backlog unmatched
8;2024-03-02 01:51:27;2024-03-02 01:51:28;Validating
8;2024-03-02 01:51:28;2024-03-02 01:51:28;Waiting in backlog unmatched
9;2024-03-02 01:51:53;2024-03-02 01:51:54;Validating
9;2024-03-02 01:51:54;2024-03-02 01:51:54;Waiting in backlog unmatched
10;2024-03-02 02:12:23;2024-03-02 02:12:24;Validating
10;2024-03-02 02:12:24;2024-03-02 02:12:24;Waiting in backlog unmatched
11;2024-03-02 02:16:59;2024-03-02 02:17:00;Validating
11;2024-03-02 02:17:00;2024-03-02 02:17:00;Waiting in backlog unmatched
12;2024-03-02 02:21:01;2024-03-02 02:21:02;Validating
12;2024-03-02 02:21:02;2024-03-02 02:21:02;Waiting in backlog unmatched
13;2024-03-02 02:32:53;2024-03-02 02:32:54;Validating
13;2024-03-02 02:32:54;2024-03-02 02:32:54;Waiting in backlog unmatched
14;2024-03-02 02:44:13;2024-03-02 02:44:14;Validating
14;2024-03-02 02:44:14;2024-03-02 02:44:14;Waiting in backlog unmatched
15;2024-03-02 02:44:44;2024-03-02 02:44:45;Validating
15;2024-03-02 02:44:45;2024-03-02 02:44:45;Waiting in backlog unmatched
16;2024-03-02 02:53:40;2024-03-02 02:53:41;Validating
16;2024-03-02 02:53:41;2024-03-02 02:53:41;Waiting in backlog unmatched
17;2024-03-02 02:54:01;2024-03-02 02:54:02;Validating
17;2024-03-02 02:54:02;2024-03-02 02:54:02;Waiting in backlog unmatched
18;2024-03-02 02:55:16;2024-03-02 02:55:17;Validating
18;2024-03-02 02:55:17;2024-03-02 02:55:17;Waiting in backlog unmatched
19;2024-03-02 02:57:02;2024-03-02 02:57:03;Validating
19;2024-03-02 02:57:03;2024-03-02 02:57:03;Waiting in backlog unmatched
20;2024-03-02 02:57:54;2024-03-02 02:57:55;Validating
20;2024-03-02 02:57:55;2024-03-02 02:57:55;Waiting in backlog unmatched
21;2024-03-02 02:59:27;2024-03-02 02:59:28;Validating
21;2024-03-02 02:59:28;2024-03-02 02:59:28;Waiting in backlog unmatched
22;2024-03-02 02:59:48;2024-03-02 02:59:49;Validating
22;2024-03-02 02:59:49;2024-03-02 02:59:49;Waiting in backlog unmatched
23;2024-03-02 03:01:34;2024-03-02 03:01:35;Validating
23;2024-03-02 03:01:35;2024-03-02 03:01:35;Waiting in backlog unmatched
24;2024-03-02 03:07:32;2024-03-02 03:07:33;Validating
24;2024-03-02 03:07:33;2024-03-02 03:07:33;Waiting in backlog unmatched
25;2024-03-02 03:14:44;2024-03-02 03:14:45;Validating
25;2024-03-02 03:14:45;2024-03-02 03:14:45;Waiting in backlog unmatched
26;2024-03-02 03:16:48;2024-03-02 03:16:49;Validating
26;2024-03-02 03:16:49;2024-03-02 03:16:49;Waiting in backlog unmatched
27;2024-03-02 03:20:04;2024-03-02 03:20:05;Validating
27;2024-03-02 03:20:05;2024-03-02 03:20:05;Waiting in backlog unmatched
28;2024-03-02 03:20:50;2024-03-02 03:20:51;Validating
28;2024-03-02 03:20:51;2024-03-02 03:20:51;Waiting in backlog unmatched
29;2024-03-02 03:22:22;2024-03-02 03:22:23;Validating
29;2024-03-02 03:22:23;2024-03-02 03:22:23;Waiting in backlog unmatched
30;2024-03-02 03:26:13;2024-03-02 03:26:14;Validating
13;2024-03-02 03:26:14;2024-03-02 03:26:15;Matching
30;2024-03-02 03:26:14;2024-03-02 03:26:15;Matching
31;2024-03-02 03:27:05;2024-03-02 03:27:06;Validating
31;2024-03-02 03:27:06;2024-03-02 03:27:06;Waiting in backlog unmatched
32;2024-03-02 03:27:28;2024-03-02 03:27:29;Validating
32;2024-03-02 03:27:29;2024-03-02 03:27:29;Waiting in backlog unmatched
33;2024-03-02 03:29:39;2024-03-02 03:29:40;Validating
33;2024-03-02 03:29:40;2024-03-02 03:29:40;Waiting in backlog unmatched
34;2024-03-02 03:32:13;2024-03-02 03:32:14;Validating
34;2024-03-02 03:32:14;2024-03-02 03:32:14;Waiting in backlog unmatched
35;2024-03-02 03:37:44;2024-03-02 03:37:45;Validating
35;2024-03-02 03:37:45;2024-03-02 03:37:45;Waiting in backlog unmatched
36;2024-03-02 03:38:29;2024-03-02 03:38:30;Validating
36;2024-03-02 03:38:30;2024-03-02 03:38:30;Waiting in backlog unmatched
37;2024-03-02 03:45:57;2024-03-02 03:45:58;Validating
37;2024-03-02 03:45:58;2024-03-02 03:45:58;Waiting in backlog unmatched
38;2024-03-02 03:51:40;2024-03-02 03:51:41;Validating
38;2024-03-02 03:51:41;2024-03-02 03:51:41;Waiting in backlog unmatched
39;2024-03-02 03:55:25;2024-03-02 03:55:26;Validating
39;2024-03-02 03:55:26;2024-03-02 03:55:26;Waiting in backlog unmatched
40;2024-03-02 03:56:16;2024-03-02 03:56:17;Validating
40;2024-03-02 03:56:17;2024-03-02 03:56:17;Waiting in backlog unmatched
41;2024-03-02 04:11:02;2024-03-02 04:11:03;Validating
41;2024-03-02 04:11:03;2024-03-02 04:11:03;Waiting in backlog unmatched
42;2024-03-02 04:18:38;2024-03-02 04:18:39;Validating
42;2024-03-02 04:18:39;2024-03-02 04:18:39;Waiting in backlog unmatched
43;2024-03-02 04:19:31;2024-03-02 04:19:32;Validating
43;2024-03-02 04:19:32;2024-03-02 04:19:32;Waiting in backlog unmatched
44;2024-03-02 04:19:35;2024-03-02 04:19:36;Validating
44;2024-03-02 04:19:36;2024-03-02 04:19:36;Waiting in backlog unmatched
45;2024-03-02 04:21:08;2024-03-02 04:21:09;Validating
32;2024-03-02 04:21:09;2024-03-02 04:21:10;Matching
45;2024-03-02 04:21:09;2024-03-02 04:21:10;Matching
46;2024-03-02 04:44:03;2024-03-02 04:44:04;Validating
11;2024-03-02 04:44:04;2024-03-02 04:44:05;Matching
46;2024-03-02 04:44:04;2024-03-02 04:44:05;Matching
11;2024-03-02 04:44:05;2024-03-02 04:44:06;Positioning
46;2024-03-02 04:44:05;2024-03-02 04:44:06;Positioning
11;2024-03-02 04:44:06;2024-03-02 04:44:06;Settling
46;2024-03-02 04:44:06;2024-03-02 04:44:06;Settling
47;2024-03-02 04:54:38;2024-03-02 04:54:39;Validating
47;2024-03-02 04:54:39;2024-03-02 04:54:39;Waiting in backlog unmatched
48;2024-03-02 04:57:26;2024-03-02 04:57:27;Validating
48;2024-03-02 04:57:27;2024-03-02 04:57:27;Waiting in backlog unmatched
49;2024-03-02 05:03:16;2024-03-02 05:03:17;Validating
49;2024-03-02 05:03:17;2024-03-02 05:03:17;Waiting in backlog unmatched
50;2024-03-02 05:05:51;2024-03-02 05:05:52;Validating
50;2024-03-02 05:05:52;2024-03-02 05:05:52;Waiting in backlog unmatched
51;2024-03-02 05:10:17;2024-03-02 05:10:18;Validating
51;2024-03-02 05:10:18;2024-03-02 05:10:18;Waiting in backlog unmatched
52;2024-03-02 05:12:45;2024-03-02 05:12:46;Validating
52;2024-03-02 05:12:46;2024-03-02 05:12:46;Waiting in backlog unmatched
53;2024-03-02 05:17:15;2024-03-02 05:17:16;Validating
53;2024-03-02 05:17:16;2024-03-02 05:17:16;Waiting in backlog unmatched
54;2024-03-02 05:22:32;2024-03-02 05:22:33;Validating
54;2024-03-02 05:22:33;2024-03-02 05:22:33;Waiting in backlog unmatched
55;2024-03-02 05:26:44;2024-03-02 05:26:45;Validating
55;2024-03-02 05:26:45;2024-03-02 05:26:45;Waiting in backlog unmatched
56;2024-03-02 05:26:57;2024-03-02 05:26:58;Validating
56;2024-03-02 05:26:58;2024-03-02 05:26:58;Waiting in backlog unmatched
57;2024-03-02 05:28:09;2024-03-02 05:28:10;Validating
57;2024-03-02 05:28:10;2024-03-02 05:28:10;Waiting in backlog unmatched
58;2024-03-02 05:28:34;2024-03-02 05:28:35;Validating
58;2024-03-02 05:28:35;2024-03-02 05:28:35;Waiting in backlog unmatched
59;2024-03-02 05:28:53;2024-03-02 05:28:54;Validating
59;2024-03-02 05:28:54;2024-03-02 05:28:54;Waiting in backlog unmatched
60;2024-03-02 05:30:53;2024-03-02 05:30:54;Validating
35;2024-03-02 05:30:54;2024-03-02 05:30:55;Matching
60;2024-03-02 05:30:54;2024-03-02 05:30:55;Matching
61;2024-03-02 05:39:54;2024-03-02 05:39:55;Validating
61;2024-03-02 05:39:55;2024-03-02 05:39:55;Waiting in backlog unmatched
62;2024-03-02 05:47:06;2024-03-02 05:47:07;Validating
62;2024-03-02 05:47:07;2024-03-02 05:47:07;Waiting in backlog unmatched
63;2024-03-02 05:47:25;2024-03-02 05:47:26;Validating
63;2024-03-02 05:47:26;2024-03-02 05:47:26;Waiting in backlog unmatched
64;2024-03-02 05:49:00;2024-03-02 05:49:01;Validating
64;2024-03-02 05:49:01;2024-03-02 05:49:01;Waiting in backlog unmatched
65;2024-03-02 05:55:52;2024-03-02 05:55:53;Validating
65;2024-03-02 05:55:53;2024-03-02 05:55:53;Waiting in backlog unmatched
66;2024-03-02 05:56:59;2024-03-02 05:57:00;Validating
66;2024-03-02 05:57:00;2024-03-02 05:57:00;Waiting in backlog unmatched
67;2024-03-02 06:02:25;2024-03-02 06:02:26;Validating
67;2024-03-02 06:02:26;2024-03-02 06:02:26;Waiting in backlog unmatched
68;2024-03-02 06:08:27;2024-03-02 06:08:28;Validating
68;2024-03-02 06:08:28;2024-03-02 06:08:28;Waiting in backlog unmatched
69;2024-03-02 06:20:35;2024-03-02 06:20:36;Validating
69;2024-03-02 06:20:36;2024-03-02 06:20:36;Waiting in backlog unmatched
70;2024-03-02 06:29:23;2024-03-02 06:29:24;Validating
