TID;Time;Value;FromParticipantId;FromAccountId;ToParticipantId;ToAccountId;Linkcode;SettlementDeadline;T+x
1;2024-03-02 00:21:50;68030821.24;5;4;8;4;1291;2024-03-03;1
2;2024-03-02 00:58:32;22525656.21;2;8;5;8;1048;2024-03-03;1
3;2024-03-02 01:19:18;166213498.93;4;0;8;0;260;2024-03-03;1
4;2024-03-02 01:36:34;70841298.96;2;3;3;3;1297;2024-03-03;1
5;2024-03-02 01:40:36;69731716.28;6;1;3;1;1012;2024-03-03;1
6;2024-03-02 01:47:38;139559066.54;4;3;2;3;105;2024-03-03;1
7;2024-03-02 01:48:48;107452575.05;7;0;3;0;652;2024-03-02;0
8;2024-03-02 01:51:27;41634305.96;5;0;4;0;552;2024-03-03;1
9;2024-03-02 01:51:53;53533637.74;8;7;3;7;1455;2024-03-03;1
10;2024-03-02 02:12:23;120448154.04;5;0;3;0;1265;2024-03-03;1
11;2024-03-02 02:16:59;45749573.88;7;8;3;8;20;2024-03-02;0
12;2024-03-02 02:21:01;58248082.79;7;4;6;4;1098;2024-03-03;1
13;2024-03-02 02:32:53;148072127.35;3;6;4;6;761;2024-03-03;1
14;2024-03-02 02:44:13;81423095.44;6;0;8;0;1240;2024-03-02;0
15;2024-03-02 02:44:44;44616983.87;2;2;3;2;684;2024-03-03;1
16;2024-03-02 02:53:40;65006065.11;2;5;7;5;1439;2024-03-03;1
17;2024-03-02 02:54:01;230641602.83;1;3;4;3;822;2024-03-02;0
18;2024-03-02 02:55:16;99154026.16;1;3;5;3;84;2024-03-03;1
19;2024-03-02 02:57:02;90192705.46;7;1;5;1;794;2024-03-03;1
20;2024-03-02 02:57:54;86536103.31;2;7;6;7;75;2024-03-03;1
21;2024-03-02 02:59:27;22388938.5;3;0;2;0;1459;2024-03-03;1
22;2024-03-02 02:59:48;32815449.7;3;8;8;8;1334;2024-03-03;1
23;2024-03-02 03:01:34;50326348.12;6;0;7;0;646;2024-03-03;1
24;2024-03-02 03:07:32;111669081.16;1;0;3;0;785;2024-03-03;1
25;2024-03-02 03:14:44;39315600.59;8;1;6;1;1119;2024-03-03;1
26;2024-03-02 03:16:48;77438234.63;5;0;7;0;1400;2024-03-03;1
27;2024-03-02 03:20:04;105497327.25;5;0;1;0;773;2024-03-03;1
28;2024-03-02 03:20:50;142461817.26;7;1;1;1;980;2024-03-02;0
29;2024-03-02 03:22:22;39921964.28;3;0;1;0;807;2024-03-02;0
30;2024-03-02 03:26:13;148072127.35;4;0;3;0;761;2024-03-03;1
31;2024-03-02 03:27:05;34308523.05;8;3;1;3;237;2024-03-02;0
32;2024-03-02 03:27:28;39137398.98;3;1;5;1;349;2024-03-03;1
33;2024-03-02 03:29:39;127321836.35;1;0;4;0;825;2024-03-03;1
34;2024-03-02 03:32:13;140443780.14;6;3;4;3;43;2024-03-03;1
35;2024-03-02 03:37:44;25801192.95;3;0;5;0;68;2024-03-03;1
36;2024-03-02 03:38:29;188693067.06;4;0;1;0;1054;2024-03-03;1
37;2024-03-02 03:45:57;55185858.71;5;0;6;0;413;2024-03-03;1
38;2024-03-02 03:51:40;19172311.57;2;8;5;8;358;2024-03-02;0
39;2024-03-02 03:55:25;82725312.35;1;0;2;0;1269;2024-03-03;1
40;2024-03-02 03:56:16;26960632.43;5;7;8;7;1496;2024-03-03;1
41;2024-03-02 04:11:02;63654696.82;8;0;6;0;1448;2024-03-03;1
42;2024-03-02 04:18:38;150016072.6;1;7;4;7;395;2024-03-03;1
43;2024-03-02 04:19:31;222948051.86;4;0;5;0;49;2024-03-03;1
44;2024-03-02 04:19:35;49325500.28;6;8;3;8;945;2024-03-03;1
45;2024-03-02 04:21:08;39137398.98;5;0;3;0;349;2024-03-03;1
46;2024-03-02 04:44:03;45749573.88;3;0;7;0;20;2024-03-02;0
47;2024-03-02 04:54:38;150135389.89;4;3;7;3;668;2024-03-03;1
48;2024-03-02 04:57:26;47496592.36;2;0;4;0;131;2024-03-02;0
49;2024-03-02 05:03:16;35698303.68;1;7;5;7;830;2024-03-03;1
50;2024-03-02 05:05:51;38919258.93;8;3;2;3;45;2024-03-03;1
51;2024-03-02 05:10:17;117951848.74;5;6;7;6;269;2024-03-03;1
52;2024-03-02 05:12:45;66600004.92;2;0;3;0;1323;2024-03-03;1
53;2024-03-02 05:17:15;45026866.2;5;8;2;8;1074;2024-03-03;1
54;2024-03-02 05:22:32;39756836.44;6;7;1;7;385;2024-03-03;1
55;2024-03-02 05:26:44;80339535.55;7;2;3;2;528;2024-03-03;1
56;2024-03-02 05:26:57;94296569.01;5;0;8;0;159;2024-03-03;1
57;2024-03-02 05:28:09;90674954.72;2;8;7;8;274;2024-03-02;0
58;2024-03-02 05:28:34;88707258.06;4;3;3;3;943;2024-03-03;1
59;2024-03-02 05:28:53;50625624.38;4;0;7;0;1349;2024-03-02;0
60;2024-03-02 05:30:53;25801192.95;5;5;3;5;68;2024-03-03;1
61;2024-03-02 05:39:54;42941530.62;7;4;4;4;162;2024-03-03;1
62;2024-03-02 05:47:06;103025184.21;4;0;2;0;313;2024-03-03;1
63;2024-03-02 05:47:25;97635893.88;8;8;2;8;119;2024-03-03;1
64;2024-03-02 05:49:00;47840265.21;5;0;7;0;537;2024-03-03;1
65;2024-03-02 05:55:52;52274208.19;8;0;6;0;1478;2024-03-03;1
66;2024-03-02 05:56:59;29221837.62;1;0;5;0;1252;2024-03-03;1
67;2024-03-02 06:02:25;25685285.93;8;6;3;6;220;2024-03-03;1
68;2024-03-02 06:08:27;37186813.54;5;8;8;8;547;2024-03-02;0
69;2024-03-02 06:20:35;35304670.92;7;0;5;0;419;2024-03-03;1
70;2024-03-02 06:29:23;126778079.68;3;4;1;4;654;2024-03-03;1
71;2024-03-02 06:31:06;123223632.85;4;8;2;8;1193;2024-03-03;1
72;2024-03-02 06:36:29;98486977.52;4;0;3;0;542;2024-03-03;1
73;2024-03-02 06:40:36;86536103.31;6;0;2;0;75;2024-03-03;1
74;2024-03-02 06:40:39;37186813.54;8;0;5;0;547;2024-03-02;0
75;2024-03-02 06:41:22;35304670.92;5;4;7;4;419;2024-03-03;1
76;2024-03-02 06:42:05;18613205.49;3;0;5;0;781;2024-03-03;1
77;2024-03-02 06:54:24;222948051.86;5;4;4;4;49;2024-03-03;1
78;2024-03-02 06:54:25;150135389.89;7;0;4;0;668;2024-03-03;1
79;2024-03-02 06:56:58;55639968.44;2;0;7;0;311;2024-03-03;1
80;2024-03-02 07:03:51;69794858.29;7;6;5;6;211;2024-03-03;1
81;2024-03-02 07:05:00;62691805.35;3;0;2;0;1095;2024-03-03;1
82;2024-03-02 07:05:30;107452575.05;3;3;7;3;652;2024-03-02;0
83;2024-03-02 07:05:54;68030821.24;8;0;5;0;1291;2024-03-03;1
84;2024-03-02 07:06:42;42980648.49;2;8;8;8;553;2024-03-02;0
85;2024-03-02 07:10:34;150016072.6;4;0;1;0;395;2024-03-03;1
