TID;Time;Value;FromParticipantId;FromAccountId;ToParticipantId;ToAccountId;Linkcode;SettlementDeadline;T+x
1;2024-03-02 00:06:16;308166567.47;5;3;4;3;548;2024-03-04;2
2;2024-03-02 00:27:32;73535738.51;1;4;2;4;915;2024-03-04;2
3;2024-03-02 01:08:10;90821978.48;8;0;7;0;491;2024-03-04;2
4;2024-03-02 01:22:35;48515549.33;7;5;4;5;111;2024-03-03;1
5;2024-03-02 01:33:33;62016419.6;8;0;7;0;925;2024-03-03;1
6;2024-03-02 01:39:08;247173995.42;8;1;3;1;657;2024-03-04;2
7;2024-03-02 01:40:38;98096247.07;7;0;4;0;432;2024-03-04;2
8;2024-03-02 01:44:17;406354324.69;6;0;3;0;984;2024-03-04;2
9;2024-03-02 01:44:50;67608356.27;1;0;6;0;755;2024-03-04;2
10;2024-03-02 01:46:51;308578138.26;6;7;4;7;147;2024-03-04;2
11;2024-03-02 01:51:15;55188208.88;2;0;3;0;1408;2024-03-04;2
12;2024-03-02 01:55:22;359085378.36;5;3;6;3;649;2024-03-04;2
13;2024-03-02 02:07:46;213170456.75;7;0;3;0;773;2024-03-04;2
14;2024-03-02 02:07:50;110335423.87;2;6;3;6;959;2024-03-04;2
15;2024-03-02 02:11:52;112784897.81;5;7;8;7;761;2024-03-04;2
16;2024-03-02 02:13:57;124945755.14;3;0;7;0;408;2024-03-04;2
17;2024-03-02 02:14:07;263526457.33;6;0;1;0;43;2024-03-03;1
18;2024-03-02 02:14:14;269613123.55;1;5;6;5;1036;2024-03-04;2
19;2024-03-02 02:19:46;231828364.12;7;8;3;8;315;2024-03-04;2
20;2024-03-02 02:20:12;95692834.95;6;7;1;7;122;2024-03-04;2
21;2024-03-02 02:25:10;196471642.29;7;4;3;4;1338;2024-03-04;2
22;2024-03-02 02:33:30;34143426.51;6;6;2;6;1021;2024-03-04;2
23;2024-03-02 02:53:33;55095172.0;7;0;4;0;678;2024-03-04;2
24;2024-03-02 02:56:04;330070398.4;6;0;5;0;1023;2024-03-04;2
25;2024-03-02 03:10:47;67608356.27;6;2;1;2;755;2024-03-04;2
26;2024-03-02 03:13:29;72548657.44;7;7;4;7;182;2024-03-04;2
27;2024-03-02 03:13:42;132995698.67;2;6;1;6;394;2024-03-04;2
28;2024-03-02 03:17:06;225357338.59;2;2;4;2;1190;2024-03-04;2
29;2024-03-02 03:18:54;99661678.92;2;8;5;8;736;2024-03-04;2
30;2024-03-02 03:19:37;128421365.83;4;8;8;8;1019;2024-03-04;2
31;2024-03-02 03:20:17;47152331.53;8;0;4;0;895;2024-03-04;2
32;2024-03-02 03:22:18;247173995.42;3;0;8;0;657;2024-03-04;2
33;2024-03-02 03:24:36;95692834.95;1;0;6;0;122;2024-03-04;2
34;2024-03-02 03:43:57;109154645.79;2;4;4;4;384;2024-03-03;1
35;2024-03-02 03:46:59;45012650.23;1;0;6;0;449;2024-03-03;1
36;2024-03-02 03:48:29;93123637.82;7;3;2;3;167;2024-03-04;2
37;2024-03-02 03:50:38;137853440.28;1;1;4;1;1035;2024-03-04;2
38;2024-03-02 03:52:48;65410609.74;4;6;6;6;806;2024-03-04;2
39;2024-03-02 03:53:46;100522307.75;6;0;8;0;1195;2024-03-04;2
40;2024-03-02 03:59:45;122111283.56;2;0;3;0;1290;2024-03-04;2
41;2024-03-02 03:59:52;149874736.65;1;0;5;0;970;2024-03-03;1
42;2024-03-02 04:00:15;313136437.07;7;1;6;1;750;2024-03-04;2
43;2024-03-02 04:05:37;196471642.29;3;0;7;0;1338;2024-03-04;2
44;2024-03-02 04:06:13;127779275.65;5;7;8;7;16;2024-03-04;2
45;2024-03-02 04:09:38;52483433.03;3;3;2;3;242;2024-03-04;2
46;2024-03-02 04:12:24;107304035.99;7;7;4;7;775;2024-03-03;1
47;2024-03-02 04:22:33;62669920.13;2;0;1;0;1344;2024-03-04;2
48;2024-03-02 04:23:26;93002631.41;7;6;2;6;149;2024-03-04;2
49;2024-03-02 04:24:58;62016419.6;7;2;8;2;925;2024-03-03;1
50;2024-03-02 04:26:51;113871178.95;8;3;2;3;1471;2024-03-04;2
51;2024-03-02 04:31:28;49878150.16;8;0;4;0;264;2024-03-04;2
52;2024-03-02 04:32:29;263539242.68;5;3;1;3;221;2024-03-04;2
53;2024-03-02 04:32:43;34143426.51;2;0;6;0;1021;2024-03-04;2
54;2024-03-02 04:38:26;387862258.16;8;7;6;7;606;2024-03-03;1
55;2024-03-02 04:38:38;201124451.83;7;5;6;5;840;2024-03-04;2
56;2024-03-02 04:46:55;53229620.53;3;3;4;3;1039;2024-03-04;2
57;2024-03-02 04:50:38;63220000.83;3;3;2;3;648;2024-03-04;2
58;2024-03-02 04:57:57;51733110.63;1;0;5;0;107;2024-03-04;2
59;2024-03-02 04:59:05;196704568.43;3;0;7;0;1329;2024-03-04;2
60;2024-03-02 04:59:07;105494795.35;2;6;6;6;966;2024-03-03;1
61;2024-03-02 05:06:03;149874736.65;5;5;1;5;970;2024-03-03;1
62;2024-03-02 05:16:25;55135112.11;2;1;1;1;286;2024-03-04;2
63;2024-03-02 05:18:27;55095172.0;4;4;7;4;678;2024-03-04;2
64;2024-03-02 05:20:02;252925046.28;2;2;7;2;208;2024-03-04;2
65;2024-03-02 05:20:38;110335423.87;3;0;2;0;959;2024-03-04;2
66;2024-03-02 05:22:56;153715793.66;2;5;7;5;240;2024-03-04;2
67;2024-03-02 05:26:56;261254930.56;1;0;8;0;1444;2024-03-04;2
68;2024-03-02 05:36:52;50677057.4;3;6;4;6;30;2024-03-04;2
69;2024-03-02 05:45:26;127779275.65;8;0;5;0;16;2024-03-04;2
70;2024-03-02 05:50:42;107142069.92;8;0;7;0;873;2024-03-03;1
71;2024-03-02 05:54:40;53229620.53;4;0;3;0;1039;2024-03-04;2
72;2024-03-02 05:58:12;231828364.12;3;0;7;0;315;2024-03-04;2
73;2024-03-02 06:08:50;91544335.03;4;0;8;0;144;2024-03-04;2
74;2024-03-02 06:11:41;128421365.83;8;0;4;0;1019;2024-03-04;2
75;2024-03-02 06:18:24;64703250.88;6;1;1;1;705;2024-03-04;2
76;2024-03-02 06:21:25;143359338.98;5;0;4;0;457;2024-03-04;2
77;2024-03-02 06:23:32;90821978.48;7;3;8;3;491;2024-03-04;2
78;2024-03-02 06:35:32;64284853.22;2;0;8;0;1450;2024-03-04;2
79;2024-03-02 06:45:45;103632762.23;5;5;2;5;1159;2024-03-04;2
80;2024-03-02 06:46:06;166866398.27;8;7;3;7;1310;2024-03-04;2
81;2024-03-02 06:47:09;295884104.75;7;0;5;0;1130;2024-03-04;2
82;2024-03-02 06:58:39;306354011.37;8;7;6;7;1298;2024-03-04;2
83;2024-03-02 07:00:19;52942881.27;5;5;2;5;1118;2024-03-04;2
84;2024-03-02 07:06:52;107142069.92;7;8;8;8;873;2024-03-03;1
85;2024-03-02 07:17:23;316209360.62;4;0;1;0;1105;2024-03-04;2
86;2024-03-02 07:19:43;63725661.74;5;0;1;0;916;2024-03-04;2
87;2024-03-02 07:36:11;95714738.09;5;6;1;6;1125;2024-03-04;2
88;2024-03-02 07:38:57;225357338.59;4;0;2;0;1190;2024-03-04;2
89;2024-03-02 07:43:52;143379522.84;2;6;5;6;676;2024-03-04;2
90;2024-03-02 07:51:01;145721505.21;5;5;3;5;267;2024-03-04;2
91;2024-03-02 07:51:20;55135112.11;1;0;2;0;286;2024-03-04;2
92;2024-03-02 07:58:23;79726944.92;6;7;8;7;496;2024-03-04;2
93;2024-03-02 08:03:32;199118925.11;5;0;7;0;673;2024-03-04;2
94;2024-03-02 08:05:33;112784897.81;8;0;5;0;761;2024-03-04;2
95;2024-03-02 08:14:48;252970989.32;2;7;5;7;405;2024-03-04;2
96;2024-03-02 08:17:50;73631911.98;2;0;3;0;12;2024-03-04;2
97;2024-03-02 08:20:14;64284853.22;8;8;2;8;1450;2024-03-04;2
98;2024-03-02 08:27:40;122111283.56;3;4;2;4;1290;2024-03-04;2
99;2024-03-02 08:39:21;306354011.37;6;0;8;0;1298;2024-03-04;2
100;2024-03-02 08:44:29;234315944.23;3;7;5;7;295;2024-03-04;2
101;2024-03-02 08:44:31;98096247.07;4;7;7;7;432;2024-03-04;2
102;2024-03-02 08:46:32;267923274.12;4;0;2;0;23;2024-03-04;2
103;2024-03-02 08:57:49;196704568.43;7;7;3;7;1329;2024-03-04;2
104;2024-03-02 09:02:10;65410609.74;6;0;4;0;806;2024-03-04;2
105;2024-03-02 09:03:56;173528955.97;5;7;3;7;185;2024-03-04;2
106;2024-03-02 09:11:22;184210981.58;3;0;1;0;540;2024-03-04;2
107;2024-03-02 09:12:46;93123637.82;2;0;7;0;167;2024-03-04;2
108;2024-03-02 09:12:55;58277905.86;4;0;7;0;607;2024-03-04;2
109;2024-03-02 09:18:46;226896365.96;5;0;3;0;1286;2024-03-04;2
110;2024-03-02 09:25:14;51840493.3;6;8;8;8;867;2024-03-04;2
111;2024-03-02 09:25:59;96075523.7;3;0;4;0;875;2024-03-04;2
112;2024-03-02 09:27:01;96714864.1;1;0;7;0;192;2024-03-03;1
113;2024-03-02 09:28:44;34360758.73;8;0;7;0;923;2024-03-04;2
114;2024-03-02 09:30:17;226896365.96;3;1;5;1;1286;2024-03-04;2
115;2024-03-02 09:36:06;62815139.34;2;0;1;0;581;2024-03-04;2
116;2024-03-02 09:36:19;35736932.63;2;0;6;0;1436;2024-03-04;2
117;2024-03-02 09:41:39;45012650.23;6;2;1;2;449;2024-03-03;1
118;2024-03-02 09:43:28;105836520.52;2;0;5;0;354;2024-03-04;2
119;2024-03-02 09:46:33;212021768.8;5;0;6;0;65;2024-03-04;2
120;2024-03-02 09:47:25;76348015.45;2;0;7;0;1396;2024-03-04;2
121;2024-03-02 09:50:17;264869981.29;4;1;6;1;928;2024-03-04;2
122;2024-03-02 09:52:57;82598213.67;1;0;4;0;38;2024-03-04;2
123;2024-03-02 09:57:51;79226149.09;2;6;5;6;1462;2024-03-04;2
124;2024-03-02 10:13:49;85142097.38;5;5;8;5;830;2024-03-04;2
125;2024-03-02 10:15:50;192720702.29;7;8;4;8;292;2024-03-04;2
126;2024-03-02 10:16:54;237891595.52;4;6;5;6;198;2024-03-04;2
127;2024-03-02 10:22:02;124945755.14;7;6;3;6;408;2024-03-04;2
128;2024-03-02 10:23:56;68666441.47;5;6;8;6;1461;2024-03-04;2
129;2024-03-02 10:30:00;81321807.47;1;0;8;0;821;2024-03-04;2
130;2024-03-02 10:30:49;51733110.63;5;7;1;7;107;2024-03-04;2
131;2024-03-02 10:30:59;62669920.13;1;2;2;2;1344;2024-03-04;2
132;2024-03-02 10:31:01;44399023.67;8;8;3;8;347;2024-03-04;2
133;2024-03-02 10:32:48;84360166.43;6;5;8;5;78;2024-03-04;2
134;2024-03-02 10:38:01;62815139.34;1;3;2;3;581;2024-03-04;2
135;2024-03-02 10:40:10;252970989.32;5;0;2;0;405;2024-03-04;2
136;2024-03-02 10:41:12;82650003.03;8;0;3;0;1094;2024-03-04;2
137;2024-03-02 10:44:36;52942881.27;2;0;5;0;1118;2024-03-04;2
138;2024-03-02 10:51:48;107304035.99;4;0;7;0;775;2024-03-03;1
139;2024-03-02 11:00:10;184433862.89;7;0;5;0;307;2024-03-03;1
140;2024-03-02 11:00:26;217205302.78;1;0;6;0;503;2024-03-04;2
141;2024-03-02 11:00:33;145721505.21;3;0;5;0;267;2024-03-04;2
142;2024-03-02 11:02:51;79726944.92;8;0;6;0;496;2024-03-04;2
143;2024-03-02 11:10:46;173528955.97;3;0;5;0;185;2024-03-04;2
144;2024-03-02 11:20:39;96075523.7;4;4;3;4;875;2024-03-04;2
145;2024-03-02 11:21:31;46115805.56;8;5;7;5;260;2024-03-04;2
146;2024-03-02 11:22:03;206528324.5;1;0;7;0;1353;2024-03-04;2
147;2024-03-02 11:22:34;201124451.83;6;0;7;0;840;2024-03-04;2
148;2024-03-02 11:24:40;81321807.47;8;6;1;6;821;2024-03-04;2
149;2024-03-02 11:24:51;35736932.63;6;1;2;1;1436;2024-03-04;2
150;2024-03-02 11:25:42;44399023.67;3;0;8;0;347;2024-03-04;2
151;2024-03-02 11:31:54;269613123.55;6;0;1;0;1036;2024-03-04;2
152;2024-03-02 11:35:07;105494795.35;6;0;2;0;966;2024-03-03;1
153;2024-03-02 11:36:20;49878150.16;4;4;8;4;264;2024-03-04;2
154;2024-03-02 11:38:16;154677221.7;8;4;4;4;724;2024-03-04;2
155;2024-03-02 11:38:49;102687010.91;8;7;4;7;967;2024-03-04;2
156;2024-03-02 11:41:00;212021768.8;6;1;5;1;65;2024-03-04;2
157;2024-03-02 11:47:33;20978391.1;8;0;6;0;1500;2024-03-04;2
158;2024-03-02 11:57:28;64703250.88;1;0;6;0;705;2024-03-04;2
159;2024-03-02 12:00:35;213025222.27;4;0;2;0;275;2024-03-04;2
160;2024-03-02 12:02:43;128354115.15;2;8;5;8;911;2024-03-04;2
161;2024-03-02 12:12:10;61556564.77;1;8;3;8;333;2024-03-04;2
162;2024-03-02 12:25:57;109154645.79;4;0;2;0;384;2024-03-03;1
163;2024-03-02 12:30:27;76348015.45;7;8;2;8;1396;2024-03-04;2
164;2024-03-02 12:32:22;102687010.91;4;0;8;0;967;2024-03-04;2
165;2024-03-02 12:38:59;144674748.03;7;8;4;8;588;2024-03-04;2
166;2024-03-02 12:40:47;84360166.43;8;0;6;0;78;2024-03-04;2
167;2024-03-02 12:45:35;83516540.7;7;4;4;4;1028;2024-03-04;2
168;2024-03-02 12:47:01;308578138.26;4;0;6;0;147;2024-03-04;2
169;2024-03-02 12:52:35;345288764.27;6;0;5;0;520;2024-03-04;2
170;2024-03-02 12:57:26;85226968.0;8;1;2;1;15;2024-03-04;2
171;2024-03-02 12:57:48;51840493.3;8;0;6;0;867;2024-03-04;2
172;2024-03-02 13:08:23;50677057.4;4;0;3;0;30;2024-03-04;2
173;2024-03-02 13:12:21;113871178.95;2;0;8;0;1471;2024-03-04;2
174;2024-03-02 13:15:03;102170377.08;4;8;2;8;1140;2024-03-04;2
175;2024-03-02 13:15:04;58277905.86;7;3;4;3;607;2024-03-04;2
176;2024-03-02 13:16:30;128354115.15;5;0;2;0;911;2024-03-04;2
177;2024-03-02 13:24:59;247625057.93;3;0;6;0;1034;2024-03-04;2
178;2024-03-02 13:31:10;52932095.63;2;0;6;0;1017;2024-03-04;2
179;2024-03-02 13:31:13;142379796.36;1;0;5;0;592;2024-03-03;1
180;2024-03-02 13:31:15;52932095.63;6;3;2;3;1017;2024-03-04;2
181;2024-03-02 13:41:04;261254930.56;8;3;1;3;1444;2024-03-04;2
182;2024-03-02 13:46:34;68666441.47;8;0;5;0;1461;2024-03-04;2
183;2024-03-02 13:47:40;24642142.69;8;0;1;0;1044;2024-03-03;1
184;2024-03-02 13:51:35;39076284.47;8;0;7;0;1496;2024-03-04;2
185;2024-03-02 13:55:56;387862258.16;6;0;8;0;606;2024-03-03;1
186;2024-03-02 13:56:41;345288764.27;5;1;6;1;520;2024-03-04;2
187;2024-03-02 14:03:42;137853440.28;4;0;1;0;1035;2024-03-04;2
188;2024-03-02 14:08:02;143359338.98;4;7;5;7;457;2024-03-04;2
189;2024-03-02 14:12:56;146537999.28;7;7;6;7;140;2024-03-04;2
190;2024-03-02 14:14:44;39076284.47;7;8;8;8;1496;2024-03-04;2
191;2024-03-02 14:15:05;142379796.36;5;2;1;2;592;2024-03-03;1
192;2024-03-02 14:15:58;73631911.98;3;3;2;3;12;2024-03-04;2
193;2024-03-02 14:21:11;90346039.41;5;0;3;0;1381;2024-03-04;2
194;2024-03-02 14:23:55;146537999.28;6;0;7;0;140;2024-03-04;2
195;2024-03-02 14:24:46;144674748.03;4;0;7;0;588;2024-03-04;2
196;2024-03-02 14:26:42;184433862.89;5;7;7;7;307;2024-03-03;1
197;2024-03-02 14:41:58;119690412.52;2;0;7;0;877;2024-03-04;2
198;2024-03-02 14:45:14;45349135.28;2;7;7;7;482;2024-03-04;2
199;2024-03-02 14:47:45;310481988.44;4;0;7;0;212;2024-03-04;2
