TID;Time;Value;FromParticipantId;FromAccountId;ToParticipantId;ToAccountId;Linkcode;SettlementDeadline;T+x
1;2024-03-02 00:01:06;16897621.78;7;0;8;0;940;2024-03-04;2
2;2024-03-02 00:03:24;211901656.23;6;0;4;0;1914;2024-03-04;2
3;2024-03-02 00:05:24;218756309.75;3;6;1;6;1112;2024-03-04;2
5;2024-03-02 00:14:28;228100257.5;5;0;2;0;232;2024-03-04;2
6;2024-03-02 00:21:10;107354890.3;7;7;3;7;1539;2024-03-04;2
7;2024-03-02 00:32:40;155923171.93;1;0;7;0;2061;2024-03-04;2
8;2024-03-02 00:34:27;63429508.75;2;1;6;1;1759;2024-03-04;2
9;2024-03-02 00:37:28;29429410.14;4;0;3;0;287;2024-03-04;2
10;2024-03-02 00:56:15;277698855.74;6;0;8;0;569;2024-03-04;2
11;2024-03-02 01:03:25;272592611.9;2;5;5;5;2906;2024-03-04;2
12;2024-03-02 01:17:16;112029230.57;7;1;5;1;2871;2024-03-04;2
13;2024-03-02 01:17:58;77520902.37;2;7;3;7;3113;2024-03-04;2
14;2024-03-02 01:24:08;94620646.46;5;8;7;8;2835;2024-03-04;2
15;2024-03-02 01:28:50;74828492.81;8;6;2;6;262;2024-03-04;2
16;2024-03-02 01:30:46;289314661.12;3;1;5;1;1259;2024-03-04;2
18;2024-03-02 01:33:42;58719400.63;3;6;2;6;3316;2024-03-04;2
19;2024-03-02 01:33:45;53681426.56;3;0;1;0;1265;2024-03-04;2
20;2024-03-02 01:35:22;18621885.16;8;7;1;7;3139;2024-03-04;2
21;2024-03-02 01:35:47;239814467.3;6;8;7;8;932;2024-03-04;2
22;2024-03-02 01:36:35;82931572.56;6;0;4;0;370;2024-03-04;2
23;2024-03-02 01:37:11;213088260.59;7;0;8;0;1983;2024-03-04;2
24;2024-03-02 01:39:03;149580512.94;6;5;4;5;2629;2024-03-04;2
25;2024-03-02 01:39:12;197427382.92;1;5;8;5;3463;2024-03-04;2
26;2024-03-02 01:40:34;37329277.64;1;0;8;0;1022;2024-03-04;2
27;2024-03-02 01:40:52;191414071.76;5;0;1;0;630;2024-03-04;2
28;2024-03-02 01:42:52;87174941.5;2;3;8;3;1994;2024-03-04;2
29;2024-03-02 01:43:07;150326779.49;1;0;3;0;1335;2024-03-04;2
30;2024-03-02 01:44:25;43359018.8;4;6;8;6;654;2024-03-04;2
31;2024-03-02 01:45:33;58465016.88;5;0;3;0;757;2024-03-04;2
33;2024-03-02 01:48:58;335882935.81;4;2;5;2;2444;2024-03-04;2
34;2024-03-02 01:49:07;172277324.97;1;3;8;3;3079;2024-03-04;2
35;2024-03-02 01:52:34;328263393.72;6;0;2;0;1753;2024-03-04;2
37;2024-03-02 01:55:47;12577043.73;2;0;8;0;1592;2024-03-04;2
38;2024-03-02 01:56:11;135387346.58;1;0;8;0;217;2024-03-04;2
40;2024-03-02 02:00:20;451804463.63;8;5;5;5;200;2024-03-04;2
41;2024-03-02 02:00:20;300393054.45;6;0;8;0;3481;2024-03-04;2
42;2024-03-02 02:05:59;150994753.25;8;3;7;3;1922;2024-03-04;2
44;2024-03-02 02:07:08;84527258.06;5;2;3;2;2028;2024-03-04;2
45;2024-03-02 02:07:30;174032040.61;3;8;6;8;1247;2024-03-04;2
47;2024-03-02 02:10:32;264052129.71;1;3;6;3;1949;2024-03-04;2
50;2024-03-02 02:14:07;39037318.65;4;6;3;6;2621;2024-03-04;2
51;2024-03-02 02:16:18;20006984.28;3;0;6;0;1718;2024-03-04;2
53;2024-03-02 02:19:01;46144041.66;3;5;2;5;2105;2024-03-04;2
54;2024-03-02 02:19:31;266893284.64;3;4;7;4;2886;2024-03-04;2
56;2024-03-02 02:23:22;57445798.87;8;7;2;7;3465;2024-03-04;2
58;2024-03-02 02:26:02;323972880.22;6;1;5;1;839;2024-03-04;2
59;2024-03-02 02:26:20;23519686.68;6;6;3;6;860;2024-03-04;2
60;2024-03-02 02:26:35;84527258.06;3;0;5;0;2028;2024-03-04;2
62;2024-03-02 02:27:04;288334235.29;7;0;1;0;313;2024-03-04;2
63;2024-03-02 02:27:31;31604695.3;6;4;3;4;2778;2024-03-04;2
64;2024-03-02 02:27:57;81881385.18;8;8;6;8;2126;2024-03-04;2
66;2024-03-02 02:31:27;265761355.85;4;6;7;6;1371;2024-03-04;2
67;2024-03-02 02:31:39;211901656.23;4;6;6;6;1914;2024-03-04;2
68;2024-03-02 02:31:53;27060348.9;2;0;8;0;2391;2024-03-04;2
69;2024-03-02 02:33:48;226327022.12;1;2;7;2;801;2024-03-04;2
