TID;Time;Value;FromParticipantId;FromAccountId;ToParticipantId;ToAccountId;Linkcode;SettlementDeadline
1;2024-03-04 00:00:02;385884923.32;11;0;13;0;4780;2024-03-04
2;2024-03-04 00:00:05;267237715.47;13;0;9;0;1816;2024-03-04
3;2024-03-04 00:00:05;99249356.91;12;0;24;0;2009;2024-03-04
4;2024-03-04 00:00:07;48982003.14;25;0;24;0;7277;2024-03-04
5;2024-03-04 00:00:16;116362988.61;7;3;23;3;5159;2024-03-04
6;2024-03-04 00:00:26;173192991.86;1;4;9;4;3366;2024-03-04
7;2024-03-04 00:00:26;70422696.03;22;0;11;0;601;2024-03-04
8;2024-03-04 00:00:31;139338861.56;8;0;13;0;4344;2024-03-04
9;2024-03-04 00:00:44;73068100.43;28;0;15;0;2043;2024-03-04
10;2024-03-04 00:00:49;46686212.63;9;6;15;6;856;2024-03-04
11;2024-03-04 00:00:51;350949866.53;25;4;11;4;3886;2024-03-04
12;2024-03-04 00:00:57;73022122.93;25;0;7;0;2372;2024-03-04
13;2024-03-04 00:01:22;67564138.91;14;0;29;0;2101;2024-03-04
14;2024-03-04 00:01:33;36410001.96;30;7;13;7;5927;2024-03-04
15;2024-03-04 00:01:44;26629709.79;6;5;27;5;4941;2024-03-04
16;2024-03-04 00:01:56;26627259.67;17;0;23;0;4247;2024-03-04
17;2024-03-04 00:02:07;342478646.77;27;5;5;5;5425;2024-03-04
18;2024-03-04 00:02:13;137534690.6;24;0;18;0;783;2024-03-04
19;2024-03-04 00:02:24;92209467.22;11;1;26;1;3420;2024-03-04
20;2024-03-04 00:02:27;66924459.77;2;3;17;3;7064;2024-03-04
21;2024-03-04 00:02:29;65722373.95;9;5;1;5;6120;2024-03-04
22;2024-03-04 00:02:29;47301959.5;6;0;8;0;5926;2024-03-04
23;2024-03-04 00:02:46;6410068.24;6;0;20;0;4880;2024-03-04
24;2024-03-04 00:02:55;96366414.31;24;0;3;0;1179;2024-03-04
25;2024-03-04 00:03:19;163879851.71;9;8;10;8;1450;2024-03-04
26;2024-03-04 00:03:21;374245636.91;20;0;28;0;4303;2024-03-04
27;2024-03-04 00:03:27;51098581.47;28;0;4;0;5220;2024-03-04
28;2024-03-04 00:03:37;17073450.0;17;0;23;0;7336;2024-03-04
29;2024-03-04 00:03:40;121352431.92;1;3;10;3;467;2024-03-04
30;2024-03-04 00:03:41;133622322.24;26;0;2;0;4188;2024-03-04
31;2024-03-04 00:03:53;25174732.09;23;0;8;0;4650;2024-03-04
32;2024-03-04 00:03:56;77053607.66;6;8;19;8;393;2024-03-04
33;2024-03-04 00:04:01;207689573.51;1;0;23;0;905;2024-03-04
34;2024-03-04 00:04:06;26096348.17;12;0;29;0;246;2024-03-04
35;2024-03-04 00:04:22;125084335.18;5;7;12;7;3953;2024-03-04
36;2024-03-04 00:04:24;192155071.96;16;0;17;0;6658;2024-03-04
37;2024-03-04 00:04:27;262046707.76;16;7;29;7;3602;2024-03-04
38;2024-03-04 00:04:32;305853952.57;3;0;16;0;708;2024-03-04
39;2024-03-04 00:04:39;303111295.87;26;6;29;6;879;2024-03-04
40;2024-03-04 00:04:43;144897334.78;25;0;20;0;5205;2024-03-04
41;2024-03-04 00:04:45;32664268.02;23;2;27;2;2287;2024-03-04
42;2024-03-04 00:05:07;64417506.49;14;2;15;2;2511;2024-03-04
43;2024-03-04 00:05:11;98860720.3;15;0;26;0;1726;2024-03-04
44;2024-03-04 00:05:22;22089714.03;7;0;23;0;7015;2024-03-04
45;2024-03-04 00:05:31;48316534.92;2;4;17;4;3585;2024-03-04
46;2024-03-04 00:05:38;207098728.06;15;0;25;0;4378;2024-03-04
47;2024-03-04 00:06:45;123618802.83;24;8;27;8;6822;2024-03-04
48;2024-03-04 00:06:49;259551115.65;10;0;1;0;3578;2024-03-04
49;2024-03-04 00:07:06;96840394.74;29;0;1;0;6011;2024-03-04
50;2024-03-04 00:07:08;146934895.95;11;0;22;0;6653;2024-03-04
51;2024-03-04 00:08:20;26629709.79;27;0;6;0;4941;2024-03-04
52;2024-03-04 00:08:20;180131638.96;8;3;26;3;194;2024-03-04
53;2024-03-04 00:08:22;260858247.35;10;0;22;0;4272;2024-03-04
54;2024-03-04 00:08:53;342931059.19;11;5;5;5;2794;2024-03-04
55;2024-03-04 00:09:06;164373273.68;27;0;20;0;3640;2024-03-04
56;2024-03-04 00:09:09;29165112.58;10;7;7;7;2807;2024-03-04
57;2024-03-04 00:09:19;122461471.26;18;5;7;5;4251;2024-03-04
58;2024-03-04 00:09:24;149459350.83;30;0;18;0;1226;2024-03-04
59;2024-03-04 00:09:33;13984897.84;3;4;23;4;1076;2024-03-04
60;2024-03-04 00:09:54;278283860.23;1;0;14;0;4125;2024-03-04
61;2024-03-04 00:10:07;136200622.08;13;0;9;0;5308;2024-03-04
62;2024-03-04 00:10:33;110029791.58;23;0;24;0;4356;2024-03-04
63;2024-03-04 00:10:47;385445257.0;1;6;11;6;6961;2024-03-04
64;2024-03-04 00:10:59;49313314.95;11;1;17;1;947;2024-03-04
65;2024-03-04 00:11:52;101073404.7;26;0;4;0;337;2024-03-04
66;2024-03-04 00:12:09;100700227.44;20;1;29;1;4282;2024-03-04
67;2024-03-04 00:12:24;30630936.06;3;1;7;1;3279;2024-03-04
68;2024-03-04 00:12:29;117558225.66;8;0;19;0;7298;2024-03-04
69;2024-03-04 00:12:30;265549449.84;16;0;8;0;2007;2024-03-04
70;2024-03-04 00:13:07;97649817.68;30;0;13;0;6481;2024-03-04
71;2024-03-04 00:13:15;103178602.89;14;0;22;0;5641;2024-03-04
72;2024-03-04 00:13:16;90022540.13;30;0;21;0;6191;2024-03-04
73;2024-03-04 00:13:21;48285106.34;6;3;4;3;3397;2024-03-04
