TID;Time;Value;FromParticipantId;FromAccountId;ToParticipantId;ToAccountId;Linkcode;SettlementDeadline
1;2024-03-04 00:00:05;153675899.36;10;2;24;2;6380;2024-03-04
2;2024-03-04 00:00:07;101342980.24;14;0;20;0;5514;2024-03-05
3;2024-03-04 00:00:08;114434775.9;30;0;23;0;2884;2024-03-05
4;2024-03-04 00:00:40;15725050.78;16;4;30;4;499;2024-03-04
5;2024-03-04 00:00:55;145330743.77;14;4;15;4;7252;2024-03-05
6;2024-03-04 00:00:58;411244776.78;2;0;3;0;4450;2024-03-05
7;2024-03-04 00:01:08;146859980.44;5;0;24;0;6113;2024-03-04
8;2024-03-04 00:01:28;9874047.77;6;8;8;8;536;2024-03-04
9;2024-03-04 00:01:29;48043305.64;25;7;8;7;1174;2024-03-04
10;2024-03-04 00:01:49;226439200.5;25;1;30;1;2389;2024-03-05
11;2024-03-04 00:02:09;113046903.01;30;0;2;0;314;2024-03-05
12;2024-03-04 00:02:10;48236607.39;27;1;26;1;7368;2024-03-04
13;2024-03-04 00:02:19;49710800.39;22;8;8;8;2807;2024-03-05
14;2024-03-04 00:02:29;113886857.36;8;4;22;4;6057;2024-03-05
15;2024-03-04 00:02:49;76247842.32;6;6;13;6;4098;2024-03-05
16;2024-03-04 00:03:20;60863211.03;25;0;6;0;2699;2024-03-04
17;2024-03-04 00:03:21;240286912.5;7;0;28;0;1812;2024-03-04
18;2024-03-04 00:03:37;97817807.53;23;5;25;5;2490;2024-03-05
19;2024-03-04 00:03:39;137767127.29;16;0;14;0;4231;2024-03-04
20;2024-03-04 00:03:49;119936095.15;19;0;24;0;3804;2024-03-04
21;2024-03-04 00:03:53;107342395.63;1;8;18;8;4453;2024-03-06
22;2024-03-04 00:03:56;44767835.01;6;0;27;0;6446;2024-03-04
23;2024-03-04 00:03:57;170325462.06;6;6;26;6;3681;2024-03-06
24;2024-03-04 00:04:21;176896540.33;23;7;4;7;6429;2024-03-06
25;2024-03-04 00:04:35;100026585.16;21;0;5;0;395;2024-03-04
26;2024-03-04 00:04:57;117010853.75;14;0;20;0;3257;2024-03-05
27;2024-03-04 00:04:59;77472457.18;12;8;1;8;2569;2024-03-06
28;2024-03-04 00:05:11;182306579.72;9;4;3;4;2692;2024-03-04
29;2024-03-04 00:05:14;92755112.73;10;1;24;1;249;2024-03-04
30;2024-03-04 00:05:15;67217001.67;16;0;26;0;6289;2024-03-04
31;2024-03-04 00:05:22;124906459.95;23;0;11;0;4877;2024-03-05
32;2024-03-04 00:05:39;88585024.02;29;0;19;0;7330;2024-03-04
33;2024-03-04 00:05:47;38451880.95;8;0;30;0;4635;2024-03-04
34;2024-03-04 00:05:52;296672635.89;21;8;7;8;2582;2024-03-04
35;2024-03-04 00:06:02;125374024.29;4;4;28;4;5447;2024-03-04
36;2024-03-04 00:06:12;162757940.27;4;4;27;4;534;2024-03-04
37;2024-03-04 00:06:15;28871225.98;21;8;23;8;2929;2024-03-06
38;2024-03-04 00:06:22;37127066.72;3;0;2;0;80;2024-03-05
39;2024-03-04 00:06:23;56082423.87;17;6;29;6;2229;2024-03-05
40;2024-03-04 00:06:56;97686915.29;6;0;3;0;7027;2024-03-04
41;2024-03-04 00:07:31;218902188.23;19;2;11;2;1423;2024-03-05
42;2024-03-04 00:07:32;145364144.28;8;8;20;8;4455;2024-03-05
43;2024-03-04 00:07:45;129149593.36;5;1;15;1;3066;2024-03-05
44;2024-03-04 00:07:51;137677215.89;12;6;5;6;4301;2024-03-05
45;2024-03-04 00:08:29;11463747.45;5;3;20;3;4221;2024-03-04
46;2024-03-04 00:09:03;151537965.2;26;0;15;0;5198;2024-03-04
47;2024-03-04 00:09:17;77491380.87;26;4;24;4;7225;2024-03-05
48;2024-03-04 00:09:37;93606212.7;1;0;27;0;4520;2024-03-04
49;2024-03-04 00:09:41;198639932.11;14;1;16;1;794;2024-03-05
50;2024-03-04 00:10:00;206437739.24;7;0;2;0;376;2024-03-05
51;2024-03-04 00:10:05;95934572.54;20;1;24;1;5411;2024-03-05
52;2024-03-04 00:10:16;279519101.99;3;0;11;0;2475;2024-03-05
53;2024-03-04 00:10:22;68242006.99;15;1;1;1;5158;2024-03-04
54;2024-03-04 00:10:25;176583858.34;10;3;24;3;847;2024-03-05
55;2024-03-04 00:10:35;112288173.91;27;0;1;0;1514;2024-03-04
56;2024-03-04 00:10:52;97537057.71;14;6;30;6;3652;2024-03-05
57;2024-03-04 00:11:00;330348193.79;3;0;10;0;4026;2024-03-04
58;2024-03-04 00:11:28;73344807.32;1;0;4;0;2715;2024-03-04
59;2024-03-04 00:11:43;330348193.79;10;7;3;7;4026;2024-03-04
60;2024-03-04 00:12:02;131937992.48;6;0;24;0;6490;2024-03-04
61;2024-03-04 00:12:10;134031616.72;18;6;21;6;2143;2024-03-04
62;2024-03-04 00:13:00;204568801.54;6;0;24;0;4337;2024-03-05
63;2024-03-04 00:13:03;11533093.26;8;0;12;0;5021;2024-03-04
64;2024-03-04 00:13:15;122088502.29;9;0;27;0;4553;2024-03-06
65;2024-03-04 00:13:15;335268945.26;17;0;30;0;2999;2024-03-04
66;2024-03-04 00:13:34;149102251.84;27;1;11;1;2963;2024-03-06
67;2024-03-04 00:13:42;63868059.27;10;0;25;0;5193;2024-03-05
68;2024-03-04 00:13:46;68241415.77;13;0;7;0;2640;2024-03-04
69;2024-03-04 00:13:47;173078768.05;28;1;11;1;4205;2024-03-05
70;2024-03-04 00:14:08;46858041.27;29;5;21;5;2257;2024-03-04
71;2024-03-04 00:14:13;225138166.5;20;5;11;5;3572;2024-03-05
72;2024-03-04 00:14:18;279519101.99;11;3;3;3;2475;2024-03-05
73;2024-03-04 00:15:01;55632694.71;14;0;16;0;6485;2024-03-05
74;2024-03-04 00:15:17;74089887.44;10;0;8;0;218;2024-03-05
75;2024-03-04 00:15:21;336241521.91;1;5;27;5;557;2024-03-05
76;2024-03-04 00:15:53;120003700.18;11;0;27;0;5190;2024-03-06
77;2024-03-04 00:16:05;62300375.42;8;0;14;0;3126;2024-03-04
78;2024-03-04 00:16:09;270667025.45;19;0;29;0;116;2024-03-05
79;2024-03-04 00:16:14;92755112.73;24;0;10;0;249;2024-03-04
80;2024-03-04 00:16:16;459924891.91;29;8;27;8;4812;2024-03-05
81;2024-03-04 00:16:46;81744650.0;28;3;13;3;3594;2024-03-04
82;2024-03-04 00:17:10;224408317.17;10;5;16;5;6003;2024-03-06
83;2024-03-04 00:17:19;226264821.0;3;5;7;5;1298;2024-03-04
84;2024-03-04 00:17:30;123192907.77;9;5;11;5;2191;2024-03-05
85;2024-03-04 00:17:36;25678806.45;9;4;28;4;5672;2024-03-05
86;2024-03-04 00:17:53;11176466.51;13;0;21;0;3807;2024-03-05
87;2024-03-04 00:18:03;14701926.26;8;4;29;4;1746;2024-03-04
88;2024-03-04 00:18:36;27597855.26;29;2;8;2;7104;2024-03-05
89;2024-03-04 00:19:01;145364144.28;20;0;8;0;4455;2024-03-05
90;2024-03-04 00:19:11;49524550.21;24;8;26;8;4073;2024-03-04
91;2024-03-04 00:19:39;57177217.55;14;0;8;0;5399;2024-03-04
92;2024-03-04 00:19:40;157557202.27;13;4;23;4;1646;2024-03-06
93;2024-03-04 00:19:40;67410257.86;14;0;10;0;7276;2024-03-05
94;2024-03-04 00:19:40;57464612.11;26;1;21;1;6743;2024-03-04
95;2024-03-04 00:19:43;91080327.82;14;1;6;1;6994;2024-03-05
96;2024-03-04 00:19:56;162260154.79;11;0;24;0;334;2024-03-05
97;2024-03-04 00:20:10;52179541.1;12;0;11;0;4046;2024-03-05
98;2024-03-04 00:20:44;245760635.75;19;0;15;0;5424;2024-03-05
99;2024-03-04 00:21:05;59045712.0;21;6;1;6;1094;2024-03-04
100;2024-03-04 00:21:07;76140263.77;19;7;29;7;589;2024-03-05
101;2024-03-04 00:21:19;37883265.72;28;2;22;2;5750;2024-03-04
