TID;Starttime;Endtime;Activity
1;2024-03-04 00:00:05;2024-03-04 00:00:06;Validating
1;2024-03-04 00:00:06;2024-03-04 00:00:06;Waiting in backlog unmatched
2;2024-03-04 00:00:07;2024-03-04 00:00:08;Validating
2;2024-03-04 00:00:08;2024-03-04 00:00:08;Waiting in backlog unmatched
3;2024-03-04 00:00:08;2024-03-04 00:00:09;Validating
3;2024-03-04 00:00:09;2024-03-04 00:00:09;Waiting in backlog unmatched
4;2024-03-04 00:00:40;2024-03-04 00:00:41;Validating
4;2024-03-04 00:00:41;2024-03-04 00:00:41;Waiting in backlog unmatched
5;2024-03-04 00:00:55;2024-03-04 00:00:56;Validating
5;2024-03-04 00:00:56;2024-03-04 00:00:56;Waiting in backlog unmatched
6;2024-03-04 00:00:58;2024-03-04 00:00:59;Validating
6;2024-03-04 00:00:59;2024-03-04 00:00:59;Waiting in backlog unmatched
7;2024-03-04 00:01:08;2024-03-04 00:01:09;Validating
7;2024-03-04 00:01:09;2024-03-04 00:01:09;Waiting in backlog unmatched
8;2024-03-04 00:01:28;2024-03-04 00:01:29;Validating
8;2024-03-04 00:01:29;2024-03-04 00:01:29;Waiting in backlog unmatched
9;2024-03-04 00:01:29;2024-03-04 00:01:30;Validating
9;2024-03-04 00:01:30;2024-03-04 00:01:30;Waiting in backlog unmatched
10;2024-03-04 00:01:49;2024-03-04 00:01:50;Validating
10;2024-03-04 00:01:50;2024-03-04 00:01:50;Waiting in backlog unmatched
11;2024-03-04 00:02:09;2024-03-04 00:02:10;Validating
11;2024-03-04 00:02:10;2024-03-04 00:02:10;Waiting in backlog unmatched
12;2024-03-04 00:02:10;2024-03-04 00:02:11;Validating
12;2024-03-04 00:02:11;2024-03-04 00:02:11;Waiting in backlog unmatched
13;2024-03-04 00:02:19;2024-03-04 00:02:20;Validating
13;2024-03-04 00:02:20;2024-03-04 00:02:20;Waiting in backlog unmatched
14;2024-03-04 00:02:29;2024-03-04 00:02:30;Validating
14;2024-03-04 00:02:30;2024-03-04 00:02:30;Waiting in backlog unmatched
15;2024-03-04 00:02:49;2024-03-04 00:02:50;Validating
15;2024-03-04 00:02:50;2024-03-04 00:02:50;Waiting in backlog unmatched
16;2024-03-04 00:03:20;2024-03-04 00:03:21;Validating
16;2024-03-04 00:03:21;2024-03-04 00:03:21;Waiting in backlog unmatched
17;2024-03-04 00:03:21;2024-03-04 00:03:22;Validating
17;2024-03-04 00:03:22;2024-03-04 00:03:22;Waiting in backlog unmatched
18;2024-03-04 00:03:37;2024-03-04 00:03:38;Validating
18;2024-03-04 00:03:38;2024-03-04 00:03:38;Waiting in backlog unmatched
19;2024-03-04 00:03:39;2024-03-04 00:03:40;Validating
19;2024-03-04 00:03:40;2024-03-04 00:03:40;Waiting in backlog unmatched
20;2024-03-04 00:03:49;2024-03-04 00:03:50;Validating
20;2024-03-04 00:03:50;2024-03-04 00:03:50;Waiting in backlog unmatched
21;2024-03-04 00:03:53;2024-03-04 00:03:54;Validating
21;2024-03-04 00:03:54;2024-03-04 00:03:54;Waiting in backlog unmatched
22;2024-03-04 00:03:56;2024-03-04 00:03:57;Validating
22;2024-03-04 00:03:57;2024-03-04 00:03:57;Waiting in backlog unmatched
23;2024-03-04 00:03:57;2024-03-04 00:03:58;Validating
23;2024-03-04 00:03:58;2024-03-04 00:03:58;Waiting in backlog unmatched
24;2024-03-04 00:04:21;2024-03-04 00:04:22;Validating
24;2024-03-04 00:04:22;2024-03-04 00:04:22;Waiting in backlog unmatched
25;2024-03-04 00:04:35;2024-03-04 00:04:36;Validating
25;2024-03-04 00:04:36;2024-03-04 00:04:36;Waiting in backlog unmatched
26;2024-03-04 00:04:57;2024-03-04 00:04:58;Validating
26;2024-03-04 00:04:58;2024-03-04 00:04:58;Waiting in backlog unmatched
27;2024-03-04 00:04:59;2024-03-04 00:05:00;Validating
27;2024-03-04 00:05:00;2024-03-04 00:05:00;Waiting in backlog unmatched
28;2024-03-04 00:05:11;2024-03-04 00:05:12;Validating
28;2024-03-04 00:05:12;2024-03-04 00:05:12;Waiting in backlog unmatched
29;2024-03-04 00:05:14;2024-03-04 00:05:15;Validating
29;2024-03-04 00:05:15;2024-03-04 00:05:15;Waiting in backlog unmatched
30;2024-03-04 00:05:15;2024-03-04 00:05:16;Validating
30;2024-03-04 00:05:16;2024-03-04 00:05:16;Waiting in backlog unmatched
31;2024-03-04 00:05:22;2024-03-04 00:05:23;Validating
31;2024-03-04 00:05:23;2024-03-04 00:05:23;Waiting in backlog unmatched
32;2024-03-04 00:05:39;2024-03-04 00:05:40;Validating
32;2024-03-04 00:05:40;2024-03-04 00:05:40;Waiting in backlog unmatched
33;2024-03-04 00:05:47;2024-03-04 00:05:48;Validating
33;2024-03-04 00:05:48;2024-03-04 00:05:48;Waiting in backlog unmatched
34;2024-03-04 00:05:52;2024-03-04 00:05:53;Validating
34;2024-03-04 00:05:53;2024-03-04 00:05:53;Waiting in backlog unmatched
35;2024-03-04 00:06:02;2024-03-04 00:06:03;Validating
35;2024-03-04 00:06:03;2024-03-04 00:06:03;Waiting in backlog unmatched
36;2024-03-04 00:06:12;2024-03-04 00:06:13;Validating
36;2024-03-04 00:06:13;2024-03-04 00:06:13;Waiting in backlog unmatched
37;2024-03-04 00:06:15;2024-03-04 00:06:16;Validating
37;2024-03-04 00:06:16;2024-03-04 00:06:16;Waiting in backlog unmatched
38;2024-03-04 00:06:22;2024-03-04 00:06:23;Validating
38;2024-03-04 00:06:23;2024-03-04 00:06:23;Waiting in backlog unmatched
39;2024-03-04 00:06:23;2024-03-04 00:06:24;Validating
39;2024-03-04 00:06:24;2024-03-04 00:06:24;Waiting in backlog unmatched
40;2024-03-04 00:06:56;2024-03-04 00:06:57;Validating
40;2024-03-04 00:06:57;2024-03-04 00:06:57;Waiting in backlog unmatched
41;2024-03-04 00:07:31;2024-03-04 00:07:32;Validating
41;2024-03-04 00:07:32;2024-03-04 00:07:32;Waiting in backlog unmatched
42;2024-03-04 00:07:32;2024-03-04 00:07:33;Validating
42;2024-03-04 00:07:33;2024-03-04 00:07:33;Waiting in backlog unmatched
43;2024-03-04 00:07:45;2024-03-04 00:07:46;Validating
43;2024-03-04 00:07:46;2024-03-04 00:07:46;Waiting in backlog unmatched
44;2024-03-04 00:07:51;2024-03-04 00:07:52;Validating
44;2024-03-04 00:07:52;2024-03-04 00:07:52;Waiting in backlog unmatched
45;2024-03-04 00:08:29;2024-03-04 00:08:30;Validating
45;2024-03-04 00:08:30;2024-03-04 00:08:30;Waiting in backlog unmatched
46;2024-03-04 00:09:03;2024-03-04 00:09:04;Validating
46;2024-03-04 00:09:04;2024-03-04 00:09:04;Waiting in backlog unmatched
47;2024-03-04 00:09:17;2024-03-04 00:09:18;Validating
47;2024-03-04 00:09:18;2024-03-04 00:09:18;Waiting in backlog unmatched
48;2024-03-04 00:09:37;2024-03-04 00:09:38;Validating
48;2024-03-04 00:09:38;2024-03-04 00:09:38;Waiting in backlog unmatched
49;2024-03-04 00:09:41;2024-03-04 00:09:42;Validating
49;2024-03-04 00:09:42;2024-03-04 00:09:42;Waiting in backlog unmatched
50;2024-03-04 00:10:00;2024-03-04 00:10:01;Validating
50;2024-03-04 00:10:01;2024-03-04 00:10:01;Waiting in backlog unmatched
51;2024-03-04 00:10:05;2024-03-04 00:10:06;Validating
51;2024-03-04 00:10:06;2024-03-04 00:10:06;Waiting in backlog unmatched
52;2024-03-04 00:10:16;2024-03-04 00:10:17;Validating
52;2024-03-04 00:10:17;2024-03-04 00:10:17;Waiting in backlog unmatched
53;2024-03-04 00:10:22;2024-03-04 00:10:23;Validating
53;2024-03-04 00:10:23;2024-03-04 00:10:23;Waiting in backlog unmatched
54;2024-03-04 00:10:25;2024-03-04 00:10:26;Validating
54;2024-03-04 00:10:26;2024-03-04 00:10:26;Waiting in backlog unmatched
55;2024-03-04 00:10:35;2024-03-04 00:10:36;Validating
55;2024-03-04 00:10:36;2024-03-04 00:10:36;Waiting in backlog unmatched
56;2024-03-04 00:10:52;2024-03-04 00:10:53;Validating
56;2024-03-04 00:10:53;2024-03-04 00:10:53;Waiting in backlog unmatched
57;2024-03-04 00:11:00;2024-03-04 00:11:01;Validating
57;2024-03-04 00:11:01;2024-03-04 00:11:01;Waiting in backlog unmatched
58;2024-03-04 00:11:28;2024-03-04 00:11:29;Validating
58;2024-03-04 00:11:29;2024-03-04 00:11:29;Waiting in backlog unmatched
59;2024-03-04 00:11:43;2024-03-04 00:11:44;Validating
57;2024-03-04 00:11:44;2024-03-04 00:11:45;Matching
59;2024-03-04 00:11:44;2024-03-04 00:11:45;Matching
60;2024-03-04 00:12:02;2024-03-04 00:12:03;Validating
60;2024-03-04 00:12:03;2024-03-04 00:12:03;Waiting in backlog unmatched
61;2024-03-04 00:12:10;2024-03-04 00:12:11;Validating
