TID;Starttime;Endtime;Activity
1;2024-03-02 00:01:06;2024-03-02 00:01:08;Validating
1;2024-03-02 00:01:08;2024-03-02 00:01:08;Waiting in queue unmatched
2;2024-03-02 00:03:24;2024-03-02 00:03:26;Validating
2;2024-03-02 00:03:26;2024-03-02 00:03:26;Waiting in queue unmatched
3;2024-03-02 00:05:24;2024-03-02 00:05:26;Validating
3;2024-03-02 00:05:26;2024-03-02 00:05:26;Waiting in queue unmatched
5;2024-03-02 00:14:28;2024-03-02 00:14:30;Validating
5;2024-03-02 00:14:30;2024-03-02 00:14:30;Waiting in queue unmatched
6;2024-03-02 00:21:10;2024-03-02 00:21:12;Validating
6;2024-03-02 00:21:12;2024-03-02 00:21:12;Waiting in queue unmatched
7;2024-03-02 00:32:40;2024-03-02 00:32:42;Validating
7;2024-03-02 00:32:42;2024-03-02 00:32:42;Waiting in queue unmatched
8;2024-03-02 00:34:27;2024-03-02 00:34:29;Validating
8;2024-03-02 00:34:29;2024-03-02 00:34:29;Waiting in queue unmatched
9;2024-03-02 00:37:28;2024-03-02 00:37:30;Validating
9;2024-03-02 00:37:30;2024-03-02 00:37:30;Waiting in queue unmatched
10;2024-03-02 00:56:15;2024-03-02 00:56:17;Validating
10;2024-03-02 00:56:17;2024-03-02 00:56:17;Waiting in queue unmatched
11;2024-03-02 01:03:25;2024-03-02 01:03:27;Validating
11;2024-03-02 01:03:27;2024-03-02 01:03:27;Waiting in queue unmatched
12;2024-03-02 01:17:16;2024-03-02 01:17:18;Validating
12;2024-03-02 01:17:18;2024-03-02 01:17:18;Waiting in queue unmatched
13;2024-03-02 01:17:58;2024-03-02 01:18:00;Validating
13;2024-03-02 01:18:00;2024-03-02 01:18:00;Waiting in queue unmatched
14;2024-03-02 01:24:08;2024-03-02 01:24:10;Validating
14;2024-03-02 01:24:10;2024-03-02 01:24:10;Waiting in queue unmatched
15;2024-03-02 01:28:50;2024-03-02 01:28:52;Validating
15;2024-03-02 01:28:52;2024-03-02 01:28:52;Waiting in queue unmatched
16;2024-03-02 01:30:46;2024-03-02 01:30:48;Validating
16;2024-03-02 01:30:48;2024-03-02 01:30:48;Waiting in queue unmatched
18;2024-03-02 01:33:42;2024-03-02 01:33:44;Validating
18;2024-03-02 01:33:44;2024-03-02 01:33:44;Waiting in queue unmatched
19;2024-03-02 01:33:45;2024-03-02 01:33:47;Validating
19;2024-03-02 01:33:47;2024-03-02 01:33:47;Waiting in queue unmatched
20;2024-03-02 01:35:22;2024-03-02 01:35:24;Validating
20;2024-03-02 01:35:24;2024-03-02 01:35:24;Waiting in queue unmatched
21;2024-03-02 01:35:47;2024-03-02 01:35:49;Validating
