TID;Starttime;Endtime;Activity
1;2024-03-04 00:00:05;2024-03-04 00:00:07;Validating
1;2024-03-04 00:00:07;2024-03-04 00:00:07;Waiting in queue unmatched
2;2024-03-04 00:00:07;2024-03-04 00:00:09;Validating
2;2024-03-04 00:00:09;2024-03-04 00:00:09;Waiting in queue unmatched
3;2024-03-04 00:00:08;2024-03-04 00:00:10;Validating
3;2024-03-04 00:00:10;2024-03-04 00:00:10;Waiting in queue unmatched
4;2024-03-04 00:00:40;2024-03-04 00:00:42;Validating
4;2024-03-04 00:00:42;2024-03-04 00:00:42;Waiting in queue unmatched
5;2024-03-04 00:00:55;2024-03-04 00:00:57;Validating
5;2024-03-04 00:00:57;2024-03-04 00:00:57;Waiting in queue unmatched
6;2024-03-04 00:00:58;2024-03-04 00:01:00;Validating
6;2024-03-04 00:01:00;2024-03-04 00:01:00;Waiting in queue unmatched
7;2024-03-04 00:01:08;2024-03-04 00:01:10;Validating
7;2024-03-04 00:01:10;2024-03-04 00:01:10;Waiting in queue unmatched
8;2024-03-04 00:01:28;2024-03-04 00:01:30;Validating
8;2024-03-04 00:01:30;2024-03-04 00:01:30;Waiting in queue unmatched
9;2024-03-04 00:01:29;2024-03-04 00:01:31;Validating
9;2024-03-04 00:01:31;2024-03-04 00:01:31;Waiting in queue unmatched
10;2024-03-04 00:01:49;2024-03-04 00:01:51;Validating
10;2024-03-04 00:01:51;2024-03-04 00:01:51;Waiting in queue unmatched
11;2024-03-04 00:02:09;2024-03-04 00:02:11;Validating
11;2024-03-04 00:02:11;2024-03-04 00:02:11;Waiting in queue unmatched
12;2024-03-04 00:02:10;2024-03-04 00:02:12;Validating
12;2024-03-04 00:02:12;2024-03-04 00:02:12;Waiting in queue unmatched
13;2024-03-04 00:02:19;2024-03-04 00:02:21;Validating
13;2024-03-04 00:02:21;2024-03-04 00:02:21;Waiting in queue unmatched
14;2024-03-04 00:02:29;2024-03-04 00:02:31;Validating
14;2024-03-04 00:02:31;2024-03-04 00:02:31;Waiting in queue unmatched
15;2024-03-04 00:02:49;2024-03-04 00:02:51;Validating
15;2024-03-04 00:02:51;2024-03-04 00:02:51;Waiting in queue unmatched
16;2024-03-04 00:03:20;2024-03-04 00:03:22;Validating
16;2024-03-04 00:03:22;2024-03-04 00:03:22;Waiting in queue unmatched
17;2024-03-04 00:03:21;2024-03-04 00:03:23;Validating
17;2024-03-04 00:03:23;2024-03-04 00:03:23;Waiting in queue unmatched
18;2024-03-04 00:03:37;2024-03-04 00:03:39;Validating
18;2024-03-04 00:03:39;2024-03-04 00:03:39;Waiting in queue unmatched
19;2024-03-04 00:03:39;2024-03-04 00:03:41;Validating
19;2024-03-04 00:03:41;2024-03-04 00:03:41;Waiting in queue unmatched
20;2024-03-04 00:03:49;2024-03-04 00:03:51;Validating
20;2024-03-04 00:03:51;2024-03-04 00:03:51;Waiting in queue unmatched
21;2024-03-04 00:03:53;2024-03-04 00:03:55;Validating
21;2024-03-04 00:03:55;2024-03-04 00:03:55;Waiting in queue unmatched
22;2024-03-04 00:03:56;2024-03-04 00:03:58;Validating
22;2024-03-04 00:03:58;2024-03-04 00:03:58;Waiting in queue unmatched
23;2024-03-04 00:03:57;2024-03-04 00:03:59;Validating
23;2024-03-04 00:03:59;2024-03-04 00:03:59;Waiting in queue unmatched
24;2024-03-04 00:04:21;2024-03-04 00:04:23;Validating
24;2024-03-04 00:04:23;2024-03-04 00:04:23;Waiting in queue unmatched
25;2024-03-04 00:04:35;2024-03-04 00:04:37;Validating
25;2024-03-04 00:04:37;2024-03-04 00:04:37;Waiting in queue unmatched
26;2024-03-04 00:04:57;2024-03-04 00:04:59;Validating
26;2024-03-04 00:04:59;2024-03-04 00:04:59;Waiting in queue unmatched
27;2024-03-04 00:04:59;2024-03-04 00:05:01;Validating
27;2024-03-04 00:05:01;2024-03-04 00:05:01;Waiting in queue unmatched
28;2024-03-04 00:05:11;2024-03-04 00:05:13;Validating
28;2024-03-04 00:05:13;2024-03-04 00:05:13;Waiting in queue unmatched
29;2024-03-04 00:05:14;2024-03-04 00:05:16;Validating
29;2024-03-04 00:05:16;2024-03-04 00:05:16;Waiting in queue unmatched
30;2024-03-04 00:05:15;2024-03-04 00:05:17;Validating
30;2024-03-04 00:05:17;2024-03-04 00:05:17;Waiting in queue unmatched
31;2024-03-04 00:05:22;2024-03-04 00:05:24;Validating
31;2024-03-04 00:05:24;2024-03-04 00:05:24;Waiting in queue unmatched
32;2024-03-04 00:05:39;2024-03-04 00:05:41;Validating
32;2024-03-04 00:05:41;2024-03-04 00:05:41;Waiting in queue unmatched
33;2024-03-04 00:05:47;2024-03-04 00:05:49;Validating
33;2024-03-04 00:05:49;2024-03-04 00:05:49;Waiting in queue unmatched
34;2024-03-04 00:05:52;2024-03-04 00:05:54;Validating
34;2024-03-04 00:05:54;2024-03-04 00:05:54;Waiting in queue unmatched
35;2024-03-04 00:06:02;2024-03-04 00:06:04;Validating
35;2024-03-04 00:06:04;2024-03-04 00:06:04;Waiting in queue unmatched
36;2024-03-04 00:06:12;2024-03-04 00:06:14;Validating
36;2024-03-04 00:06:14;2024-03-04 00:06:14;Waiting in queue unmatched
37;2024-03-04 00:06:15;2024-03-04 00:06:17;Validating
37;2024-03-04 00:06:17;2024-03-04 00:06:17;Waiting in queue unmatched
38;2024-03-04 00:06:22;2024-03-04 00:06:24;Validating
38;2024-03-04 00:06:24;2024-03-04 00:06:24;Waiting in queue unmatched
39;2024-03-04 00:06:23;2024-03-04 00:06:25;Validating
39;2024-03-04 00:06:25;2024-03-04 00:06:25;Waiting in queue unmatched
40;2024-03-04 00:06:56;2024-03-04 00:06:58;Validating
40;2024-03-04 00:06:58;2024-03-04 00:06:58;Waiting in queue unmatched
41;2024-03-04 00:07:31;2024-03-04 00:07:33;Validating
41;2024-03-04 00:07:33;2024-03-04 00:07:33;Waiting in queue unmatched
42;2024-03-04 00:07:32;2024-03-04 00:07:34;Validating
42;2024-03-04 00:07:34;2024-03-04 00:07:34;Waiting in queue unmatched
43;2024-03-04 00:07:45;2024-03-04 00:07:47;Validating
43;2024-03-04 00:07:47;2024-03-04 00:07:47;Waiting in queue unmatched
44;2024-03-04 00:07:51;2024-03-04 00:07:53;Validating
44;2024-03-04 00:07:53;2024-03-04 00:07:53;Waiting in queue unmatched
45;2024-03-04 00:08:29;2024-03-04 00:08:31;Validating
45;2024-03-04 00:08:31;2024-03-04 00:08:31;Waiting in queue unmatched
46;2024-03-04 00:09:03;2024-03-04 00:09:05;Validating
46;2024-03-04 00:09:05;2024-03-04 00:09:05;Waiting in queue unmatched
47;2024-03-04 00:09:17;2024-03-04 00:09:19;Validating
47;2024-03-04 00:09:19;2024-03-04 00:09:19;Waiting in queue unmatched
48;2024-03-04 00:09:37;2024-03-04 00:09:39;Validating
48;2024-03-04 00:09:39;2024-03-04 00:09:39;Waiting in queue unmatched
49;2024-03-04 00:09:41;2024-03-04 00:09:43;Validating
49;2024-03-04 00:09:43;2024-03-04 00:09:43;Waiting in queue unmatched
50;2024-03-04 00:10:00;2024-03-04 00:10:02;Validating
