TID;Starttime;Endtime;Activity
1;2024-03-04 00:00:06;2024-03-04 00:00:08;Validating
1;2024-03-04 00:00:08;2024-03-04 00:00:08;Waiting in queue unmatched
2;2024-03-04 00:00:07;2024-03-04 00:00:09;Validating
3;2024-03-04 00:00:07;2024-03-04 00:00:09;Validating
2;2024-03-04 00:00:09;2024-03-04 00:00:09;Waiting in queue unmatched
3;2024-03-04 00:00:09;2024-03-04 00:00:09;Waiting in queue unmatched
4;2024-03-04 00:00:18;2024-03-04 00:00:20;Validating
4;2024-03-04 00:00:20;2024-03-04 00:00:20;Waiting in queue unmatched
5;2024-03-04 00:00:28;2024-03-04 00:00:30;Validating
5;2024-03-04 00:00:30;2024-03-04 00:00:30;Waiting in queue unmatched
6;2024-03-04 00:01:01;2024-03-04 00:01:03;Validating
6;2024-03-04 00:01:03;2024-03-04 00:01:03;Waiting in queue unmatched
7;2024-03-04 00:01:11;2024-03-04 00:01:13;Validating
7;2024-03-04 00:01:13;2024-03-04 00:01:13;Waiting in queue unmatched
8;2024-03-04 00:01:12;2024-03-04 00:01:14;Validating
8;2024-03-04 00:01:14;2024-03-04 00:01:14;Waiting in queue unmatched
9;2024-03-04 00:01:51;2024-03-04 00:01:53;Validating
9;2024-03-04 00:01:53;2024-03-04 00:01:53;Waiting in queue unmatched
10;2024-03-04 00:02:23;2024-03-04 00:02:25;Validating
10;2024-03-04 00:02:25;2024-03-04 00:02:25;Waiting in queue unmatched
11;2024-03-04 00:02:55;2024-03-04 00:02:57;Validating
11;2024-03-04 00:02:57;2024-03-04 00:02:57;Waiting in queue unmatched
12;2024-03-04 00:03:29;2024-03-04 00:03:31;Validating
12;2024-03-04 00:03:31;2024-03-04 00:03:31;Waiting in queue unmatched
13;2024-03-04 00:03:46;2024-03-04 00:03:48;Validating
13;2024-03-04 00:03:48;2024-03-04 00:03:48;Waiting in queue unmatched
14;2024-03-04 00:03:49;2024-03-04 00:03:51;Validating
14;2024-03-04 00:03:51;2024-03-04 00:03:51;Waiting in queue unmatched
15;2024-03-04 00:04:02;2024-03-04 00:04:04;Validating
15;2024-03-04 00:04:04;2024-03-04 00:04:04;Waiting in queue unmatched
16;2024-03-04 00:04:35;2024-03-04 00:04:37;Validating
16;2024-03-04 00:04:37;2024-03-04 00:04:37;Waiting in queue unmatched
17;2024-03-04 00:05:15;2024-03-04 00:05:17;Validating
17;2024-03-04 00:05:17;2024-03-04 00:05:17;Waiting in queue unmatched
18;2024-03-04 00:05:38;2024-03-04 00:05:40;Validating
18;2024-03-04 00:05:40;2024-03-04 00:05:40;Waiting in queue unmatched
19;2024-03-04 00:05:50;2024-03-04 00:05:52;Validating
19;2024-03-04 00:05:52;2024-03-04 00:05:52;Waiting in queue unmatched
20;2024-03-04 00:06:00;2024-03-04 00:06:02;Validating
20;2024-03-04 00:06:02;2024-03-04 00:06:02;Waiting in queue unmatched
21;2024-03-04 00:06:32;2024-03-04 00:06:34;Validating
21;2024-03-04 00:06:34;2024-03-04 00:06:34;Waiting in queue unmatched
22;2024-03-04 00:06:33;2024-03-04 00:06:35;Validating
22;2024-03-04 00:06:35;2024-03-04 00:06:35;Waiting in queue unmatched
23;2024-03-04 00:06:41;2024-03-04 00:06:43;Validating
23;2024-03-04 00:06:43;2024-03-04 00:06:43;Waiting in queue unmatched
24;2024-03-04 00:07:03;2024-03-04 00:07:05;Validating
24;2024-03-04 00:07:05;2024-03-04 00:07:05;Waiting in queue unmatched
25;2024-03-04 00:07:13;2024-03-04 00:07:15;Validating
25;2024-03-04 00:07:15;2024-03-04 00:07:15;Waiting in queue unmatched
26;2024-03-04 00:07:33;2024-03-04 00:07:35;Validating
27;2024-03-04 00:07:33;2024-03-04 00:07:35;Validating
26;2024-03-04 00:07:35;2024-03-04 00:07:35;Waiting in queue unmatched
27;2024-03-04 00:07:35;2024-03-04 00:07:35;Waiting in queue unmatched
28;2024-03-04 00:08:04;2024-03-04 00:08:06;Validating
28;2024-03-04 00:08:06;2024-03-04 00:08:06;Waiting in queue unmatched
29;2024-03-04 00:08:13;2024-03-04 00:08:15;Validating
29;2024-03-04 00:08:15;2024-03-04 00:08:15;Waiting in queue unmatched
30;2024-03-04 00:08:37;2024-03-04 00:08:39;Validating
30;2024-03-04 00:08:39;2024-03-04 00:08:39;Waiting in queue unmatched
31;2024-03-04 00:08:40;2024-03-04 00:08:42;Validating
31;2024-03-04 00:08:42;2024-03-04 00:08:42;Waiting in queue unmatched
32;2024-03-04 00:08:48;2024-03-04 00:08:50;Validating
32;2024-03-04 00:08:50;2024-03-04 00:08:50;Waiting in queue unmatched
33;2024-03-04 00:09:11;2024-03-04 00:09:13;Validating
33;2024-03-04 00:09:13;2024-03-04 00:09:13;Waiting in queue unmatched
34;2024-03-04 00:09:47;2024-03-04 00:09:49;Validating
34;2024-03-04 00:09:49;2024-03-04 00:09:49;Waiting in queue unmatched
35;2024-03-04 00:09:56;2024-03-04 00:09:58;Validating
