TID;Time;Value;FromParticipantId;FromAccountId;ToParticipantId;ToAccountId;Linkcode;SettlementDeadline;T+x
1;2024-03-02 00:09:08;13618346.86;5;6;6;6;381;2024-03-04;2
2;2024-03-02 00:23:14;119126798.6;1;0;4;0;1711;2024-03-03;1
3;2024-03-02 00:24:52;254214650.91;6;6;7;6;1445;2024-03-04;2
4;2024-03-02 01:07:54;184560527.3;1;0;4;0;184;2024-03-04;2
5;2024-03-02 01:12:06;47274863.6;4;1;2;1;1920;2024-03-03;1
6;2024-03-02 01:28:51;64663173.66;5;0;7;0;893;2024-03-04;2
7;2024-03-02 01:31:38;20351754.02;4;5;1;5;387;2024-03-04;2
8;2024-03-02 01:32:20;14671036.27;7;3;6;3;726;2024-03-04;2
9;2024-03-02 01:35:56;126164397.71;5;6;2;6;219;2024-03-04;2
10;2024-03-02 01:36:29;219603877.88;2;4;3;4;1890;2024-03-04;2
11;2024-03-02 01:38:06;203385545.0;2;2;7;2;857;2024-03-04;2
12;2024-03-02 01:38:12;163954902.1;7;1;1;1;8;2024-03-04;2
13;2024-03-02 01:38:36;28947881.87;6;3;1;3;212;2024-03-04;2
14;2024-03-02 01:40:16;38011034.06;4;6;6;6;1640;2024-03-04;2
15;2024-03-02 01:41:22;37481536.75;5;6;6;6;9;2024-03-04;2
16;2024-03-02 01:42:06;64218280.33;7;3;6;3;1100;2024-03-04;2
17;2024-03-02 01:44:09;99539406.31;6;6;2;6;698;2024-03-04;2
18;2024-03-02 01:53:12;279809332.67;3;6;2;6;1793;2024-03-04;2
19;2024-03-02 01:55:16;194468623.15;8;7;1;7;1691;2024-03-04;2
20;2024-03-02 01:56:06;68583051.85;6;0;7;0;900;2024-03-04;2
21;2024-03-02 01:57:44;70567769.2;8;0;3;0;650;2024-03-04;2
22;2024-03-02 01:57:53;170576169.63;8;0;4;0;231;2024-03-04;2
23;2024-03-02 02:00:19;7535430.26;6;0;2;0;578;2024-03-04;2
24;2024-03-02 02:01:37;155956174.93;6;8;4;8;663;2024-03-04;2
25;2024-03-02 02:02:44;37981137.3;2;3;6;3;1686;2024-03-04;2
26;2024-03-02 02:03:47;204333090.09;5;0;2;0;946;2024-03-04;2
27;2024-03-02 02:15:39;26390480.61;8;3;4;3;1235;2024-03-03;1
28;2024-03-02 02:25:04;246663160.47;7;3;2;3;1904;2024-03-04;2
29;2024-03-02 02:27:16;86068160.73;2;5;7;5;1763;2024-03-04;2
30;2024-03-02 02:30:46;84786163.88;3;7;2;7;1581;2024-03-04;2
31;2024-03-02 02:35:36;221164849.24;7;0;5;0;1949;2024-03-04;2
32;2024-03-02 02:35:51;73392323.19;2;8;1;8;112;2024-03-04;2
33;2024-03-02 02:35:53;170576169.63;4;4;8;4;231;2024-03-04;2
34;2024-03-02 02:36:19;198900034.45;8;0;1;0;1040;2024-03-04;2
35;2024-03-02 02:38:52;205956927.44;5;6;1;6;949;2024-03-04;2
36;2024-03-02 02:40:35;39440923.76;8;4;2;4;656;2024-03-04;2
37;2024-03-02 02:57:55;220858616.14;2;0;4;0;287;2024-03-04;2
38;2024-03-02 02:58:00;55809005.74;4;7;5;7;399;2024-03-04;2
39;2024-03-02 03:02:58;106728800.67;2;4;8;4;275;2024-03-04;2
40;2024-03-02 03:03:09;223717166.57;1;5;2;5;1247;2024-03-04;2
41;2024-03-02 03:05:01;51119718.9;2;8;8;8;1069;2024-03-04;2
42;2024-03-02 03:12:30;221164849.24;5;2;7;2;1949;2024-03-04;2
43;2024-03-02 03:14:26;6998288.85;6;0;2;0;585;2024-03-03;1
