TID;Time;Value;FromParticipantId;FromAccountId;ToParticipantId;ToAccountId;Linkcode;SettlementDeadline;T+x
1;2024-03-02 00:22:01;44847889.33;3;2;6;2;748;2024-03-04;2
2;2024-03-02 00:43:58;53721359.55;8;0;7;0;972;2024-03-04;2
3;2024-03-02 01:10:37;14138259.74;5;0;4;0;224;2024-03-04;2
4;2024-03-02 01:24:31;31257758.81;1;0;3;0;690;2024-03-04;2
5;2024-03-02 01:30:20;18829723.91;3;0;6;0;865;2024-03-04;2
6;2024-03-02 01:30:42;171238221.07;8;0;2;0;683;2024-03-04;2
7;2024-03-02 01:56:53;48150873.38;6;7;3;7;583;2024-03-04;2
8;2024-03-02 01:58:49;22442994.11;7;7;6;7;256;2024-03-04;2
9;2024-03-02 02:10:59;20466619.76;1;0;5;0;986;2024-03-04;2
10;2024-03-02 02:15:47;23300163.45;7;0;1;0;564;2024-03-04;2
11;2024-03-02 02:22:22;80262088.33;4;0;3;0;780;2024-03-04;2
12;2024-03-02 02:24:42;40433421.78;3;0;1;0;267;2024-03-04;2
13;2024-03-02 02:35:16;157755120.86;6;0;4;0;737;2024-03-03;1
14;2024-03-02 02:42:54;56442455.53;6;7;7;7;403;2024-03-04;2
15;2024-03-02 02:47:47;159239133.37;2;5;6;5;235;2024-03-04;2
16;2024-03-02 02:55:47;25303506.19;4;4;1;4;433;2024-03-04;2
17;2024-03-02 03:03:26;56705881.59;6;1;4;1;667;2024-03-04;2
18;2024-03-02 03:07:14;25781081.87;2;0;8;0;86;2024-03-04;2
19;2024-03-02 03:16:12;8701765.85;4;7;3;7;95;2024-03-04;2
20;2024-03-02 03:16:12;130803794.58;1;2;6;2;91;2024-03-04;2
21;2024-03-02 03:28:59;18701425.85;2;1;1;1;801;2024-03-04;2
22;2024-03-02 03:35:49;130803794.58;6;0;1;0;91;2024-03-04;2
23;2024-03-02 03:38:31;18307773.28;5;1;6;1;622;2024-03-04;2
24;2024-03-02 04:22:30;44022098.39;6;8;3;8;332;2024-03-04;2
25;2024-03-02 04:30:28;66765999.96;6;0;1;0;140;2024-03-03;1
26;2024-03-02 04:32:07;86486071.62;5;0;4;0;58;2024-03-04;2
27;2024-03-02 04:48:54;49623136.59;2;0;3;0;766;2024-03-03;1
28;2024-03-02 04:54:15;53147684.36;7;1;2;1;20;2024-03-04;2
29;2024-03-02 05:07:08;25303506.19;1;0;4;0;433;2024-03-04;2
30;2024-03-02 05:20:52;100998753.39;5;0;4;0;855;2024-03-04;2
31;2024-03-02 05:31:41;31257758.81;3;1;1;1;690;2024-03-04;2
32;2024-03-02 05:35:51;106215514.01;1;0;6;0;290;2024-03-03;1
33;2024-03-02 05:41:39;80149791.07;6;1;5;1;366;2024-03-03;1
34;2024-03-02 05:42:30;62155635.09;7;0;3;0;791;2024-03-04;2
35;2024-03-02 05:47:02;24160619.5;4;0;2;0;959;2024-03-03;1
36;2024-03-02 05:47:54;51736905.13;4;7;2;7;824;2024-03-03;1
37;2024-03-02 05:57:35;53721359.55;7;1;8;1;972;2024-03-04;2
38;2024-03-02 06:06:38;112978563.43;5;3;8;3;965;2024-03-04;2
39;2024-03-02 06:11:33;62807131.92;1;8;8;8;411;2024-03-04;2
40;2024-03-02 06:20:00;66765999.96;1;8;6;8;140;2024-03-03;1
41;2024-03-02 06:23:26;118338462.94;8;0;4;0;272;2024-03-04;2
42;2024-03-02 06:34:00;16540010.74;5;0;2;0;117;2024-03-04;2
43;2024-03-02 06:44:21;135796002.07;4;0;1;0;573;2024-03-04;2
44;2024-03-02 06:46:06;102110903.78;3;6;8;6;578;2024-03-04;2
45;2024-03-02 06:55:41;15992384.68;3;0;8;0;217;2024-03-04;2
46;2024-03-02 06:57:41;20928244.01;8;8;6;8;36;2024-03-04;2
47;2024-03-02 07:01:53;144450775.25;6;0;1;0;733;2024-03-04;2
48;2024-03-02 07:01:59;36132988.58;6;3;3;3;157;2024-03-04;2
49;2024-03-02 07:04:23;18952715.32;7;0;5;0;856;2024-03-04;2
50;2024-03-02 07:05:33;20601714.65;2;0;6;0;242;2024-03-04;2
51;2024-03-02 07:07:34;51736905.13;2;0;4;0;824;2024-03-03;1
52;2024-03-02 07:13:26;72356714.53;7;0;8;0;477;2024-03-04;2
53;2024-03-02 07:15:43;35548208.04;2;1;6;1;429;2024-03-04;2
54;2024-03-02 07:21:17;119553540.19;5;0;2;0;154;2024-03-04;2
55;2024-03-02 07:34:49;100998753.39;4;8;5;8;855;2024-03-04;2
56;2024-03-02 07:35:31;141002137.35;5;1;4;1;745;2024-03-04;2
57;2024-03-02 07:45:49;42233142.52;7;0;4;0;912;2024-03-04;2
58;2024-03-02 07:47:16;49292067.9;7;4;5;4;960;2024-03-03;1
59;2024-03-02 08:05:46;101444578.02;6;6;8;6;570;2024-03-04;2
60;2024-03-02 08:15:29;181886335.56;6;1;8;1;214;2024-03-04;2
61;2024-03-02 08:15:58;80262088.33;3;5;4;5;780;2024-03-04;2
62;2024-03-02 08:19:34;44847889.33;6;0;3;0;748;2024-03-04;2
63;2024-03-02 08:35:30;24623959.45;8;8;6;8;545;2024-03-04;2
64;2024-03-02 08:36:31;14138259.74;4;1;5;1;224;2024-03-04;2
65;2024-03-02 08:38:13;103460848.88;7;0;8;0;944;2024-03-04;2
66;2024-03-02 08:49:13;23300163.45;1;4;7;4;564;2024-03-04;2
67;2024-03-02 09:15:05;53617525.05;6;3;3;3;416;2024-03-04;2
68;2024-03-02 09:17:08;118338462.94;4;5;8;5;272;2024-03-04;2
69;2024-03-02 09:17:53;42233142.52;4;4;7;4;912;2024-03-04;2
70;2024-03-02 09:23:16;83001154.1;3;5;5;5;294;2024-03-04;2
71;2024-03-02 09:25:33;69086733.15;7;0;3;0;441;2024-03-03;1
72;2024-03-02 09:26:40;7084608.31;2;0;7;0;138;2024-03-04;2
73;2024-03-02 09:29:01;106215514.01;6;1;1;1;290;2024-03-03;1
74;2024-03-02 09:35:56;46019201.7;2;0;8;0;520;2024-03-04;2
75;2024-03-02 09:46:04;104260329.0;4;0;5;0;413;2024-03-04;2
76;2024-03-02 09:46:50;40433421.78;1;2;3;2;267;2024-03-04;2
77;2024-03-02 09:46:52;16540010.74;2;3;5;3;117;2024-03-04;2
78;2024-03-02 09:47:59;32606270.66;5;2;6;2;415;2024-03-03;1
79;2024-03-02 09:49:00;123001168.55;4;8;6;8;384;2024-03-04;2
80;2024-03-02 10:02:37;49195964.87;3;0;1;0;393;2024-03-04;2
81;2024-03-02 10:04:25;24094617.0;7;8;3;8;171;2024-03-04;2
82;2024-03-02 10:04:46;54949664.64;1;2;3;2;516;2024-03-03;1
83;2024-03-02 10:09:25;24623959.45;6;0;8;0;545;2024-03-04;2
84;2024-03-02 10:11:08;69086733.15;3;8;7;8;441;2024-03-03;1
85;2024-03-02 10:12:29;16240568.98;3;0;7;0;498;2024-03-04;2
86;2024-03-02 10:17:24;122476875.79;6;6;8;6;467;2024-03-03;1
87;2024-03-02 10:20:16;84758933.99;7;0;5;0;375;2024-03-04;2
88;2024-03-02 10:27:38;25781081.87;8;5;2;5;86;2024-03-04;2
89;2024-03-02 10:27:39;112978563.43;8;0;5;0;965;2024-03-04;2
90;2024-03-02 10:29:27;7084608.31;7;1;2;1;138;2024-03-04;2
91;2024-03-02 10:31:34;78076432.3;4;0;8;0;979;2024-03-04;2
92;2024-03-02 10:31:52;189886880.4;4;2;8;2;67;2024-03-04;2
93;2024-03-02 10:51:32;86342293.18;1;5;7;5;626;2024-03-04;2
94;2024-03-02 11:12:21;89659282.7;3;4;4;4;968;2024-03-04;2
95;2024-03-02 11:15:49;24160619.5;2;3;4;3;959;2024-03-03;1
96;2024-03-02 11:17:07;92761379.64;1;0;3;0;541;2024-03-03;1
97;2024-03-02 11:20:12;85658180.15;8;3;4;3;830;2024-03-04;2
98;2024-03-02 11:26:22;127097621.37;1;4;4;4;836;2024-03-03;1
99;2024-03-02 11:37:46;38267594.22;5;2;6;2;185;2024-03-04;2
100;2024-03-02 11:40:30;144440844.62;3;3;6;3;137;2024-03-04;2
101;2024-03-02 11:46:56;54949664.64;3;0;1;0;516;2024-03-03;1
102;2024-03-02 11:48:48;199454902.7;7;6;8;6;296;2024-03-04;2
