TID;Starttime;Endtime;Activity
1;2024-03-02 00:22:01;2024-03-02 00:22:02;Validating
1;2024-03-02 00:22:02;2024-03-02 00:22:02;Waiting in backlog unmatched
2;2024-03-02 00:43:58;2024-03-02 00:43:59;Validating
2;2024-03-02 00:43:59;2024-03-02 00:43:59;Waiting in backlog unmatched
3;2024-03-02 01:10:37;2024-03-02 01:10:38;Validating
3;2024-03-02 01:10:38;2024-03-02 01:10:38;Waiting in backlog unmatched
4;2024-03-02 01:24:31;2024-03-02 01:24:32;Validating
4;2024-03-02 01:24:32;2024-03-02 01:24:32;Waiting in backlog unmatched
5;2024-03-02 01:30:20;2024-03-02 01:30:21;Validating
5;2024-03-02 01:30:21;2024-03-02 01:30:21;Waiting in backlog unmatched
6;2024-03-02 01:30:42;2024-03-02 01:30:43;Validating
6;2024-03-02 01:30:43;2024-03-02 01:30:43;Waiting in backlog unmatched
7;2024-03-02 01:56:53;2024-03-02 01:56:54;Validating
7;2024-03-02 01:56:54;2024-03-02 01:56:54;Waiting in backlog unmatched
8;2024-03-02 01:58:49;2024-03-02 01:58:50;Validating
8;2024-03-02 01:58:50;2024-03-02 01:58:50;Waiting in backlog unmatched
9;2024-03-02 02:10:59;2024-03-02 02:11:00;Validating
9;2024-03-02 02:11:00;2024-03-02 02:11:00;Waiting in backlog unmatched
10;2024-03-02 02:15:47;2024-03-02 02:15:48;Validating
10;2024-03-02 02:15:48;2024-03-02 02:15:48;Waiting in backlog unmatched
11;2024-03-02 02:22:22;2024-03-02 02:22:23;Validating
11;2024-03-02 02:22:23;2024-03-02 02:22:23;Waiting in backlog unmatched
12;2024-03-02 02:24:42;2024-03-02 02:24:43;Validating
12;2024-03-02 02:24:43;2024-03-02 02:24:43;Waiting in backlog unmatched
13;2024-03-02 02:35:16;2024-03-02 02:35:17;Validating
13;2024-03-02 02:35:17;2024-03-02 02:35:17;Waiting in backlog unmatched
14;2024-03-02 02:42:54;2024-03-02 02:42:55;Validating
14;2024-03-02 02:42:55;2024-03-02 02:42:55;Waiting in backlog unmatched
15;2024-03-02 02:47:47;2024-03-02 02:47:48;Validating
15;2024-03-02 02:47:48;2024-03-02 02:47:48;Waiting in backlog unmatched
16;2024-03-02 02:55:47;2024-03-02 02:55:48;Validating
16;2024-03-02 02:55:48;2024-03-02 02:55:48;Waiting in backlog unmatched
17;2024-03-02 03:03:26;2024-03-02 03:03:27;Validating
17;2024-03-02 03:03:27;2024-03-02 03:03:27;Waiting in backlog unmatched
18;2024-03-02 03:07:14;2024-03-02 03:07:15;Validating
18;2024-03-02 03:07:15;2024-03-02 03:07:15;Waiting in backlog unmatched
19;2024-03-02 03:16:12;2024-03-02 03:16:13;Validating
20;2024-03-02 03:16:12;2024-03-02 03:16:13;Validating
19;2024-03-02 03:16:13;2024-03-02 03:16:13;Waiting in backlog unmatched
20;2024-03-02 03:16:13;2024-03-02 03:16:13;Waiting in backlog unmatched
21;2024-03-02 03:28:59;2024-03-02 03:29:00;Validating
21;2024-03-02 03:29:00;2024-03-02 03:29:00;Waiting in backlog unmatched
22;2024-03-02 03:35:49;2024-03-02 03:35:50;Validating
20;2024-03-02 03:35:50;2024-03-02 03:35:51;Matching
22;2024-03-02 03:35:50;2024-03-02 03:35:51;Matching
23;2024-03-02 03:38:31;2024-03-02 03:38:32;Validating
23;2024-03-02 03:38:32;2024-03-02 03:38:32;Waiting in backlog unmatched
24;2024-03-02 04:22:30;2024-03-02 04:22:31;Validating
24;2024-03-02 04:22:31;2024-03-02 04:22:31;Waiting in backlog unmatched
25;2024-03-02 04:30:28;2024-03-02 04:30:29;Validating
25;2024-03-02 04:30:29;2024-03-02 04:30:29;Waiting in backlog unmatched
26;2024-03-02 04:32:07;2024-03-02 04:32:08;Validating
26;2024-03-02 04:32:08;2024-03-02 04:32:08;Waiting in backlog unmatched
27;2024-03-02 04:48:54;2024-03-02 04:48:55;Validating
27;2024-03-02 04:48:55;2024-03-02 04:48:55;Waiting in backlog unmatched
28;2024-03-02 04:54:15;2024-03-02 04:54:16;Validating
28;2024-03-02 04:54:16;2024-03-02 04:54:16;Waiting in backlog unmatched
29;2024-03-02 05:07:08;2024-03-02 05:07:09;Validating
16;2024-03-02 05:07:09;2024-03-02 05:07:10;Matching
29;2024-03-02 05:07:09;2024-03-02 05:07:10;Matching
30;2024-03-02 05:20:52;2024-03-02 05:20:53;Validating
30;2024-03-02 05:20:53;2024-03-02 05:20:53;Waiting in backlog unmatched
31;2024-03-02 05:31:41;2024-03-02 05:31:42;Validating
4;2024-03-02 05:31:42;2024-03-02 05:31:43;Matching
31;2024-03-02 05:31:42;2024-03-02 05:31:43;Matching
32;2024-03-02 05:35:51;2024-03-02 05:35:52;Validating
32;2024-03-02 05:35:52;2024-03-02 05:35:52;Waiting in backlog unmatched
33;2024-03-02 05:41:39;2024-03-02 05:41:40;Validating
33;2024-03-02 05:41:40;2024-03-02 05:41:40;Waiting in backlog unmatched
34;2024-03-02 05:42:30;2024-03-02 05:42:31;Validating
34;2024-03-02 05:42:31;2024-03-02 05:42:31;Waiting in backlog unmatched
35;2024-03-02 05:47:02;2024-03-02 05:47:03;Validating
35;2024-03-02 05:47:03;2024-03-02 05:47:03;Waiting in backlog unmatched
36;2024-03-02 05:47:54;2024-03-02 05:47:55;Validating
36;2024-03-02 05:47:55;2024-03-02 05:47:55;Waiting in backlog unmatched
37;2024-03-02 05:57:35;2024-03-02 05:57:36;Validating
2;2024-03-02 05:57:36;2024-03-02 05:57:37;Matching
37;2024-03-02 05:57:36;2024-03-02 05:57:37;Matching
38;2024-03-02 06:06:38;2024-03-02 06:06:39;Validating
38;2024-03-02 06:06:39;2024-03-02 06:06:39;Waiting in backlog unmatched
39;2024-03-02 06:11:33;2024-03-02 06:11:34;Validating
39;2024-03-02 06:11:34;2024-03-02 06:11:34;Waiting in backlog unmatched
40;2024-03-02 06:20:00;2024-03-02 06:20:01;Validating
25;2024-03-02 06:20:01;2024-03-02 06:20:02;Matching
40;2024-03-02 06:20:01;2024-03-02 06:20:02;Matching
41;2024-03-02 06:23:26;2024-03-02 06:23:27;Validating
41;2024-03-02 06:23:27;2024-03-02 06:23:27;Waiting in backlog unmatched
42;2024-03-02 06:34:00;2024-03-02 06:34:01;Validating
42;2024-03-02 06:34:01;2024-03-02 06:34:01;Waiting in backlog unmatched
43;2024-03-02 06:44:21;2024-03-02 06:44:22;Validating
43;2024-03-02 06:44:22;2024-03-02 06:44:22;Waiting in backlog unmatched
44;2024-03-02 06:46:06;2024-03-02 06:46:07;Validating
44;2024-03-02 06:46:07;2024-03-02 06:46:07;Waiting in backlog unmatched
45;2024-03-02 06:55:41;2024-03-02 06:55:42;Validating
45;2024-03-02 06:55:42;2024-03-02 06:55:42;Waiting in backlog unmatched
46;2024-03-02 06:57:41;2024-03-02 06:57:42;Validating
46;2024-03-02 06:57:42;2024-03-02 06:57:42;Waiting in backlog unmatched
47;2024-03-02 07:01:53;2024-03-02 07:01:54;Validating
47;2024-03-02 07:01:54;2024-03-02 07:01:54;Waiting in backlog unmatched
48;2024-03-02 07:01:59;2024-03-02 07:02:00;Validating
48;2024-03-02 07:02:00;2024-03-02 07:02:00;Waiting in backlog unmatched
49;2024-03-02 07:04:23;2024-03-02 07:04:24;Validating
49;2024-03-02 07:04:24;2024-03-02 07:04:24;Waiting in backlog unmatched
50;2024-03-02 07:05:33;2024-03-02 07:05:34;Validating
50;2024-03-02 07:05:34;2024-03-02 07:05:34;Waiting in backlog unmatched
51;2024-03-02 07:07:34;2024-03-02 07:07:35;Validating
36;2024-03-02 07:07:35;2024-03-02 07:07:36;Matching
51;2024-03-02 07:07:35;2024-03-02 07:07:36;Matching
52;2024-03-02 07:13:26;2024-03-02 07:13:27;Validating
52;2024-03-02 07:13:27;2024-03-02 07:13:27;Waiting in backlog unmatched
53;2024-03-02 07:15:43;2024-03-02 07:15:44;Validating
