TID;Time;Value;FromParticipantId;FromAccountId;ToParticipantId;ToAccountId;Linkcode;SettlementDeadline
1;2024-03-04 00:09:07;46830918.75;2;2;4;2;5;2024-03-05
2;2024-03-04 00:24:23;98599955.16;1;0;2;0;4;2024-03-05
3;2024-03-04 00:28:11;84058271.89;2;0;4;0;35;2024-03-05
4;2024-03-04 00:31:03;104831013.89;3;0;4;0;2;2024-03-05
5;2024-03-04 01:19:58;22605318.78;1;0;3;0;37;2024-03-04
6;2024-03-04 02:53:31;104831013.89;4;8;3;8;2;2024-03-05
7;2024-03-04 02:54:17;46830918.75;4;0;2;0;5;2024-03-05
8;2024-03-04 02:55:13;128949554.08;4;3;2;3;21;2024-03-04
9;2024-03-04 03:33:00;25517907.43;5;8;3;8;3;2024-03-04
10;2024-03-04 03:37:28;94025951.48;3;5;1;5;50;2024-03-04
11;2024-03-04 07:05:06;25517907.43;3;0;5;0;3;2024-03-04
12;2024-03-04 09:54:02;128949554.08;2;0;4;0;21;2024-03-04
13;2024-03-04 10:38:26;11887056.82;5;1;2;1;28;2024-03-05
14;2024-03-04 10:56:22;129559120.02;5;2;1;2;19;2024-03-05
15;2024-03-04 12:03:15;94025951.48;1;0;3;0;50;2024-03-04
16;2024-03-04 13:24:30;19854296.08;5;0;1;0;42;2024-03-04
17;2024-03-04 13:35:25;37676497.37;4;3;2;3;46;2024-03-05
18;2024-03-04 14:27:05;64355636.21;5;5;2;5;8;2024-03-04
19;2024-03-04 14:29:19;42528521.74;3;2;5;2;25;2024-03-05
20;2024-03-04 15:20:57;22605318.78;3;8;1;8;37;2024-03-04
21;2024-03-04 15:51:46;11887056.82;2;0;5;0;28;2024-03-05
22;2024-03-04 18:14:53;84058271.89;4;6;2;6;35;2024-03-05
23;2024-03-04 18:26:42;42528521.74;5;0;3;0;25;2024-03-05
24;2024-03-04 18:39:29;37676497.37;2;0;4;0;46;2024-03-05
25;2024-03-04 19:29:57;19854296.08;1;2;5;2;42;2024-03-04
26;2024-03-04 20:18:25;64355636.21;2;0;5;0;8;2024-03-04
27;2024-03-04 21:00:31;98599955.16;2;4;1;4;4;2024-03-05
28;2024-03-04 21:18:38;129559120.02;1;0;5;0;19;2024-03-05
29;2024-03-05 00:31:52;109633692.43;4;8;5;8;18;2024-03-05
30;2024-03-05 01:31:42;167261995.49;3;0;1;0;38;2024-03-06
31;2024-03-05 01:51:19;163755491.91;3;0;2;0;10;2024-03-05
32;2024-03-05 04:18:45;163755491.91;2;2;3;2;10;2024-03-05
33;2024-03-05 04:48:00;31545866.86;1;0;2;0;31;2024-03-05
34;2024-03-05 05:09:25;65714246.41;2;4;1;4;34;2024-03-06
35;2024-03-05 05:39:00;38399694.67;3;0;2;0;49;2024-03-05
36;2024-03-05 06:14:14;89529608.25;5;8;1;8;17;2024-03-06
37;2024-03-05 06:20:10;167261995.49;1;3;3;3;38;2024-03-06
38;2024-03-05 11:40:36;38399694.67;2;5;3;5;49;2024-03-05
39;2024-03-05 11:50:35;65714246.41;1;0;2;0;34;2024-03-06
40;2024-03-05 14:01:18;89529608.25;1;0;5;0;17;2024-03-06
41;2024-03-05 16:04:24;109633692.43;5;0;4;0;18;2024-03-05
42;2024-03-05 17:44:33;31545866.86;2;8;1;8;31;2024-03-05
43;2024-03-05 20:00:36;107581599.85;3;6;1;6;22;2024-03-06
44;2024-03-06 00:24:29;53757150.54;3;0;1;0;23;2024-03-08
45;2024-03-06 01:09:54;102211283.21;1;0;2;0;48;2024-03-06
46;2024-03-06 05:57:43;53757150.54;1;7;3;7;23;2024-03-08
47;2024-03-06 09:51:02;107581599.85;1;0;3;0;22;2024-03-06
48;2024-03-06 10:09:03;21704057.75;2;2;5;2;45;2024-03-07
49;2024-03-06 10:16:58;10758277.53;5;2;1;2;12;2024-03-06
50;2024-03-06 11:48:22;18783369.08;3;7;1;7;40;2024-03-07
51;2024-03-06 15:33:32;151065611.11;4;0;5;0;20;2024-03-08
52;2024-03-06 22:58:10;21704057.75;5;0;2;0;45;2024-03-07
53;2024-03-06 23:54:06;18783369.08;1;0;3;0;40;2024-03-07
54;2024-03-07 00:05:28;118173528.5;2;5;3;5;13;2024-03-07
55;2024-03-07 00:13:25;118173528.5;3;0;2;0;13;2024-03-07
56;2024-03-07 00:16:33;11897319.18;2;8;5;8;41;2024-03-09
57;2024-03-07 00:37:44;55932390.39;3;4;1;4;33;2024-03-07
58;2024-03-07 00:39:36;11897319.18;5;0;2;0;41;2024-03-09
59;2024-03-07 00:41:52;155339145.01;4;0;5;0;30;2024-03-08
60;2024-03-07 00:59:35;187170816.85;1;3;3;3;7;2024-03-07
61;2024-03-07 01:11:42;164090778.26;2;7;3;7;27;2024-03-07
62;2024-03-07 02:03:26;102211283.21;2;4;1;4;48;2024-03-06
63;2024-03-07 02:26:28;187170816.85;3;0;1;0;7;2024-03-07
64;2024-03-07 02:59:39;147017284.84;2;0;3;0;36;2024-03-08
65;2024-03-07 04:02:11;28296353.42;1;0;2;0;26;2024-03-08
66;2024-03-07 06:08:46;10758277.53;1;0;5;0;12;2024-03-06
67;2024-03-07 06:24:09;147017284.84;3;8;2;8;36;2024-03-08
