TID,Starttime,Endtime,Activity,Time,Value,FromParticipantId,FromAccountId,ToParticipantId,ToAccountId,Linkcode,Part ID,Account ID,Balance,Credit limit
1,2024-01-01 00:13:01,2024-01-01 00:13:03,Validating,2024-01-01 00:13:01,70834326.88,8,1,4,1,881,8,1,1604424976.0,0.0
1,2024-01-01 00:13:03,2024-01-01 00:13:03,Waiting in queue received,2024-01-01 00:13:01,70834326.88,8,1,4,1,881,8,1,1604424976.0,0.0
2,2024-01-01 00:18:34,2024-01-01 00:18:36,Validating,2024-01-01 00:18:34,22902922.97,8,0,7,0,53,8,0,1171046846.05,662326857.64
2,2024-01-01 00:18:36,2024-01-01 00:18:36,Waiting in queue received,2024-01-01 00:18:34,22902922.97,8,0,7,0,53,8,0,1171046846.05,662326857.64
3,2024-01-01 00:22:23,2024-01-01 00:22:25,Validating,2024-01-01 00:22:23,30561682.0,6,0,8,0,1236,6,0,1159834611.39,1079250390.17
3,2024-01-01 00:22:25,2024-01-01 00:22:25,Waiting in queue received,2024-01-01 00:22:23,30561682.0,6,0,8,0,1236,6,0,1159834611.39,1079250390.17
4,2024-01-01 00:24:34,2024-01-01 00:24:36,Validating,2024-01-01 00:24:34,7787959.1,1,0,3,0,1104,1,0,1345216711.35,855892148.96
4,2024-01-01 00:24:36,2024-01-01 00:24:36,Waiting in queue received,2024-01-01 00:24:34,7787959.1,1,0,3,0,1104,1,0,1345216711.35,855892148.96
5,2024-01-01 00:25:43,2024-01-01 00:25:45,Validating,2024-01-01 00:25:43,105763515.5,7,2,5,2,403,7,2,506751021.0,0.0
5,2024-01-01 00:25:45,2024-01-01 00:25:45,Waiting in queue received,2024-01-01 00:25:43,105763515.5,7,2,5,2,403,7,2,506751021.0,0.0
6,2024-01-01 00:32:53,2024-01-01 00:32:55,Validating,2024-01-01 00:32:53,31251466.08,4,3,5,3,1210,4,3,1280555961.0,0.0
6,2024-01-01 00:32:55,2024-01-01 00:32:55,Waiting in queue received,2024-01-01 00:32:53,31251466.08,4,3,5,3,1210,4,3,1280555961.0,0.0
7,2024-01-01 00:40:42,2024-01-01 00:40:44,Validating,2024-01-01 00:40:42,48346675.72,5,1,1,1,995,5,1,269842169.0,0.0
7,2024-01-01 00:40:44,2024-01-01 00:40:44,Waiting in queue received,2024-01-01 00:40:42,48346675.72,5,1,1,1,995,5,1,269842169.0,0.0
8,2024-01-01 00:44:37,2024-01-01 00:44:39,Validating,2024-01-01 00:44:37,148248755.92,4,0,6,0,467,4,0,1623321432.42,501595076.99
8,2024-01-01 00:44:39,2024-01-01 00:44:39,Waiting in queue received,2024-01-01 00:44:37,148248755.92,4,0,6,0,467,4,0,1623321432.42,501595076.99
9,2024-01-01 00:47:10,2024-01-01 00:47:12,Validating,2024-01-01 00:47:10,54056009.55,7,0,3,0,100,7,0,908925801.56,880714929.78
9,2024-01-01 00:47:12,2024-01-01 00:47:12,Waiting in queue received,2024-01-01 00:47:10,54056009.55,7,0,3,0,100,7,0,908925801.56,880714929.78
10,2024-01-01 00:47:48,2024-01-01 00:47:50,Validating,2024-01-01 00:47:48,80074806.58,1,4,7,4,1029,1,4,6110169996.0,0.0
10,2024-01-01 00:47:50,2024-01-01 00:47:50,Waiting in queue received,2024-01-01 00:47:48,80074806.58,1,4,7,4,1029,1,4,6110169996.0,0.0
11,2024-01-01 00:48:56,2024-01-01 00:48:58,Validating,2024-01-01 00:48:56,48598900.65,8,0,7,0,457,8,0,1171046846.05,662326857.64
11,2024-01-01 00:48:58,2024-01-01 00:48:58,Waiting in queue received,2024-01-01 00:48:56,48598900.65,8,0,7,0,457,8,0,1171046846.05,662326857.64
12,2024-01-01 00:53:53,2024-01-01 00:53:55,Validating,2024-01-01 00:53:53,66675003.66,4,0,2,0,996,4,0,1623321432.42,501595076.99
12,2024-01-01 00:53:55,2024-01-01 00:53:55,Waiting in queue received,2024-01-01 00:53:53,66675003.66,4,0,2,0,996,4,0,1623321432.42,501595076.99
13,2024-01-01 00:58:36,2024-01-01 00:58:38,Validating,2024-01-01 00:58:36,29132416.87,5,3,4,3,437,5,3,3694452865.0,0.0
13,2024-01-01 00:58:38,2024-01-01 00:58:38,Waiting in queue received,2024-01-01 00:58:36,29132416.87,5,3,4,3,437,5,3,3694452865.0,0.0
14,2024-01-01 01:00:01,2024-01-01 01:00:03,Validating,2024-01-01 01:00:01,49046560.32,8,0,6,0,803,8,0,1171046846.05,662326857.64
14,2024-01-01 01:00:03,2024-01-01 01:00:03,Waiting in queue received,2024-01-01 01:00:01,49046560.32,8,0,6,0,803,8,0,1171046846.05,662326857.64
15,2024-01-01 01:02:14,2024-01-01 01:02:16,Validating,2024-01-01 01:02:14,31362411.29,1,0,2,0,288,1,0,1345216711.35,855892148.96
15,2024-01-01 01:02:16,2024-01-01 01:02:16,Waiting in queue received,2024-01-01 01:02:14,31362411.29,1,0,2,0,288,1,0,1345216711.35,855892148.96
16,2024-01-01 01:03:27,2024-01-01 01:03:29,Validating,2024-01-01 01:03:27,59379742.41,4,2,1,2,216,4,2,3113964820.0,0.0
16,2024-01-01 01:03:29,2024-01-01 01:03:29,Waiting in queue received,2024-01-01 01:03:27,59379742.41,4,2,1,2,216,4,2,3113964820.0,0.0
17,2024-01-01 01:09:27,2024-01-01 01:09:29,Validating,2024-01-01 01:09:27,113758624.35,8,2,6,2,629,8,2,6471538475.0,0.0
17,2024-01-01 01:09:29,2024-01-01 01:09:29,Waiting in queue received,2024-01-01 01:09:27,113758624.35,8,2,6,2,629,8,2,6471538475.0,0.0
18,2024-01-01 01:15:10,2024-01-01 01:15:12,Validating,2024-01-01 01:15:10,70105500.4,2,1,1,1,257,2,1,7922723790.0,0.0
18,2024-01-01 01:15:12,2024-01-01 01:15:12,Waiting in queue received,2024-01-01 01:15:10,70105500.4,2,1,1,1,257,2,1,7922723790.0,0.0
19,2024-01-01 01:18:43,2024-01-01 01:18:45,Validating,2024-01-01 01:18:43,126632033.13,5,0,6,0,679,5,0,1697498461.28,1555016912.88
19,2024-01-01 01:18:45,2024-01-01 01:18:45,Waiting in queue received,2024-01-01 01:18:43,126632033.13,5,0,6,0,679,5,0,1697498461.28,1555016912.88
20,2024-01-01 01:18:55,2024-01-01 01:18:57,Validating,2024-01-01 01:18:55,75137565.4,5,0,6,0,1037,5,0,1697498461.28,1555016912.88
